MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2022 MAR 20 11:22:00,2022 MAR 20 11:27:00,11,11
2022 MAR 20 15:25:47,2022 MAR 20 15:30:47,13,13
2022 MAR 20 17:26:30,2022 MAR 20 17:31:30,14,14
2022 MAR 20 19:21:15,2022 MAR 20 19:26:15,15,15
2022 MAR 21 01:10:44,2022 MAR 21 01:15:44,18,18
2022 MAR 21 07:06:23,2022 MAR 21 07:11:23,21,21
2022 MAR 21 11:03:48,2022 MAR 21 11:08:48,23,23
2022 MAR 22 12:39:26,2022 MAR 22 12:44:26,36,36
2022 MAR 23 06:19:15,2022 MAR 23 06:21:28,45,45
2022 MAR 23 10:09:35,2022 MAR 23 10:14:35,47,47
2022 MAR 23 16:01:01,2022 MAR 23 16:06:01,50,50
2022 MAR 23 20:04:54,2022 MAR 23 20:09:54,52,52
2022 MAR 24 05:49:53,2022 MAR 24 05:54:53,57,57
2022 MAR 24 09:51:51,2022 MAR 24 09:56:51,59,59
2022 MAR 24 17:39:21,2022 MAR 24 17:44:21,63,63
2022 MAR 25 17:22:03,2022 MAR 25 17:23:04,75,75
2022 MAR 25 19:17:03,2022 MAR 25 19:22:03,76,76
2022 MAR 26 07:03:33,2022 MAR 26 07:08:33,82,82
2022 MAR 26 18:49:07,2022 MAR 26 18:54:07,88,88
2022 MAR 27 08:33:03,2022 MAR 27 08:38:03,95,95
2022 MAR 27 22:19:29,2022 MAR 27 22:24:29,102,102
2022 MAR 28 02:07:12,2022 MAR 28 02:12:12,104,104
2022 MAR 28 17:55:29,2022 MAR 28 18:00:29,112,112
2022 MAR 28 21:56:14,2022 MAR 28 22:01:14,114,114
2022 MAR 29 07:36:41,2022 MAR 29 07:41:41,119,119
2022 MAR 29 15:27:28,2022 MAR 29 15:32:28,123,123
2022 MAR 30 11:15:55,2022 MAR 30 11:20:55,133,133
2022 MAR 31 04:57:49,2022 MAR 31 05:02:49,142,142
2022 MAR 31 06:53:54,2022 MAR 31 06:58:54,143,143
2022 MAR 31 16:52:05,2022 MAR 31 16:57:05,148,148
2022 MAR 31 22:41:36,2022 MAR 31 22:46:36,151,151
2022 APR 01 02:34:54,2022 APR 01 02:39:54,153,153
2022 APR 01 06:32:11,2022 APR 01 06:35:41,155,155
2022 APR 01 08:29:39,2022 APR 01 08:34:39,156,156
2022 APR 02 06:04:32,2022 APR 02 06:09:32,167,167
2022 APR 02 09:54:40,2022 APR 02 09:59:40,169,169
2022 APR 02 21:45:47,2022 APR 02 21:50:47,175,175
2022 APR 03 15:33:43,2022 APR 03 15:38:43,184,184
2022 APR 03 17:19:07,2022 APR 03 17:24:07,185,185
2022 APR 04 01:23:31,2022 APR 04 01:28:31,189,189
2022 APR 04 19:13:43,2022 APR 04 19:18:43,198,198
2022 APR 05 16:35:33,2022 APR 05 16:40:33,209,209
2022 APR 05 18:44:05,2022 APR 05 18:49:05,210,210
2022 APR 06 06:23:46,2022 APR 06 06:28:46,216,216
2022 APR 06 08:09:38,2022 APR 06 08:14:38,217,217
2022 APR 06 20:18:17,2022 APR 06 20:23:17,223,223
2022 APR 07 00:22:33,2022 APR 07 00:27:33,225,225
2022 APR 07 02:09:31,2022 APR 07 02:14:31,226,226
2022 APR 07 15:46:50,2022 APR 07 15:51:50,233,233
2022 APR 07 17:47:06,2022 APR 07 17:52:06,234,234
2022 APR 07 19:55:16,2022 APR 07 20:00:16,235,235
2022 APR 08 23:24:18,2022 APR 08 23:29:18,249,249
2022 APR 09 05:06:54,2022 APR 09 05:11:54,252,252
2022 APR 09 11:11:30,2022 APR 09 11:16:30,255,255
2022 APR 09 21:03:17,2022 APR 09 21:08:17,260,260
2022 APR 10 05:01:21,2022 APR 10 05:06:21,264,264
2022 APR 10 08:52:02,2022 APR 10 08:57:02,266,266
2022 APR 10 10:50:17,2022 APR 10 10:55:17,267,267
2022 APR 10 20:37:23,2022 APR 10 20:42:23,272,272
2022 APR 12 00:08:39,2022 APR 12 00:13:39,286,286
2022 APR 12 09:55:43,2022 APR 12 10:00:43,291,291
2022 APR 12 11:58:13,2022 APR 12 12:03:13,292,292
2022 APR 13 07:34:30,2022 APR 13 07:39:30,302,302
2022 APR 13 13:29:29,2022 APR 13 13:34:29,305,305
2022 APR 13 15:26:45,2022 APR 13 15:31:45,306,306
2022 APR 13 23:19:25,2022 APR 13 23:24:25,310,310
2022 APR 14 07:16:35,2022 APR 14 07:21:35,314,314
2022 APR 14 13:03:56,2022 APR 14 13:08:56,317,317
2022 APR 14 15:01:02,2022 APR 14 15:06:02,318,318
2022 APR 14 19:03:50,2022 APR 14 19:08:50,320,320
2022 APR 15 00:50:47,2022 APR 15 00:55:47,323,323
2022 APR 15 05:05:25,2022 APR 15 05:06:23,325,325
2022 APR 15 22:34:49,2022 APR 15 22:39:49,334,334
2022 APR 16 02:22:38,2022 APR 16 02:27:38,336,336
2022 APR 16 10:17:48,2022 APR 16 10:22:48,340,340
