Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Grazing solar occultation observation number,Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),SO start time (UTC),SO end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),Limb Height 250 km: entry (UTC),Min. Limb Height switch SCI1 to SCI2 (UTC),Limb Height 250 km: exit (UTC),Min. Limb Height (km),Latitude probed @ min. limb height (deg),Longitude probed @ min. limb height (deg),Beta angle (deg),Local Solar Time (LST): TGO2SUN vector surface intercept point @ min. limb height (h),Solar longitude Ls (deg),SO+SINBAD data volume (Mbit),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),Channel(s)+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
5,5,1,51,16584,0,0,0,1,0,2021 AUG 11 17:45:34,2021 AUG 11 18:30:27,2021 AUG 11 17:45:44,2021 AUG 11 18:30:27,N/A,N/A,2021 AUG 11 17:55:44,2021 AUG 11 18:30:27,2021 AUG 11 17:56:14,2021 AUG 11 18:12:29,2021 AUG 11 18:29:57,0,-19.601,10.2932,64.0072,17.4397,84.1747,198.6288,N/A,377.3185,574.8152,10,640,1615,30,30,2683,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,2083,300,700,1400002C000A0280064F1E1E0A7B0301000D000D0000000000000000000000000000000002620823012C02BC
5,5,2,53,16586,0,0,0,1,0,2021 AUG 11 21:41:45,2021 AUG 11 22:26:00,2021 AUG 11 21:41:55,2021 AUG 11 22:26:00,N/A,N/A,2021 AUG 11 21:51:55,2021 AUG 11 22:26:00,2021 AUG 11 21:52:25,2021 AUG 11 22:09:15,2021 AUG 11 22:25:30,14.0583,-16.5518,-46.9966,64.4965,17.4611,84.2469,195.0324,N/A,370.4351,564.3562,10,640,1650,30,30,2645,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,2045,300,914,1400002C000A028006721E1E0A550301000D000D00000000000000000000000000000000026207FD012C0392
5,5,3,54,16587,0,0,0,1,0,2021 AUG 11 23:39:43,2021 AUG 12 00:23:43,2021 AUG 11 23:39:53,2021 AUG 12 00:23:43,N/A,N/A,2021 AUG 11 23:49:53,2021 AUG 12 00:23:43,2021 AUG 11 23:50:23,2021 AUG 12 00:07:08,2021 AUG 12 00:23:13,20.4397,-16.7638,-75.7932,64.7298,17.4539,84.2828,193.6128,N/A,367.718,560.2276,10,640,1645,30,30,2630,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,2030,300,879,1400002C000A0280066D1E1E0A460301000D000D00000000000000000000000000000000026207EE012C036F
5,5,4,57,16590,0,0,0,1,0,2021 AUG 12 05:33:24,2021 AUG 12 06:16:47,2021 AUG 12 05:33:34,2021 AUG 12 06:16:47,N/A,N/A,2021 AUG 12 05:43:34,2021 AUG 12 06:16:47,2021 AUG 12 05:44:04,2021 AUG 12 06:00:34,2021 AUG 12 06:16:17,37.4196,-17.5616,-162.2173,65.3535,17.4258,84.3905,190.1111,N/A,361.0157,550.0438,10,640,1630,30,30,2593,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,1993,300,790,1400002C000A0280065E1E1E0A210301000D000D00000000000000000000000000000000026207C9012C0316
5,5,5,59,16592,0,0,0,1,0,2021 AUG 12 09:29:29,2021 AUG 12 10:12:14,2021 AUG 12 09:29:39,2021 AUG 12 10:12:14,N/A,N/A,2021 AUG 12 09:39:39,2021 AUG 12 10:12:14,2021 AUG 12 09:40:09,2021 AUG 12 09:56:19,2021 AUG 12 10:11:44,51.3286,-17.9372,140.216,65.8613,17.4125,84.4623,186.5147,N/A,354.1323,539.5848,10,640,1610,30,30,2555,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,1955,300,949,1400002C000A0280064A1E1E09FB0301000D000D00000000000000000000000000000000026207A3012C03B5
5,5,6,61,16594,0,0,0,1,0,2021 AUG 12 13:25:28,2021 AUG 12 14:07:48,2021 AUG 12 13:25:38,2021 AUG 12 14:07:48,N/A,N/A,2021 AUG 12 13:35:38,2021 AUG 12 14:07:48,2021 AUG 12 13:36:08,2021 AUG 12 13:52:03,2021 AUG 12 14:07:18,61.2995,-18.5433,82.5296,66.2917,17.3911,84.5342,184.1486,N/A,349.6038,532.7038,10,640,1595,30,30,2530,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,1930,300,884,1400002C000A0280063B1E1E09E20301000D000D000000000000000000000000000000000262078A012C0374
5,5,7,64,16597,0,0,0,1,0,2021 AUG 12 19:19:19,2021 AUG 12 20:00:45,2021 AUG 12 19:19:29,2021 AUG 12 20:00:45,N/A,N/A,2021 AUG 12 19:29:29,2021 AUG 12 20:00:45,2021 AUG 12 19:29:59,2021 AUG 12 19:45:29,2021 AUG 12 20:00:15,79.125,-19.2915,-3.8777,66.9424,17.3642,84.6419,179.0379,N/A,339.8221,517.841,10,640,1570,30,30,2476,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,1876,300,751,1400002C000A028006221E1E09AC0301000D000D0000000000000000000000000000000002620754012C02EF
5,5,8,66,16599,0,0,0,1,0,2021 AUG 12 23:15:30,2021 AUG 12 23:56:10,2021 AUG 12 23:15:40,2021 AUG 12 23:56:10,N/A,N/A,2021 AUG 12 23:25:40,2021 AUG 12 23:56:10,2021 AUG 12 23:26:10,2021 AUG 12 23:41:13,2021 AUG 12 23:55:40,92.2674,-19.8929,-61.5677,67.4155,17.3422,84.7137,174.6844,N/A,331.4896,505.18,10,640,1543,30,30,2430,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,1830,300,632,1400002C000A028006071E1E097E0301000D000D0000000000000000000000000000000002620726012C0278
5,5,9,231,16764,0,0,0,1,0,2021 AUG 26 10:51:25,2021 AUG 26 11:32:03,2021 AUG 26 10:51:35,2021 AUG 26 11:32:03,N/A,N/A,2021 AUG 26 11:01:35,2021 AUG 26 11:32:03,2021 AUG 26 11:02:05,2021 AUG 26 11:16:36,2021 AUG 26 11:31:33,95.6349,-22.2556,95.046,67.7091,6.7492,90.6489,174.4951,N/A,331.1273,504.6296,10,640,1511,30,30,2428,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,1828,300,851,1400002C000A028005E71E1E097C0301000D000D0000000000000000000000000000000002620724012C0353
5,5,10,233,16766,0,0,0,1,0,2021 AUG 26 14:46:49,2021 AUG 26 15:27:50,2021 AUG 26 14:46:59,2021 AUG 26 15:27:50,N/A,N/A,2021 AUG 26 14:56:59,2021 AUG 26 15:27:50,2021 AUG 26 14:57:29,2021 AUG 26 15:12:08,2021 AUG 26 15:27:20,87.5759,-21.3946,37.2476,67.331,6.7167,90.7211,176.6719,N/A,335.2936,510.96,10,640,1519,30,30,2451,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,1851,300,905,1400002C000A028005EF1E1E09930301000D000D000000000000000000000000000000000262073B012C0389
5,5,11,235,16768,0,0,0,1,0,2021 AUG 26 18:42:18,2021 AUG 26 19:23:53,2021 AUG 26 18:42:28,2021 AUG 26 19:23:53,N/A,N/A,2021 AUG 26 18:52:28,2021 AUG 26 19:23:53,2021 AUG 26 18:52:58,2021 AUG 26 19:07:50,2021 AUG 26 19:23:23,76.8741,-20.7789,-20.4494,66.8702,6.6939,90.7934,179.8897,N/A,341.4524,520.3181,10,640,1532,30,30,2485,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,1885,300,986,1400002C000A028005FC1E1E09B50301000D000D000000000000000000000000000000000262075D012C03DA
5,5,12,237,16770,0,0,0,1,0,2021 AUG 26 22:37:35,2021 AUG 26 23:19:52,2021 AUG 26 22:37:45,2021 AUG 26 23:19:52,N/A,N/A,2021 AUG 26 22:47:45,2021 AUG 26 23:19:52,2021 AUG 26 22:48:15,2021 AUG 26 23:03:29,2021 AUG 26 23:19:22,64.1109,-20.4566,-77.9698,66.4295,6.6819,90.8657,183.8647,N/A,349.0604,531.8781,10,640,1554,30,30,2527,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,1927,300,837,1400002C000A028006121E1E09DF0301000D000D0000000000000000000000000000000002620787012C0345
5,5,13,240,16773,0,0,0,1,0,2021 AUG 27 04:30:38,2021 AUG 27 05:13:30,2021 AUG 27 04:30:48,2021 AUG 27 05:13:30,N/A,N/A,2021 AUG 27 04:40:48,2021 AUG 27 05:13:30,2021 AUG 27 04:41:18,2021 AUG 27 04:56:53,2021 AUG 27 05:13:00,49.3155,-19.4238,-164.5299,65.818,6.6444,90.9741,187.1771,N/A,355.4003,541.5114,10,640,1575,30,30,2562,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,1962,300,673,1400002C000A028006271E1E0A020301000D000D00000000000000000000000000000000026207AA012C02A1
5,5,14,242,16775,0,0,0,1,0,2021 AUG 27 08:26:03,2021 AUG 27 09:09:38,2021 AUG 27 08:26:13,2021 AUG 27 09:09:38,N/A,N/A,2021 AUG 27 08:36:13,2021 AUG 27 09:09:38,2021 AUG 27 08:36:43,2021 AUG 27 08:52:38,2021 AUG 27 09:09:08,34.4575,-19.0819,137.9183,65.3512,6.6319,91.0464,191.2468,N/A,363.1894,553.3467,10,640,1595,30,30,2605,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,2005,300,779,1400002C000A0280063B1E1E0A2D0301000D000D00000000000000000000000000000000026207D5012C030B
5,5,15,245,16778,0,0,0,1,0,2021 AUG 27 14:19:06,2021 AUG 27 15:03:15,2021 AUG 27 14:19:16,2021 AUG 27 15:03:15,N/A,N/A,2021 AUG 27 14:29:16,2021 AUG 27 15:03:15,2021 AUG 27 14:29:46,2021 AUG 27 14:46:00,2021 AUG 27 15:02:45,18.5911,-18.2482,51.4831,64.7419,6.6022,91.1549,194.4646,N/A,369.3483,562.7048,10,640,1614,30,30,2639,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,2039,300,866,1400002C000A0280064E1E1E0A4F0301000D000D00000000000000000000000000000000026207F7012C0362
5,5,16,247,16780,0,0,0,1,0,2021 AUG 27 18:14:42,2021 AUG 27 18:59:15,2021 AUG 27 18:14:52,2021 AUG 27 18:59:15,N/A,N/A,2021 AUG 27 18:24:52,2021 AUG 27 18:59:15,2021 AUG 27 18:25:22,2021 AUG 27 18:41:44,2021 AUG 27 18:58:45,7.0139,-17.6531,-6.1963,64.288,6.5808,91.2272,196.736,N/A,373.6957,569.3105,10,640,1622,30,30,2663,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,2063,300,667,1400002C000A028006561E1E0A670301000D000D000000000000000000000000000000000262080F012C029B
5,5,17,248,16781,0,0,0,1,0,2021 AUG 27 20:12:27,2021 AUG 27 20:57:16,2021 AUG 27 20:12:37,2021 AUG 27 20:57:16,N/A,N/A,2021 AUG 27 20:22:37,2021 AUG 27 20:57:16,2021 AUG 27 20:23:07,2021 AUG 27 20:39:36,2021 AUG 27 20:56:46,0.0017291,-17.4793,-34.9697,64.0426,6.5747,91.2634,198.2503,N/A,376.5939,573.7143,10,640,1629,30,30,2679,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,2079,300,706,1400002C000A0280065D1E1E0A770301000D000D000000000000000000000000000000000262081F012C02C2
