Target Name,Flyover #,Orbit type,Thermal orbit number,Start crossing time (UTC),End crossing time (UTC),Start crossing latitude (deg),Start crossing longitude (deg),End crossing latitude (deg),End crossing longitude (deg),Start crossing phase angle (deg),End crossing phase angle (deg)
Olympus Mons                  ,1,1,5,2018 JUL 15 00:10:17,2018 JUL 15 00:13:52,23.3246,-139.5528,12.8917,-137.0041,61.7255,59.8314
Olympus Mons                  ,2,4,42,2018 JUL 18 00:50:31,2018 JUL 18 00:54:14,23.7138,-130.9831,12.8917,-128.3322,54.3379,50.9117
Olympus Mons                  ,3,3,67,2018 JUL 20 01:56:39,2018 JUL 20 02:00:23,23.7138,-134.8344,12.8917,-132.1832,49.857,45.2755
Olympus Mons                  ,4,3,92,2018 JUL 22 03:02:48,2018 JUL 22 03:06:32,23.7138,-138.6922,12.8917,-136.0396,45.9985,40.1041
Olympus Mons                  ,5,1,129,2018 JUL 25 03:43:10,2018 JUL 25 03:45:45,23.7138,-130.0205,16.2231,-128.1389,41.8067,36.0705
Olympus Mons                  ,6,1,154,2018 JUL 27 04:49:19,2018 JUL 27 04:53:03,23.7138,-133.8726,12.8917,-131.2217,40.2603,30.8075
Olympus Mons                  ,7,4,179,2018 JUL 29 05:55:27,2018 JUL 29 05:59:11,23.7138,-137.7274,12.8917,-135.0753,39.9035,29.3149
Olympus Mons                  ,8,4,204,2018 JUL 31 07:04:27,2018 JUL 31 07:05:22,15.5551,-139.5528,12.8917,-138.9396,32.2687,29.5102
Olympus Mons                  ,9,1,216,2018 AUG 01 06:35:50,2018 AUG 01 06:37:03,23.7138,-129.0568,20.1829,-128.1389,41.6055,37.8799
Olympus Mons                  ,10,4,241,2018 AUG 03 07:41:59,2018 AUG 03 07:45:43,23.7138,-132.9108,12.8917,-130.2601,44.1267,32.769
Olympus Mons                  ,11,3,266,2018 AUG 05 08:48:07,2018 AUG 05 08:51:51,23.7138,-136.7633,12.8917,-134.1117,47.5631,36.5575
Olympus Mons                  ,12,4,291,2018 AUG 07 09:55:43,2018 AUG 07 09:58:01,19.5611,-139.5528,12.8917,-137.9737,47.6628,41.2365
Olympus Mons                  ,13,4,328,2018 AUG 10 10:34:39,2018 AUG 10 10:38:23,23.7138,-131.9489,12.8917,-129.2981,58.9169,49.2444
Arsia Mons                    ,1,17,17,2018 JUL 15 23:53:18,2018 JUL 15 23:56:37,-2.4195,-121.181,-12.1222,-119.0792,55.9391,56.9235
Arsia Mons                    ,2,4,42,2018 JUL 18 00:59:29,2018 JUL 18 01:02:47,-2.4195,-125.0408,-12.1222,-122.9388,49.0978,49.9568
Arsia Mons                    ,3,3,67,2018 JUL 20 02:05:37,2018 JUL 20 02:08:56,-2.4195,-128.8907,-12.1222,-126.7879,42.3423,42.9955
Arsia Mons                    ,4,4,79,2018 JUL 21 01:39:47,2018 JUL 21 01:41:12,-2.4195,-116.3538,-6.6035,-115.4639,39.132,39.0782
