Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Dayside nadir observation number,Thermal orbit/dayside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),SubSC latitude (deg) @ TC20 execution start time (UTC),SubSC longitude (deg) @ TC20 execution start time (UTC),SubSC LST @ TC20 execution start time (h),SubSC phase angle (deg) @ TC20 execution start time (UTC),SubSC solar incidence angle (deg) @ TC20 execution start time (UTC),SubSC emission angle (deg) @ TC20 execution start time (UTC),SubSC latitude (deg) @ TC20 execution end time (UTC),SubSC longitude (deg) @ TC20 execution end time (UTC),SubSC LST @ TC20 execution end time (h),SubSC phase angle (deg) @ TC20 execution end time (UTC),SubSC solar incidence angle (deg) @ TC20 execution end time (UTC),SubSC emission angle (deg) @ TC20 execution end time (UTC),Beta angle (deg),Solar longitude Ls (deg),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),LNO+UVIS+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
3,3,1,1,2854,1,0,0,0,0,2018 JUL 14 15:44:11,2018 JUL 14 16:57:06,2018 JUL 14 15:44:21,2018 JUL 14 16:56:51,2018 JUL 14 15:44:21,2018 JUL 14 16:57:05,47.8651,-168.8232,5.2414,107.0114,107.0114,4.1009e-14,-73.2504,74.2283,22.6275,92.8052,92.8052,3.2986e-14,-60.3061,211.1708,25.9771,439.3964,463.0033,0,0,0,0,0,0,0,0,0,0,10,640,2500,30,30,4350,1,1,1844,1844,10,4364,104,1002,1400002C00000000000000000000000000000000000A028009C41E1E10FE010107340734000A110C006803EA
4,4,2,2,2855,0,1,0,0,0,2018 JUL 14 17:52:07,2018 JUL 14 18:14:24,N/A,N/A,2018 JUL 14 17:52:17,2018 JUL 14 18:14:23,71.2822,-158.5144,8.0036,93.1063,93.1063,2.1395e-14,30.2523,-54.7817,15.2806,64.1127,64.1127,3.4986e-14,-60.0001,211.2249,N/A,133.5159,133.5159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1326,104,229,1400002C0000000000000000000000000000000000000000000000000000000000000000000A052E006800E5
4,4,3,2,2855,0,1,0,0,0,2018 JUL 14 18:14:29,2018 JUL 14 18:35:00,N/A,N/A,2018 JUL 14 18:14:39,2018 JUL 14 18:34:59,30.0137,-54.7064,15.2869,64.0436,64.0436,5.0087e-14,-29.7415,-40.1913,16.5872,65.433,65.433,5.472e-14,-59.9202,211.2344,N/A,122.8431,122.8431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1220,104,378,1400002C0000000000000000000000000000000000000000000000000000000000000000000A04C40068017A
4,4,4,2,2855,0,1,0,0,0,2018 JUL 14 18:35:05,2018 JUL 14 18:52:35,N/A,N/A,2018 JUL 14 18:35:15,2018 JUL 14 18:52:34,-29.9836,-40.1153,16.5936,65.5124,65.5124,2.6988e-14,-72.9372,20.0613,20.8892,89.0243,89.0243,7.1119e-15,-59.905,211.2431,N/A,104.6189,104.6189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1039,104,197,1400002C0000000000000000000000000000000000000000000000000000000000000000000A040F006800C5
1,1,5,3,2856,1,0,0,0,0,2018 JUL 14 19:50:03,2018 JUL 14 20:52:59,2018 JUL 14 19:57:04,2018 JUL 14 20:36:34,2018 JUL 14 19:50:13,2018 JUL 14 20:52:58,71.423,173.0799,8.0225,93.1231,93.1231,3.2784e-15,-73.2602,18.0261,22.7061,92.8714,92.8714,1.9671e-14,-59.7335,211.2749,12.4751,379.0852,390.2714,0,0,0,0,0,0,0,0,0,0,421,1051,1921,30,30,2370,1,1,1844,1844,10,3765,104,961,1400002C0000000000000000000000000000000001A5041B07811E1E0942010107340734000A0EB5006803C1
4,4,6,4,2857,0,1,0,0,0,2018 JUL 14 21:47:56,2018 JUL 14 22:10:04,N/A,N/A,2018 JUL 14 21:48:06,2018 JUL 14 22:10:03,71.5482,144.5945,8.0353,93.157,93.157,6.5569e-15,30.2406,-112.6131,15.2472,63.7789,63.7789,3.2435e-14,-59.4671,211.3248,N/A,132.6098,132.6098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1317,104,220,1400002C0000000000000000000000000000000000000000000000000000000000000000000A0525006800DC
4,4,7,4,2857,0,1,0,0,0,2018 JUL 14 22:10:09,2018 JUL 14 22:30:38,N/A,N/A,2018 JUL 14 22:10:19,2018 JUL 14 22:30:37,30.0017,-112.5382,15.2533,63.7077,63.7077,3.4256e-14,-29.7366,-98.11,16.5475,64.9003,64.9003,2.3801e-14,-59.4001,211.3342,N/A,122.6418,122.6418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1218,104,376,1400002C0000000000000000000000000000000000000000000000000000000000000000000A04C200680178
4,4,8,4,2857,0,1,0,0,0,2018 JUL 14 22:30:43,2018 JUL 14 22:48:06,N/A,N/A,2018 JUL 14 22:30:53,2018 JUL 14 22:48:05,-29.979,-98.0343,16.5539,64.9806,64.9806,2.075e-14,-72.9098,-38.9364,20.7758,88.6509,88.6509,6.747e-15,-59.3854,211.3429,N/A,103.9141,103.9141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1032,104,190,1400002C0000000000000000000000000000000000000000000000000000000000000000000A0408006800BE
1,1,9,5,2858,1,0,0,0,0,2018 JUL 14 23:45:46,2018 JUL 15 00:45:53,2018 JUL 14 23:53:43,2018 JUL 15 00:31:13,2018 JUL 14 23:45:56,2018 JUL 15 00:45:52,71.598,115.984,8.0389,93.1871,93.1871,6.3611e-15,-72.8321,-68.0994,20.7417,88.5765,88.5765,1.2747e-14,-59.2019,211.3747,11.6568,362.0691,372.5026,0,0,0,0,0,0,0,0,0,0,477,1107,1917,30,30,2250,1,1,1844,1844,10,3596,104,1035,1400002C0000000000000000000000000000000001DD0453077D1E1E08CA010107340734000A0E0C0068040B
1,1,10,6,2859,1,0,0,0,0,2018 JUL 15 01:43:37,2018 JUL 15 02:46:32,2018 JUL 15 01:50:03,2018 JUL 15 02:30:33,2018 JUL 15 01:43:47,2018 JUL 15 02:46:31,71.5519,87.2174,8.0325,93.2059,93.2059,1.2747e-14,-73.127,-68.0088,22.7044,92.9382,92.9382,7.8312e-15,-58.9351,211.4246,12.8843,378.9845,390.5471,0,0,0,0,0,0,0,0,0,0,386,1016,1916,30,30,2430,1,1,1844,1844,10,3764,104,1200,1400002C00000000000000000000000000000000018203F8077C1E1E097E010107340734000A0EB4006804B0
