S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2021 JAN 23 00:09:00,15.2305,120.5005,275.6072,14.6686,43.8134,3.8824e-14,43.8134
TGO,2021 JAN 23 00:00:00,17.8136,121.9211,399.9411,14.6175,44.1764,0.086263,44.2417

MRO,2021 JAN 23 02:00:00,11.6519,93.6735,272.3524,14.6811,42.7329,7.5013e-15,42.7329
TGO,2021 JAN 23 01:57:00,15.236,92.3392,397.741,14.5433,42.1351,0.63921,42.6961

MRO,2021 JAN 23 05:45:00,14.3432,38.8033,275.522,14.6733,43.5256,5.5819e-14,43.5256
TGO,2021 JAN 23 05:54:00,18.9787,35.0907,402.0573,14.5719,44.0757,2.5438,46.1055

MRO,2021 JAN 23 09:36:00,35.5358,-18.6059,290.1974,14.5936,53.3674,4.7282e-14,53.3674
TGO,2021 JAN 23 09:54:00,30.8047,-19.5303,409.9084,14.8242,52.9449,0.086231,52.9608

MRO,2021 JAN 23 11:27:00,31.8469,-45.3904,287.1747,14.6089,51.2552,5.725e-14,51.2552
TGO,2021 JAN 23 11:51:00,28.1516,-49.2806,408.4264,14.7389,50.5715,0.05326,50.6122

MRO,2021 JAN 23 11:30:00,41.3601,-46.8278,294.1835,14.5617,56.8564,2.6988e-14,56.8564
TGO,2021 JAN 23 11:54:00,36.7728,-46.6057,414.0544,14.9658,57.7016,0.050386,57.6935

MRO,2021 JAN 23 13:21:00,37.7871,-73.6042,291.5089,14.5775,54.6226,5.131e-14,54.6226
TGO,2021 JAN 23 13:51:00,34.2507,-76.4386,412.3734,14.8753,55.3572,0.047309,55.361

MRO,2021 JAN 24 15:30:00,35.4064,-95.1886,289.2967,14.5931,53.0737,3.2986e-14,53.0737
TGO,2021 JAN 24 15:24:00,34.8654,-92.6868,412.226,14.6625,53.4141,0.3409,53.5581

MRO,2021 JAN 24 17:21:00,31.9684,-121.9399,286.3507,14.6106,51.1483,6.4007e-14,51.1483
TGO,2021 JAN 24 17:21:00,32.3352,-122.258,411.0038,14.5894,51.1494,0.72242,50.639

MRO,2021 JAN 24 19:12:00,28.4649,-148.6899,284.7467,14.6281,49.321,3.3358e-14,49.321
TGO,2021 JAN 24 19:18:00,29.7264,-151.9303,409.9711,14.5094,48.7618,0.97175,48.0853

MRO,2021 JAN 25 19:30:00,29.5526,-143.479,285.5312,14.6294,49.7907,5.0988e-14,49.7907
TGO,2021 JAN 25 18:54:00,32.9918,-138.6424,411.6353,14.3678,49.1934,0.85057,49.622

MRO,2021 JAN 25 23:15:00,31.7412,161.6609,288.4706,14.6225,50.942,4.0855e-14,50.942
TGO,2021 JAN 25 22:51:00,36.1922,164.6456,413.5906,14.4319,51.8522,0.2776,51.633

MRO,2021 JAN 26 08:42:00,51.9887,21.9147,303.2889,14.5047,63.3704,6.379e-14,63.3704
TGO,2021 JAN 26 08:45:00,48.8351,25.5418,420.8667,14.7953,63.1465,0.084849,63.0619

MRO,2021 JAN 26 10:33:00,48.2847,-4.6074,300.0973,14.5375,60.9072,2.0151e-14,60.9072
TGO,2021 JAN 26 10:42:00,46.1826,-4.8866,419.1402,14.6647,60.383,0.067323,60.3216

MRO,2021 JAN 26 12:24:00,44.5636,-31.2513,296.9184,14.5619,58.4795,3.9852e-14,58.4795
TGO,2021 JAN 26 12:39:00,43.5846,-35.1291,418.022,14.5469,57.6894,0.3149,57.4656

MRO,2021 JAN 26 14:12:00,31.3983,-56.5563,287.135,14.6272,50.6965,3.7091e-14,50.6965
TGO,2021 JAN 26 13:45:00,34.6616,-54.0684,379.8931,14.355,50.0333,175.3828,125.9367

MRO,2021 JAN 27 14:33:00,41.6923,-52.7751,295.0114,14.5819,56.5061,4.326e-14,56.5061
