Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Egress solar occultation observation number,Merged Occultation (YES = 1; NO = 0),Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),SO start time (UTC),SO end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),Limb Height 250 km (UTC),Latitude probed @ limb height 250 km (deg),Longitude probed @ limb height 250 km (deg),Limb Height 0 km (UTC),Latitude probed @ limb height 0 km (deg),Longitude probed @ limb height 0 km (deg),Limb Height 50 km: switch SCI1 to SCI2 (UTC),Beta angle (deg),Eclipse duration (Umbra end - Umbra start) (s),Local Solar Time (LST): TGO2SUN vector surface intercept point @ limb height 0 km (h),Solar longitude Ls (deg),SO+SINBAD data volume (Mbit),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),Channel(s)+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
1,1,1,0,35,19646,0,0,0,1,0,2022 APR 19 10:08:09,2022 APR 19 10:31:19,2022 APR 19 10:08:19,2022 APR 19 10:31:19,N/A,N/A,2022 APR 19 10:18:19,2022 APR 19 10:31:19,2022 APR 19 10:30:49,10.3962,-154.6493,2022 APR 19 10:18:49,46.6761,-140.9233,2022 APR 19 10:21:47,61.1489,646,6.8833,211.6612,75.3101,N/A,141.2907,216.1803,10,640,818,30,30,1380,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,780,300,612,1400002C000A028003321E1E05640301000D000D000000000000000000000000000000000262030C012C0264
1,1,2,0,36,19647,0,0,0,1,0,2022 APR 19 12:06:33,2022 APR 19 12:29:29,2022 APR 19 12:06:43,2022 APR 19 12:29:29,N/A,N/A,2022 APR 19 12:16:43,2022 APR 19 12:29:29,2022 APR 19 12:28:59,9.7105,176.4433,2022 APR 19 12:17:13,45.2608,-170.4166,2022 APR 19 12:20:05,61.015,685,6.8372,211.7114,73.9852,N/A,138.7547,212.3269,10,640,812,30,30,1366,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,766,300,833,1400002C000A0280032C1E1E05560301000D000D00000000000000000000000000000000026202FE012C0341
1,1,3,0,41,19652,0,0,0,1,0,2022 APR 19 21:57:48,2022 APR 19 22:20:02,2022 APR 19 21:57:58,2022 APR 19 22:20:02,N/A,N/A,2022 APR 19 22:07:58,2022 APR 19 22:20:02,2022 APR 19 22:19:32,6.5004,32.0293,2022 APR 19 22:08:28,39.7647,43.606,2022 APR 19 22:11:01,60.4909,808,6.6944,211.962,70.0102,N/A,131.1467,200.767,10,640,793,30,30,1324,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,724,300,730,1400002C000A028003191E1E052C0301000D000D00000000000000000000000000000000026202D4012C02DA
1,1,4,0,43,19654,0,0,0,1,0,2022 APR 20 01:54:18,2022 APR 20 02:16:17,2022 APR 20 01:54:28,2022 APR 20 02:16:17,N/A,N/A,2022 APR 20 02:04:28,2022 APR 20 02:16:17,2022 APR 20 02:15:47,5.421,-25.6951,2022 APR 20 02:04:58,37.8181,-14.467,2022 APR 20 02:07:25,60.2426,848,6.6583,212.0623,68.5906,N/A,128.4296,196.6384,10,640,787,30,30,1309,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,709,300,694,1400002C000A028003131E1E051D0301000D000D00000000000000000000000000000000026202C5012C02B6
1,1,5,0,44,19655,0,0,0,1,0,2022 APR 20 03:52:32,2022 APR 20 04:14:24,2022 APR 20 03:52:42,2022 APR 20 04:14:24,N/A,N/A,2022 APR 20 04:02:42,2022 APR 20 04:14:24,2022 APR 20 04:13:54,4.807,-54.5731,2022 APR 20 04:03:12,36.8875,-43.8068,2022 APR 20 04:05:37,60.1573,871,6.62,212.1125,67.9281,N/A,127.1616,194.7117,10,640,785,30,30,1302,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,702,300,678,1400002C000A028003111E1E05160301000D000D00000000000000000000000000000000026202BE012C02A6
1,1,6,0,47,19658,0,0,0,1,0,2022 APR 20 09:47:07,2022 APR 20 10:08:38,2022 APR 20 09:47:17,2022 APR 20 10:08:38,N/A,N/A,2022 APR 20 09:57:17,2022 APR 20 10:08:38,2022 APR 20 10:08:08,2.994,-141.1728,2022 APR 20 09:57:47,33.8868,-130.9751,2022 APR 20 10:00:04,59.7979,932,6.5594,212.2629,65.9406,N/A,123.3576,188.9317,10,640,777,30,30,1281,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,681,300,628,1400002C000A028003091E1E05010301000D000D00000000000000000000000000000000026202A9012C0274
1,1,7,0,50,19661,0,0,0,1,0,2022 APR 20 15:41:55,2022 APR 20 16:03:06,2022 APR 20 15:42:05,2022 APR 20 16:03:06,N/A,N/A,2022 APR 20 15:52:05,2022 APR 20 16:03:06,2022 APR 20 16:02:36,0.98744,132.1227,2022 APR 20 15:52:35,30.7985,141.5964,2022 APR 20 15:54:44,59.4038,1001,6.485,212.4135,64.0477,N/A,119.7348,183.427,10,640,769,30,30,1261,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,661,300,835,1400002C000A028003011E1E04ED0301000D000D0000000000000000000000000000000002620295012C0343
1,1,8,0,52,19663,0,0,0,1,0,2022 APR 20 19:38:14,2022 APR 20 19:59:14,2022 APR 20 19:38:24,2022 APR 20 19:59:14,N/A,N/A,2022 APR 20 19:48:24,2022 APR 20 19:59:14,2022 APR 20 19:58:44,-0.24058,74.3871,2022 APR 20 19:48:54,28.9506,83.5965,2022 APR 20 19:50:59,59.2026,1036,6.4508,212.5138,63.0067,N/A,117.7422,180.3994,10,640,765,30,30,1250,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,650,300,1064,1400002C000A028002FD1E1E04E20301000D000D000000000000000000000000000000000262028A012C0428
1,1,9,0,54,19665,0,0,0,1,0,2022 APR 20 23:34:37,2022 APR 20 23:55:21,2022 APR 20 23:34:47,2022 APR 20 23:55:21,N/A,N/A,2022 APR 20 23:44:47,2022 APR 20 23:55:21,2022 APR 20 23:54:51,-1.1906,16.7203,2022 APR 20 23:45:17,27.0767,25.672,2022 APR 20 23:47:17,58.853,1079,6.4231,212.6142,61.4924,N/A,114.8439,175.9955,10,640,760,30,30,1234,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,634,300,1027,1400002C000A028002F81E1E04D20301000D000D000000000000000000000000000000000262027A012C0403
1,1,10,0,56,19667,0,0,0,1,0,2022 APR 21 03:31:01,2022 APR 21 03:51:34,2022 APR 21 03:31:11,2022 APR 21 03:51:34,N/A,N/A,2022 APR 21 03:41:11,2022 APR 21 03:51:34,2022 APR 21 03:51:04,-2.2484,-40.9982,2022 APR 21 03:41:41,25.4211,-32.4008,2022 APR 21 03:43:38,58.5945,1114,6.3853,212.7145,60.4513,N/A,112.8514,172.9679,10,640,757,30,30,1223,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,623,300,1002,1400002C000A028002F51E1E04C70301000D000D000000000000000000000000000000000262026F012C03EA
