NOM_02, OCCEG, 121, 222, 305, 309, 323
NOM_02, OCCIN, 17, 22, 28, 111, 244
NOM_03, OCCEG, 19, 22, 28, 34, 45, 49, 76, 91, 95, 106, 110, 131, 133, 135, 162, 170, 184, 188, 191, 197, 199, 201, 209, 236, 237, 240, 244, 246, 250, 256, 265, 273, 286, 288, 290, 300, 312, 321, 328, 335, 339, 342
NOM_03, OCCIN, 7, 13, 26, 32, 36, 40, 45, 51, 57, 60, 71, 73, 82, 84, 96, 98, 100, 124, 128, 130, 138, 142, 148, 152, 154, 163, 181, 192, 194, 206, 208, 219, 228, 231, 242, 254, 268, 271, 273, 275, 280, 281, 285, 290, 295, 297, 299, 300, 306, 309, 320, 323, 328, 339
CO_001, OCCEG, 123, 224, 262, 271
CO_001, OCCIN, 9, 49
CO_002, OCCEG, 13, 17, 36, 40, 63, 292, 293, 311, 332
CO_002, OCCIN, 19, 24, 30, 150, 167, 204, 246, 332, 334
CO2_02, OCCEG, 9, 16, 26, 46, 61, 104, 147, 168, 176, 213, 215, 234, 252, 260, 268, 275, 285, 295, 299
CO2_02, OCCIN, 16, 42, 46, 292, 302, 335, 342
HCL_01, OCCEG, 276, 317
HCL_01, OCCIN, 179, 236
FUL_01, OCCEG, 79, 278
FUL_01, OCCIN, 5, 90, 114, 116, 183, 248, 276, 278, 305
