Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,1,2024 JAN 20 15:04:27,2024 JAN 20 17:02:26,7079,2024 JAN 20 15:02:28,2024 JAN 20 16:01:14,3526,2024 JAN 20 16:01:15,2024 JAN 20 17:00:26,3551,56.9548,2024 JAN 20 16:30:34
1,1,2,2024 JAN 20 17:02:27,2024 JAN 20 19:00:25,7078,2024 JAN 20 17:00:27,2024 JAN 20 17:59:15,3528,2024 JAN 20 17:59:16,2024 JAN 20 18:58:25,3549,57.1952,2024 JAN 20 18:28:34
3,3,3,2024 JAN 20 19:00:26,2024 JAN 20 20:58:24,7078,2024 JAN 20 18:58:26,2024 JAN 20 19:57:16,3530,2024 JAN 20 19:57:17,2024 JAN 20 20:56:24,3547,57.4395,2024 JAN 20 20:26:33
1,1,4,2024 JAN 20 20:58:25,2024 JAN 20 22:56:20,7075,2024 JAN 20 20:56:25,2024 JAN 20 21:55:14,3529,2024 JAN 20 21:55:15,2024 JAN 20 22:54:20,3545,57.686,2024 JAN 20 22:24:31
3,3,5,2024 JAN 20 22:56:21,2024 JAN 21 00:54:14,7073,2024 JAN 20 22:54:21,2024 JAN 20 23:53:08,3527,2024 JAN 20 23:53:09,2024 JAN 21 00:52:14,3545,57.9253,2024 JAN 21 00:22:25
1,1,6,2024 JAN 21 00:54:15,2024 JAN 21 02:52:09,7074,2024 JAN 21 00:52:15,2024 JAN 21 01:51:01,3526,2024 JAN 21 01:51:02,2024 JAN 21 02:50:09,3547,58.1473,2024 JAN 21 02:20:19
1,1,7,2024 JAN 21 02:52:10,2024 JAN 21 04:50:09,7079,2024 JAN 21 02:50:10,2024 JAN 21 03:48:59,3529,2024 JAN 21 03:49:00,2024 JAN 21 04:48:09,3549,58.3519,2024 JAN 21 04:18:18
3,3,8,2024 JAN 21 04:50:10,2024 JAN 21 06:48:10,7080,2024 JAN 21 04:48:10,2024 JAN 21 05:46:59,3529,2024 JAN 21 05:47:00,2024 JAN 21 06:46:10,3550,58.578,2024 JAN 21 06:16:19
3,3,9,2024 JAN 21 06:48:11,2024 JAN 21 08:46:10,7079,2024 JAN 21 06:46:11,2024 JAN 21 07:44:59,3528,2024 JAN 21 07:45:00,2024 JAN 21 08:44:10,3550,58.8319,2024 JAN 21 08:14:19
3,3,10,2024 JAN 21 08:46:11,2024 JAN 21 10:44:07,7076,2024 JAN 21 08:44:11,2024 JAN 21 09:42:57,3526,2024 JAN 21 09:42:58,2024 JAN 21 10:42:07,3549,59.0936,2024 JAN 21 10:12:16
