S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2020 OCT 03 13:24:00,15.8502,-73.8091,276.1645,14.7439,56.5002,3.4986e-14,56.5002
TGO,2020 OCT 03 13:27:00,13.8731,-71.9518,399.3459,14.9164,57.0021,0.12084,57.0733

MRO,2020 OCT 03 15:15:00,12.244,-100.6397,273.568,14.755,54.1411,1.8883e-14,54.1411
TGO,2020 OCT 03 15:24:00,11.3324,-101.409,397.5766,14.8497,54.5843,0.1477,54.6807

MRO,2020 OCT 04 02:24:00,-0.66136,97.2504,265.7888,14.7953,46.6589,1.2723e-14,46.6589
TGO,2020 OCT 04 02:18:00,1.2949,96.3636,382.3814,14.6389,45.8275,175.0136,130.3506

MRO,2020 OCT 05 06:36:00,30.1117,43.9396,287.253,14.6761,66.2463,3.1806e-14,66.2463
TGO,2020 OCT 05 06:48:00,28.5831,43.5748,408.2838,14.8464,66.5627,0.074816,66.5018

MRO,2020 OCT 06 23:48:00,43.7653,161.5322,298.484,14.5983,76.2875,2.915e-14,76.2875
TGO,2020 OCT 07 00:09:00,42.5144,160.3434,417.792,14.8594,77.0605,0.37285,77.3853

MRO,2020 OCT 08 15:06:00,51.2697,-52.9691,302.0244,14.5328,81.8387,9.5417e-15,81.8387
TGO,2020 OCT 08 15:30:00,50.4285,-54.6806,422.6351,14.8078,82.708,0.1152,82.5972

MRO,2020 OCT 11 19:48:00,61.8931,-94.5064,307.4439,14.385,89.6289,4.5122e-14,89.6289
TGO,2020 OCT 11 20:12:00,60.2368,-95.4442,426.5429,14.7117,89.6156,0.101,89.5355

MRO,2020 OCT 13 10:09:00,-66.1452,-115.4012,249.757,2.3033,87.2622,1.1901e-14,87.2622
TGO,2020 OCT 13 10:33:00,-64.3438,-114.1736,381.0245,2.7742,87.0618,0.36266,87.4169

MRO,2020 OCT 14 07:36:00,57.6072,113.4678,305.8222,14.4303,85.9567,2.4892e-14,85.9567
TGO,2020 OCT 14 07:09:00,58.8272,114.2227,425.1347,14.0428,85.4469,8.107,93.5468

MRO,2020 OCT 14 11:21:00,59.9715,58.1941,306.5622,14.3939,87.7546,5.0188e-14,87.7546
TGO,2020 OCT 14 11:06:00,61.6166,59.7013,429.0684,14.2511,88.5972,12.1454,100.7215

MRO,2020 OCT 16 00:45:00,62.5373,-128.3029,306.2846,14.3483,89.5425,2.4013e-14,89.5425
TGO,2020 OCT 16 00:27:00,63.3599,-127.9675,429.8657,14.0786,89.3254,12.9525,102.128

MRO,2020 OCT 18 07:57:00,-71.8709,-36.9069,250.7528,2.1475,83.4099,3.1365e-14,83.4099
TGO,2020 OCT 18 08:30:00,-70.1166,-37.695,380.8437,2.63,83.593,3.7053,87.1533

MRO,2020 OCT 20 19:45:00,-68.3228,171.5272,253.1815,2.2256,86.5734,1.5903e-14,86.5734
TGO,2020 OCT 20 19:27:00,-69.4753,171.7095,381.2867,1.9458,86.2951,0.36993,86.6396

MRO,2020 OCT 27 08:48:00,-74.0429,35.9261,251.8203,1.9917,83.1124,9.6733e-15,83.1124
TGO,2020 OCT 27 08:42:00,-73.3603,34.983,381.4782,1.8317,84.0158,0.35015,84.3297

