Dayside Nadir Index	UTC Start Time	UTC End Time	UTC Minimum Incidence Angle Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Local Time (hrs)	
0	2018 SEP 08 16:08:57	2018 SEP 08 17:11:29	2018 SEP 08 16:40:11	3758.0	-7.8	133.0	157.9	-48.7	-36.0	48.8	13.9	
1	2018 SEP 08 18:06:53	2018 SEP 08 19:09:25	2018 SEP 08 18:38:07	3758.0	-36.7	104.1	129.0	-48.8	-35.9	49.0	13.9	
2	2018 SEP 08 20:04:46	2018 SEP 08 21:07:17	2018 SEP 08 20:36:01	3756.0	-65.5	75.3	100.1	-49.1	-35.7	49.1	13.9	
3	2018 SEP 08 22:02:37	2018 SEP 08 23:05:07	2018 SEP 08 22:33:51	3756.0	-94.4	46.4	71.3	-49.2	-35.6	49.2	13.9	
4	2018 SEP 09 00:00:28	2018 SEP 09 01:03:01	2018 SEP 09 00:31:43	3758.0	-123.2	17.5	42.5	-49.3	-35.4	49.4	13.9	
5	2018 SEP 09 01:58:23	2018 SEP 09 03:00:57	2018 SEP 09 02:29:39	3758.0	-152.0	-11.5	13.6	-49.5	-35.3	49.5	13.8	
6	2018 SEP 09 03:56:19	2018 SEP 09 04:58:55	2018 SEP 09 04:27:35	3760.0	179.1	-40.4	-15.2	-49.6	-35.1	49.7	13.8	
7	2018 SEP 09 05:54:15	2018 SEP 09 06:56:49	2018 SEP 09 06:25:29	3760.0	150.2	-69.3	-44.2	-49.7	-34.9	49.8	13.8	
8	2018 SEP 09 07:52:09	2018 SEP 09 08:54:41	2018 SEP 09 08:23:23	3758.0	121.3	-98.1	-73.1	-49.9	-34.8	50.0	13.8	
9	2018 SEP 09 09:50:00	2018 SEP 09 10:52:33	2018 SEP 09 10:21:13	3758.0	92.5	-127.0	-101.9	-50.1	-34.6	50.1	13.8	
10	2018 SEP 09 11:47:50	2018 SEP 09 12:50:25	2018 SEP 09 12:19:05	3760.0	63.6	-155.9	-130.7	-50.2	-34.5	50.2	13.8	
11	2018 SEP 09 13:45:44	2018 SEP 09 14:48:21	2018 SEP 09 14:16:59	3762.0	34.8	175.1	-159.5	-50.3	-34.3	50.4	13.8	
12	2018 SEP 09 15:43:42	2018 SEP 09 16:46:17	2018 SEP 09 16:14:57	3760.0	6.0	146.2	171.6	-50.4	-34.2	50.5	13.7	
13	2018 SEP 09 17:41:39	2018 SEP 09 18:44:13	2018 SEP 09 18:12:53	3760.0	-23.0	117.3	142.7	-50.5	-34.1	50.7	13.7	
14	2018 SEP 09 19:39:33	2018 SEP 09 20:42:05	2018 SEP 09 20:10:49	3756.0	-51.8	88.4	113.8	-50.8	-33.9	50.8	13.7	
15	2018 SEP 09 21:37:25	2018 SEP 09 22:39:57	2018 SEP 09 22:08:39	3758.0	-80.7	59.6	85.0	-50.9	-33.8	51.0	13.7	
16	2018 SEP 09 23:35:15	2018 SEP 10 00:37:47	2018 SEP 10 00:06:29	3756.0	-109.5	30.7	56.1	-51.0	-33.6	51.0	13.7	
17	2018 SEP 10 01:33:09	2018 SEP 10 02:35:43	2018 SEP 10 02:04:23	3760.0	-138.4	1.7	27.3	-51.1	-33.5	51.1	13.7	
18	2018 SEP 10 03:31:04	2018 SEP 10 04:33:39	2018 SEP 10 04:02:19	3760.0	-167.2	-27.2	-1.6	-51.2	-33.4	51.3	13.6	
19	2018 SEP 10 05:29:00	2018 SEP 10 06:31:35	2018 SEP 10 06:00:15	3760.0	163.9	-56.1	-30.5	-51.4	-33.2	51.4	13.6	
20	2018 SEP 10 07:26:54	2018 SEP 10 08:29:29	2018 SEP 10 07:58:09	3760.0	135.0	-85.0	-59.4	-51.5	-33.0	51.6	13.6	
