THERMAL ORBIT NUMBER WITH LNO MEASURING H2O IN IRDAYSIDE, OBSERVATION NAME, DIFFRACTION ORDER MEASURED
2, H2O 2SUBD 01, 167
4, HDO H2O 2SUBD 02, 168
6, HDO CO 3SUBD 02, 168
8, AER H2Oi 3SUBD 01, 169
10, CH4 3SUBD 01, 168
12, HDO H2O 2SUBD 03, 168
14, Nominal 6SUBD 01, 168
16, H2O CO 2SUBD 01, 168
20, HDO H2O 2SUBD 03, 168
22, CO H2O 3SUBD 01, 168
28, Nominal 4SUBD 01, 168
36, H2O 2SUBD 01, 167
42, Nominal Limb 01, 169
43, H2O 2SUBD 01, 167
46, HDO H2O 2SUBD 02, 168
47, HDO CO 3SUBD 02, 168
49, AER H2Oi 3SUBD 01, 169
51, CH4 3SUBD 01, 168
53, HDO H2O 2SUBD 03, 168
57, Nominal 6SUBD 01, 168
62, H2O CO 2SUBD 01, 168
64, HDO H2O 2SUBD 03, 168
69, CO H2O 3SUBD 01, 168
76, Nominal 4SUBD 01, 168
84, H2O 2SUBD 01, 167
87, HDO H2O 2SUBD 02, 168
90, HDO CO 3SUBD 02, 168
94, AER H2Oi 3SUBD 01, 169
96, CH4 3SUBD 01, 168
100, HDO H2O 2SUBD 03, 168
102, Nominal 6SUBD 01, 168
108, H2O CO 2SUBD 01, 168
111, HDO H2O 2SUBD 03, 168
113, CO H2O 3SUBD 01, 168
119, Nominal 4SUBD 01, 168
121, Nominal Limb 01, 169
130, H2O 2SUBD 01, 167
132, H2O 2SUBD 01, 167
134, HDO H2O 2SUBD 02, 168
136, HDO CO 3SUBD 02, 168
139, AER H2Oi 3SUBD 01, 169
142, CH4 H2O 2SUBD 01, 168
144, CH4 3SUBD 01, 168
150, HDO H2O 2SUBD 03, 168
153, Nominal 6SUBD 01, 168
160, H2O CO 2SUBD 01, 168
162, HDO H2O 2SUBD 03, 168
164, CO H2O 3SUBD 01, 168
167, CH4 H2O 2SUBD 01, 168
170, Nominal 4SUBD 01, 168
186, H2O 2SUBD 01, 167
188, HDO H2O 2SUBD 02, 168
194, HDO CO 3SUBD 02, 168
197, AER H2Oi 3SUBD 01, 169
199, CH4 3SUBD 01, 168
203, HDO H2O 2SUBD 03, 168
204, Nominal 6SUBD 01, 168
206, H2O CO 2SUBD 01, 168
208, HDO H2O 2SUBD 03, 168
212, CO H2O 3SUBD 01, 168
215, Nominal 4SUBD 01, 168
217, H2O 2SUBD 01, 167
219, Nominal Limb 01, 169
223, H2O 2SUBD 01, 167
225, HDO H2O 2SUBD 02, 168
227, HDO CO 3SUBD 02, 168
231, AER H2Oi 3SUBD 01, 169
233, CH4 3SUBD 01, 168
235, HDO H2O 2SUBD 03, 168
237, Nominal 6SUBD 01, 168
241, H2O CO 2SUBD 01, 168
243, HDO H2O 2SUBD 03, 168
247, CO H2O 3SUBD 01, 168
251, Nominal 4SUBD 01, 168
254, CH4 H2O 2SUBD 01, 168
258, H2O 2SUBD 01, 167
266, HDO H2O 2SUBD 02, 168
270, HDO CO 3SUBD 02, 168
272, AER H2Oi 3SUBD 01, 169
274, CH4 3SUBD 01, 168
277, HDO H2O 2SUBD 03, 168
279, CH4 H2O 2SUBD 01, 168
282, Nominal 6SUBD 01, 168
285, H2O CO 2SUBD 01, 168
292, HDO H2O 2SUBD 03, 168
295, CO H2O 3SUBD 01, 168
306, Nominal 4SUBD 01, 168
312, H2O 2SUBD 01, 167
318, HDO H2O 2SUBD 02, 168
327, HDO CO 3SUBD 02, 168
329, H2O 2SUBD 01, 167
333, AER H2Oi 3SUBD 01, 169
336, CH4 3SUBD 01, 168
341, CH4 H2O 2SUBD 01, 168
