UTC TIME WHEN LNO OBSERVING CLOSE TO INSIGHT, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2019 JUL 17 02:43:36, 54.8, 15.6, #167 #169
2019 JUL 20 03:25:50, 46.2, 14.9, #134 #136
2019 JUL 22 04:33:43, 40.3, 14.5, #134 #136
2019 JUL 24 05:41:41, 34.5, 14.1, #167 #169
2019 JUL 27 06:22:45, 28.9, 13.4, #134 #168
2019 JUL 29 07:31:48, 22.4, 13.0, #134 #136
2019 JUL 31 08:39:27, 19.1, 12.6, #167 #169
2019 AUG 05 10:29:34, 19.3, 11.5, #134 #168
2019 AUG 07 11:37:27, 22.1, 11.1, #134 #136
2019 AUG 09 12:45:57, 24.5, 10.7, #167 #169
