UTC TIME WHEN LNO OBSERVING CLOSE TO CURIOSITY, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2019 JUL 18 02:15:01, 54.0, 15.2, #134 #136
2019 JUL 20 03:22:50, 48.5, 14.8, #134 #136
2019 JUL 22 04:30:43, 43.1, 14.4, #134 #136
2019 JUL 25 05:12:13, 37.9, 13.7, #134 #168
2019 JUL 27 06:20:45, 32.6, 13.3, #134 #168
2019 JUL 29 07:28:48, 28.6, 12.9, #134 #136
2019 AUG 03 09:18:48, 27.2, 11.8, #134 #168
2019 AUG 05 10:26:34, 28.6, 11.3, #134 #168
2019 AUG 07 11:35:27, 27.9, 11.0, #134 #136
2019 AUG 10 12:16:44, 37.7, 10.3, #134 #168
