Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	Nightside	2019 OCT 05 15:46:51	2019 OCT 05 16:16:13	2019 OCT 05 16:45:35	3524.04	-57.28	74.96	108.31	-64.45	-19.24	64.46	151.41	21.98	3	-	-	-		
1	Dayside	2019 OCT 05 16:45:35	2019 OCT 05 17:15:09	2019 OCT 05 17:44:43	3547.83	108.31	-119.93	-86.14	64.46	20.59	-64.46	28.71	9.94	3	LNO Ice Index 2SUBD 01	Science: orders #153, #158, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 84: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7000 ms,20 bit,Rhythm = 8964 ms, Binning=3		
2	Nightside	2019 OCT 05 17:44:43	2019 OCT 05 18:14:05	2019 OCT 05 18:43:27	3524.57	-86.14	46.03	79.47	-64.46	-19.17	64.47	151.18	21.96	1	-	-	-		
2	Dayside	2019 OCT 05 18:43:27	2019 OCT 05 19:13:02	2019 OCT 05 19:42:37	3549.91	79.47	-148.88	-114.93	64.47	20.55	-64.47	28.95	9.92	1	H2O 2SUBD 01	Science: orders #167, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 95: NADIR: Horizontal Bin (57:240;0:1047), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
3	Nightside	2019 OCT 05 19:42:37	2019 OCT 05 20:12:01	2019 OCT 05 20:41:24	3526.59	-114.93	17.07	50.70	-64.47	-19.14	64.47	150.93	21.94	14	-	-	-		
3	Dayside	2019 OCT 05 20:41:24	2019 OCT 05 21:10:59	2019 OCT 05 21:40:34	3549.92	50.70	-177.85	-143.81	64.47	20.47	-64.48	29.22	9.91	14	-		COP row 84: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7000 ms,20 bit,Rhythm = 8964 ms, Binning=3		
4	Nightside	2019 OCT 05 21:40:34	2019 OCT 05 22:09:58	2019 OCT 05 22:39:22	3527.93	-143.81	-11.91	21.80	-64.48	-19.14	64.49	150.67	21.92	1	-	-	-		
4	Dayside	2019 OCT 05 22:39:22	2019 OCT 05 23:08:56	2019 OCT 05 23:38:31	3548.82	21.80	153.18	-172.78	64.49	20.43	-64.50	29.47	9.89	1	HDO H2O 2SUBD 02	Science: orders #168, #124, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 95: NADIR: Horizontal Bin (57:240;0:1047), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
5	Nightside	2019 OCT 05 23:38:31	2019 OCT 06 00:07:55	2019 OCT 06 00:37:18	3527.90	-172.78	-40.88	-7.22	-64.50	-19.12	64.51	150.42	21.91	14	-	-	-		
5	Dayside	2019 OCT 06 00:37:18	2019 OCT 06 01:06:52	2019 OCT 06 01:36:26	3547.65	-7.22	124.21	158.22	64.51	20.47	-64.52	29.71	9.87	14	-		COP row 84: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7000 ms,20 bit,Rhythm = 8964 ms, Binning=3		
6	Nightside	2019 OCT 06 01:36:26	2019 OCT 06 02:05:49	2019 OCT 06 02:35:13	3526.59	158.22	-69.83	-36.28	-64.52	-19.09	64.53	150.19	21.89	1	-	-	-		
6	Dayside	2019 OCT 06 02:35:13	2019 OCT 06 03:04:46	2019 OCT 06 03:34:20	3547.02	-36.28	95.27	129.20	64.53	20.51	-64.54	29.92	9.85	1	AER H2Oi 3SUBD 01	Science: orders #169, #131, #127, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 95: NADIR: Horizontal Bin (57:240;0:1047), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
7	Nightside	2019 OCT 06 03:34:20	2019 OCT 06 04:03:42	2019 OCT 06 04:33:05	3525.11	129.20	-98.75	-65.28	-64.54	-19.09	64.55	149.97	21.87	14	-	-	-		
7	Dayside	2019 OCT 06 04:33:05	2019 OCT 06 05:02:38	2019 OCT 06 05:32:11	3546.16	-65.28	66.36	100.24	64.55	20.50	-64.56	30.13	9.84	14	-		COP row 84: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7000 ms,20 bit,Rhythm = 8964 ms, Binning=3		
8	Nightside	2019 OCT 06 05:32:11	2019 OCT 06 06:01:34	2019 OCT 06 06:30:57	3526.34	100.24	-127.67	-94.10	-64.56	-19.08	64.56	149.76	21.86	1	-	-	-		
8	Dayside	2019 OCT 06 06:30:57	2019 OCT 06 07:00:31	2019 OCT 06 07:30:04	3546.59	-94.10	37.43	71.44	64.56	20.44	-64.56	30.38	9.82	1	CH4 3SUBD 01	Science: orders #168, #134, #136, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 95: NADIR: Horizontal Bin (57:240;0:1047), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
9	Nightside	2019 OCT 06 07:30:04	2019 OCT 06 07:59:28	2019 OCT 06 08:28:52	3528.44	71.44	-156.62	-122.91	-64.56	-19.04	64.56	149.51	21.84	14	-	-	-		
9	Dayside	2019 OCT 06 08:28:52	2019 OCT 06 08:58:27	2019 OCT 06 09:28:01	3548.61	-122.91	8.45	42.63	64.56	20.40	-64.57	30.64	9.80	14	-		COP row 84: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7000 ms,20 bit,Rhythm = 8964 ms, Binning=3		
10	Nightside	2019 OCT 06 09:28:01	2019 OCT 06 09:57:25	2019 OCT 06 10:26:49	3527.92	42.63	174.40	-151.80	-64.57	-18.98	64.58	149.24	21.82	1	-	-	-		
10	Dayside	2019 OCT 06 10:26:49	2019 OCT 06 10:56:24	2019 OCT 06 11:25:59	3550.41	-151.80	-20.53	13.71	64.58	20.38	-64.58	30.89	9.78	1	Surface 3SUBD 02	Science: orders #191, #194, #196, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 95: NADIR: Horizontal Bin (57:240;0:1047), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
11	Nightside	2019 OCT 06 11:25:59	2019 OCT 06 11:55:22	2019 OCT 06 12:24:46	3526.27	13.71	145.42	179.23	-64.58	-18.97	64.59	148.98	21.80	14	-	-	-		
11	Dayside	2019 OCT 06 12:24:46	2019 OCT 06 12:54:21	2019 OCT 06 13:23:56	3550.60	179.23	-49.49	-15.34	64.59	20.36	-64.60	31.13	9.77	14	-		COP row 84: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7000 ms,20 bit,Rhythm = 8964 ms, Binning=3		
12	Nightside	2019 OCT 06 13:23:56	2019 OCT 06 13:53:19	2019 OCT 06 14:22:41	3524.75	-15.34	116.46	150.20	-64.60	-19.01	64.61	148.76	21.79	3	-	-	-		
12	Dayside	2019 OCT 06 14:22:41	2019 OCT 06 14:52:15	2019 OCT 06 15:21:50	3549.01	150.20	-78.42	-44.41	64.61	20.36	-64.62	31.35	9.75	3	HDO H2O 2SUBD 03	Science: orders #168, #121, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 95: NADIR: Horizontal Bin (57:240;0:1047), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
13	Nightside	2019 OCT 06 15:21:50	2019 OCT 06 15:51:12	2019 OCT 06 16:20:34	3523.94	-44.41	87.53	121.16	-64.62	-19.04	64.63	148.55	21.77	17	-	-	COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0		
