Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Dayside nadir observation number,Thermal orbit/dayside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),SubSC latitude (deg) @ TC20 execution start time (UTC),SubSC longitude (deg) @ TC20 execution start time (UTC),SubSC LST @ TC20 execution start time (h),SubSC phase angle (deg) @ TC20 execution start time (UTC),SubSC solar incidence angle (deg) @ TC20 execution start time (UTC),SubSC emission angle (deg) @ TC20 execution start time (UTC),SubSC latitude (deg) @ TC20 execution end time (UTC),SubSC longitude (deg) @ TC20 execution end time (UTC),SubSC LST @ TC20 execution end time (h),SubSC phase angle (deg) @ TC20 execution end time (UTC),SubSC solar incidence angle (deg) @ TC20 execution end time (UTC),SubSC emission angle (deg) @ TC20 execution end time (UTC),Beta angle (deg),Solar longitude Ls (deg),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),LNO+UVIS+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
3,3,260,260,32865,1,0,0,0,0,2025 APR 05 19:52:37,2025 APR 05 21:03:17,2025 APR 05 19:52:47,2025 APR 05 21:03:02,2025 APR 05 19:52:47,2025 APR 05 21:03:16,-66.5074,39.3853,4.9025,117.4639,117.4639,7.1119e-14,68.1676,-52.5679,23.9189,88.6488,88.6488,1.5982e-14,40.1899,66.3081,25.0565,652.3777,675.1378,0,0,0,0,0,0,0,0,0,0,10,640,2425,30,30,4215,0,1,629,629,10,4229,76,1003,1400002C00000000000000000000000000000000000A028009791E1E1077000102750275000A1085004C03EB
1,1,261,261,32866,1,0,0,0,0,2025 APR 05 22:00:35,2025 APR 05 23:01:12,2025 APR 05 22:01:07,2025 APR 05 22:52:37,2025 APR 05 22:00:45,2025 APR 05 23:01:12,-71.4597,103.5567,11.2567,94.9286,94.9286,3.381e-14,68.2239,-81.5858,23.8972,88.5836,88.5836,2.3349e-14,39.9258,66.3469,17.3849,559.5115,575.2143,0,0,0,0,0,0,0,0,0,0,32,662,1892,30,30,3090,0,1,629,629,10,3627,76,827,1400002C000000000000000000000000000000000020029607641E1E0C12000102750275000A0E2B004C033B
1,1,262,262,32867,1,0,0,0,0,2025 APR 05 23:58:33,2025 APR 06 01:01:33,2025 APR 05 23:58:43,2025 APR 06 00:52:28,2025 APR 05 23:58:43,2025 APR 06 01:01:33,-71.4547,74.8434,11.2564,94.9307,94.9307,1.5003e-14,62.3108,-100.5935,0.58278,94.169,94.169,2.9592e-14,39.6859,66.3827,18.3055,581.5711,598.1208,0,0,0,0,0,0,0,0,0,0,10,640,1930,30,30,3225,0,1,629,629,10,3770,76,1099,1400002C00000000000000000000000000000000000A0280078A1E1E0C99000102750275000A0EBA004C044B
3,3,263,263,32868,1,0,0,0,0,2025 APR 06 01:46:27,2025 APR 06 02:56:55,2025 APR 06 01:46:37,2025 APR 06 02:56:52,2025 APR 06 01:46:37,2025 APR 06 02:56:54,-66.6385,-47.489,4.8514,117.7694,117.7694,2.2935e-14,68.4363,-139.6453,23.8508,88.3522,88.3522,3.0005e-14,39.4842,66.4154,25.0565,650.5266,673.2866,0,0,0,0,0,0,0,0,0,0,10,640,2425,30,30,4215,0,1,629,629,10,4217,76,991,1400002C00000000000000000000000000000000000A028009791E1E1077000102750275000A1079004C03DF
1,1,264,264,32869,1,0,0,0,0,2025 APR 06 03:54:18,2025 APR 06 04:57:18,2025 APR 06 03:54:28,2025 APR 06 04:48:13,2025 APR 06 03:54:28,2025 APR 06 04:57:17,-71.4747,17.2266,11.24,94.9775,94.9775,2.5642e-14,62.2936,-158.3378,0.55778,94.1964,94.1964,1.3114e-14,39.2367,66.4542,18.3055,581.4168,597.9665,0,0,0,0,0,0,0,0,0,0,10,640,1930,30,30,3225,0,1,629,629,10,3769,76,1098,1400002C00000000000000000000000000000000000A0280078A1E1E0C99000102750275000A0EB9004C044A
3,3,265,265,32870,1,0,0,0,0,2025 APR 06 05:42:10,2025 APR 06 06:52:39,2025 APR 06 05:42:20,2025 APR 06 06:52:35,2025 APR 06 05:42:20,2025 APR 06 06:52:39,-66.5943,-105.2519,4.8247,117.9428,117.9428,5.2025e-14,68.4577,162.2018,23.7983,88.3057,88.3057,1.0579e-14,39.0673,66.4869,25.0565,650.8351,673.5951,0,0,0,0,0,0,0,0,0,0,10,640,2425,30,30,4215,0,1,629,629,10,4219,76,993,1400002C00000000000000000000000000000000000A028009791E1E1077000102750275000A107B004C03E1
1,1,266,266,32871,1,0,0,0,0,2025 APR 06 07:50:06,2025 APR 06 08:50:33,2025 APR 06 07:50:34,2025 APR 06 08:42:04,2025 APR 06 07:50:16,2025 APR 06 08:50:33,-71.4217,-40.8709,11.1922,94.9815,94.9815,3.0257e-14,68.5347,132.9433,23.7606,88.2119,88.2119,1.7128e-14,38.821,66.5257,17.3849,557.9688,573.6717,0,0,0,0,0,0,0,0,0,0,28,658,1888,30,30,3090,0,1,629,629,10,3617,76,805,1400002C00000000000000000000000000000000001C029207601E1E0C12000102750275000A0E21004C0325
1,1,267,267,32872,1,0,0,0,0,2025 APR 06 09:48:03,2025 APR 06 10:51:05,2025 APR 06 09:48:13,2025 APR 06 10:42:13,2025 APR 06 09:48:13,2025 APR 06 10:51:05,-71.4098,-69.7966,11.1775,94.9902,94.9902,9.8353e-15,62.293,114.6182,0.49444,94.2327,94.2327,2.0365e-14,38.5885,66.5614,18.4078,581.8796,598.5234,0,0,0,0,0,0,0,0,0,0,10,640,1945,30,30,3240,0,1,629,629,10,3772,76,1131,1400002C00000000000000000000000000000000000A028007991E1E0CA8000102750275000A0EBC004C046B
3,3,268,268,32873,1,0,0,0,0,2025 APR 06 11:35:59,2025 APR 06 12:46:24,2025 APR 06 11:36:09,2025 APR 06 12:46:09,2025 APR 06 11:36:09,2025 APR 06 12:46:23,-66.6256,168.0087,4.7822,118.2057,118.2057,1.4312e-14,68.6402,75.0165,23.725,88.0825,88.0825,4.6316e-14,38.3822,66.5942,24.9542,650.0638,672.7297,0,0,0,0,0,0,0,0,0,0,10,640,2425,30,30,4200,0,1,629,629,10,4214,76,973,1400002C00000000000000000000000000000000000A028009791E1E1068000102750275000A1076004C03CD
1,1,269,269,32874,1,0,0,0,0,2025 APR 06 13:43:53,2025 APR 06 14:46:55,2025 APR 06 13:44:03,2025 APR 06 14:38:03,2025 APR 06 13:44:03,2025 APR 06 14:46:54,-71.4389,-127.5069,11.1561,95.0517,95.0517,7.9514e-15,62.2715,57.0033,0.47944,94.2529,94.2529,3.0837e-14,38.1164,66.6329,18.4078,581.7253,598.3691,0,0,0,0,0,0,0,0,0,0,10,640,1945,30,30,3240,0,1,629,629,10,3771,76,1130,1400002C00000000000000000000000000000000000A028007991E1E0CA8000102750275000A0EBB004C046A
