TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2020 JUN 14 14:36:00,12,12
2020 JUN 14 18:33:00,14,14
2020 JUN 14 20:33:00,15,15
2020 JUN 14 22:33:00,16,16
2020 JUN 15 00:30:00,17,17
2020 JUN 15 02:27:00,18,18
2020 JUN 16 02:03:00,30,30
2020 JUN 16 06:00:00,32,32
2020 JUN 16 10:00:00,34,34
2020 JUN 16 11:57:00,35,35
2020 JUN 16 13:54:00,36,36
2020 JUN 16 17:51:00,38,38
2020 JUN 17 15:27:00,49,49
2020 JUN 17 23:24:00,53,53
2020 JUN 18 01:21:00,54,54
2020 JUN 18 03:18:00,55,55
2020 JUN 18 07:15:00,57,57
2020 JUN 19 14:45:00,73,73
2020 JUN 19 16:42:00,74,74
2020 JUN 19 18:39:00,75,75
2020 JUN 21 02:09:00,91,91
2020 JUN 21 04:06:00,92,92
2020 JUN 21 10:00:00,95,95
2020 JUN 22 19:27:00,112,112
2020 JUN 22 21:24:00,113,113
2020 JUN 23 09:15:00,119,119
2020 JUN 24 08:48:00,131,131
2020 JUN 24 17:42:00,136,136
2020 JUN 25 14:18:00,146,146
2020 JUN 26 07:03:00,155,155
2020 JUN 27 03:39:00,165,165
2020 JUN 27 20:24:00,174,174
2020 JUN 30 19:09:00,210,210
2020 JUL 02 02:36:00,226,226
2020 JUL 02 08:30:00,229,229
2020 JUL 03 15:57:00,245,245
2020 JUL 03 21:51:00,248,248
2020 JUL 05 23:00:00,273,273
2020 JUL 07 12:21:00,292,292
2020 JUL 10 17:00:00,331,331
