UTC TIME WHEN LNO OBSERVING CLOSE TO CURIOSITY, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2019 SEP 15 15:56:27, 49.1, 14.7, #134 #168
2019 SEP 17 17:04:16, 44.5, 14.3, #134 #168
2019 SEP 22 18:54:37, 34.9, 13.2, #134 #168
2019 SEP 24 20:01:58, 31.1, 12.7, #136 #168
2019 SEP 26 21:10:42, 32.8, 12.4, #136 #168
2019 SEP 29 21:52:25, 30.3, 11.7, #136 #168
2019 OCT 01 22:59:59, 31.7, 11.2, #136 #168
2019 OCT 04 00:07:56, 35.1, 10.8, #136 #168
