UTC TIME WHEN LNO OBSERVING CLOSE TO AEOLIS MENSAE MFF, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2019 SEP 16 15:29:24, 41.9, 14.4, #136 #168
2019 SEP 18 16:38:37, 40.9, 14.0, #134 #168
2019 SEP 20 17:46:10, 36.2, 13.6, #136 #168
2019 SEP 25 19:36:08, 28.0, 12.5, #136 #168
2019 SEP 27 20:43:48, 27.1, 12.1, #134 #168
2019 SEP 29 21:52:55, 31.8, 11.7, #136 #168
2019 OCT 02 22:34:31, 32.1, 11.0, #134 #168
2019 OCT 04 23:41:55, 35.0, 10.5, #136 #136
