UTC TIME WHEN LNO OBSERVING CLOSE TO INSIGHT, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2019 SEP 15 15:53:27, 41.9, 14.5, #134 #168
2019 SEP 17 17:01:16, 36.9, 14.1, #134 #168
2019 SEP 19 18:09:53, 34.4, 13.7, #167 #169
2019 SEP 22 18:51:07, 24.5, 13.0, #134 #168
2019 SEP 24 19:58:58, 21.9, 12.6, #136 #168
2019 SEP 26 21:07:12, 22.1, 12.2, #136 #168
2019 SEP 29 21:48:55, 20.9, 11.5, #136 #168
2019 OCT 01 22:56:59, 24.7, 11.1, #136 #168
2019 OCT 04 00:04:26, 28.3, 10.6, #136 #168
