THERMAL ORBIT NUMBER WITH LNO MEASURING H2O IN IRDAYSIDE, OBSERVATION NAME, DIFFRACTION ORDER MEASURED
7, H2O 2SUBD 01, 167
10, HDO H2O 2SUBD 02, 168
12, CH4 H2O 2SUBD 01, 168
16, AER H2Oi 3SUBD 01, 169
18, CH4 3SUBD 01, 168
20, HDO H2O 2SUBD 03, 168
24, CH4 H2O 2SUBD 02, 168
26, Nominal 6SUBD 01, 168
28, H2O CO 2SUBD 01, 168
30, CO H2O 3SUBD 01, 168
37, CH4 H2O 2SUBD 01, 168
41, Nominal 4SUBD 01, 168
47, H2O 2SUBD 01, 167
49, CH4 H2O 2SUBD 01, 168
51, HDO H2O 2SUBD 02, 168
53, AER H2Oi 3SUBD 01, 169
55, CH4 3SUBD 01, 168
57, HDO H2O 2SUBD 03, 168
58, CH4 H2O 2SUBD 01, 168
61, CH4 H2O 2SUBD 02, 168
62, H2O 2SUBD 01, 167
65, Nominal 6SUBD 01, 168
69, H2O CO 2SUBD 01, 168
72, CO H2O 3SUBD 01, 168
74, CH4 H2O 2SUBD 02, 168
80, Nominal 4SUBD 01, 168
86, H2O 2SUBD 01, 167
88, HDO H2O 2SUBD 02, 168
90, AER H2Oi 3SUBD 01, 169
97, CH4 3SUBD 01, 168
99, CH4 H2O 2SUBD 01, 168
103, HDO H2O 2SUBD 03, 168
105, Nominal 6SUBD 01, 168
108, H2O CO 2SUBD 01, 168
111, CO H2O 3SUBD 01, 168
113, CH4 H2O 2SUBD 02, 168
115, Nominal 4SUBD 01, 168
119, H2O 2SUBD 01, 167
121, HDO H2O 2SUBD 02, 168
124, CH4 H2O 2SUBD 02, 168
126, Nominal Limb 01, 169
128, AER H2Oi 3SUBD 01, 169
129, CH4 H2O 2SUBD 01, 168
134, CH4 3SUBD 01, 168
136, CH4 H2O 2SUBD 02, 168
137, HDO H2O 2SUBD 03, 168
140, Nominal 6SUBD 01, 168
144, H2O CO 2SUBD 01, 168
149, CH4 H2O 2SUBD 02, 168
150, CO H2O 3SUBD 01, 168
152, CH4 H2O 2SUBD 02, 168
156, Nominal 4SUBD 01, 168
161, CH4 H2O 2SUBD 01, 168
164, H2O 2SUBD 01, 167
167, HDO H2O 2SUBD 02, 168
169, AER H2Oi 3SUBD 01, 169
172, CH4 3SUBD 01, 168
174, HDO H2O 2SUBD 03, 168
176, Nominal 6SUBD 01, 168
181, H2O CO 2SUBD 01, 168
184, CO H2O 3SUBD 01, 168
186, CH4 H2O 2SUBD 02, 168
187, CH4 H2O 2SUBD 01, 168
190, Nominal 4SUBD 01, 168
198, H2O 2SUBD 01, 167
200, CH4 H2O 2SUBD 02, 168
204, HDO H2O 2SUBD 02, 168
206, AER H2Oi 3SUBD 01, 169
208, CH4 3SUBD 01, 168
210, HDO H2O 2SUBD 03, 168
211, CH4 H2O 2SUBD 02, 168
217, Nominal 6SUBD 01, 168
222, CH4 H2O 2SUBD 02, 168
223, CH4 H2O 2SUBD 01, 168
225, H2O CO 2SUBD 01, 168
227, CO H2O 3SUBD 01, 168
229, CH4 H2O 2SUBD 02, 168
231, Nominal 4SUBD 01, 168
236, CH4 H2O 2SUBD 02, 168
241, H2O 2SUBD 01, 167
244, CH4 H2O 2SUBD 02, 168
245, HDO H2O 2SUBD 02, 168
251, AER H2Oi 3SUBD 01, 169
254, CH4 3SUBD 01, 168
