Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Nightside nadir observation number,Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),SubSC latitude (deg) @ TC20 execution start time (UTC),SubSC longitude (deg) @ TC20 execution start time (UTC),SubSC LST @ TC20 execution start time (h),SubSC phase angle (deg) @ TC20 execution start time (UTC),SubSC solar incidence angle (deg) @ TC20 execution start time (UTC),SubSC emission angle (deg) @ TC20 execution start time (UTC),SubSC latitude (deg) @ TC20 execution end time (UTC),SubSC longitude (deg) @ TC20 execution end time (UTC),SubSC LST @ TC20 execution end time (h),SubSC phase angle (deg) @ TC20 execution end time (UTC),SubSC solar incidence angle (deg) @ TC20 execution end time (UTC),SubSC emission angle (deg) @ TC20 execution end time (UTC),Beta angle (deg),Solar longitude Ls (deg),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),LNO+UVIS+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
17,17,1,13,4233,0,1,0,0,0,2018 NOV 04 13:43:18,2018 NOV 04 14:20:14,N/A,N/A,2018 NOV 04 13:43:28,2018 NOV 04 14:20:14,-36.577,169.4445,0.24417,118.3998,118.3998,2.3155e-14,67.1135,-142.3853,4.0544,123.7065,123.7065,2.7035e-14,-21.2934,282.0369,N/A,224.3198,224.3198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2206,104,344,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089E00680158
17,17,2,14,4234,0,1,0,0,0,2018 NOV 04 15:41:13,2018 NOV 04 16:18:08,N/A,N/A,2018 NOV 04 15:41:23,2018 NOV 04 16:18:08,-36.5166,140.48,0.22528,118.4798,118.4798,6.8511e-14,67.1624,-171.2591,4.0411,123.7607,123.7607,9.6159e-15,-21.0222,282.0876,N/A,224.2181,224.2181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2205,104,343,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089D00680157
17,17,3,37,4257,0,1,0,0,0,2018 NOV 06 12:51:57,2018 NOV 06 13:28:54,N/A,N/A,2018 NOV 06 12:52:07,2018 NOV 06 13:28:54,-35.5952,-165.0365,23.8083,119.5451,119.5451,4.0731e-14,67.858,-115.2929,3.7236,125.1019,125.1019,1.6295e-14,-14.958,283.2526,N/A,224.4215,224.4215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2207,104,345,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089F00680159
17,17,4,47,4267,0,1,0,0,0,2018 NOV 07 08:30:41,2018 NOV 07 09:07:36,N/A,N/A,2018 NOV 07 08:30:51,2018 NOV 07 09:07:36,-35.059,-94.4113,23.6283,119.9671,119.9671,1.8009e-14,68.2494,-44.0049,3.5872,125.5817,125.5817,1.4918e-14,-12.3101,283.7585,N/A,224.2181,224.2181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2205,104,343,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089D00680157
17,17,5,73,4293,0,1,0,0,0,2018 NOV 09 11:35:09,2018 NOV 09 12:12:05,N/A,N/A,2018 NOV 09 11:35:19,2018 NOV 09 12:12:05,-33.6522,-126.674,23.1644,120.5579,120.5579,3.7633e-14,69.2121,-73.5474,3.305,126.3347,126.3347,1.5982e-14,-5.5377,285.0718,N/A,224.3198,224.3198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2206,104,344,1400002C0000000000000000000000000000000000000000000000000000000000000000000A089E00680158
17,17,6,111,4331,0,1,0,0,0,2018 NOV 12 14:14:12,2018 NOV 12 14:51:10,N/A,N/A,2018 NOV 12 14:14:22,2018 NOV 12 14:51:10,-30.9531,-146.0322,22.4972,120.6612,120.6612,3.3206e-14,70.7823,-87.0299,3.03,126.4134,126.4134,4.5872e-14,4.2003,286.9861,N/A,224.5232,224.5232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2208,104,346,1400002C0000000000000000000000000000000000000000000000000000000000000000000A08A00068015A
17,17,7,123,4343,0,1,0,0,0,2018 NOV 13 13:48:43,2018 NOV 13 14:25:42,N/A,N/A,2018 NOV 13 13:48:53,2018 NOV 13 14:25:42,-29.9835,-133.1765,22.2894,120.4559,120.4559,5.2068e-14,71.3355,-71.6884,2.9883,126.1684,126.1684,1.0183e-14,7.2404,287.5893,N/A,224.6248,224.6248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2209,104,347,1400002C0000000000000000000000000000000000000000000000000000000000000000000A08A10068015B
17,17,8,131,4351,0,1,0,0,0,2018 NOV 14 05:31:46,2018 NOV 14 06:08:45,N/A,N/A,2018 NOV 14 05:31:56,2018 NOV 14 06:08:45,-29.2304,-4.6343,22.1497,120.308,120.308,7.1119e-15,71.608,58.8519,2.9819,125.9745,125.9745,1.1468e-14,9.1978,287.9911,N/A,224.6248,224.6248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2209,104,347,1400002C0000000000000000000000000000000000000000000000000000000000000000000A08A10068015B
17,17,9,132,4352,0,1,0,0,0,2018 NOV 14 07:29:41,2018 NOV 14 08:06:41,N/A,N/A,2018 NOV 14 07:29:51,2018 NOV 14 08:06:41,-29.1392,-33.5868,22.1317,120.2761,120.2761,2.2264e-14,71.6731,30.2018,2.9842,125.9203,125.9203,1.0183e-14,9.4618,288.0413,N/A,224.7265,224.7265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2210,104,348,1400002C0000000000000000000000000000000000000000000000000000000000000000000A08A20068015C
17,17,10,133,4353,0,1,0,0,0,2018 NOV 14 09:27:35,2018 NOV 14 10:04:35,N/A,N/A,2018 NOV 14 09:27:45,2018 NOV 14 10:04:35,-29.0265,-62.5085,22.1153,120.2733,120.2733,3.9341e-14,71.7634,1.4694,2.9803,125.8731,125.8731,2.2946e-14,9.7345,288.0915,N/A,224.7265,224.7265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2210,104,348,1400002C0000000000000000000000000000000000000000000000000000000000000000000A08A20068015C
