TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2024 DEC 22 03:30:00,6,6
2024 DEC 23 10:57:00,22,22
2024 DEC 24 04:39:00,31,31
2024 DEC 25 12:06:00,47,47
2024 DEC 26 21:30:00,64,64
2024 DEC 28 04:57:00,80,80
2024 DEC 28 22:39:00,89,89
2024 DEC 31 15:30:00,122,122
2025 JAN 01 09:12:00,131,131
2025 JAN 02 16:39:00,147,147
2025 JAN 04 02:03:00,164,164
2025 JAN 05 15:24:00,183,183
2025 JAN 08 08:15:00,216,216
2025 JAN 09 07:51:00,228,228
2025 JAN 12 00:42:00,261,261
2025 JAN 15 03:24:00,299,299
2025 JAN 15 09:18:00,302,302
2025 JAN 16 12:48:00,316,316
2025 JAN 17 20:15:00,332,332
2025 JAN 18 02:09:00,335,335
2025 JAN 18 12:00:00,340,340
