UTC TIME WHEN LNO OBSERVING CLOSE TO CURIOSITY, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2021 SEP 04 22:03:04, 48.5, 14.6, #136 #168
2021 SEP 06 23:11:08, 43.4, 14.2, #136 #168
2021 SEP 09 00:18:48, 39.2, 13.8, #134 #168
2021 SEP 14 02:08:57, 31.6, 12.8, #134 #168
2021 SEP 16 03:16:23, 30.6, 12.3, #136 #168
2021 SEP 18 04:24:23, 29.1, 12.0, #136 #136
2021 SEP 23 06:14:18, 33.8, 10.9, #134 #168
2021 SEP 25 07:22:04, 36.5, 10.5, #134 #168
2021 SEP 27 08:29:57, 39.7, 10.1, #136 #168
2021 SEP 30 09:11:19, 49.2, 9.5, #136 #189
