UTC TIME WHEN LNO OBSERVING CLOSE TO INSIGHT, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2021 SEP 06 23:13:08, 40.6, 14.3, #136 #168
2021 SEP 09 00:21:48, 34.5, 13.9, #134 #168
2021 SEP 11 01:29:35, 29.8, 13.5, #167 #169
2021 SEP 16 03:19:53, 21.1, 12.5, #136 #168
2021 SEP 18 04:27:23, 20.2, 12.1, #136 #136
2021 SEP 20 05:34:59, 20.8, 11.7, #167 #169
2021 SEP 25 07:25:04, 28.1, 10.7, #134 #168
2021 SEP 27 08:32:57, 31.8, 10.3, #136 #168
2021 SEP 29 09:40:30, 36.9, 9.9, #167 #169
