UTC TIME WHEN LNO OBSERVING CLOSE TO INSIGHT, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2021 NOV 02 12:06:11, 45.0, 14.9, #136 #136
2021 NOV 04 13:14:09, 40.0, 14.5, #136 #189
2021 NOV 09 15:02:49, 23.3, 13.4, #136 #189
2021 NOV 11 16:11:47, 21.5, 13.1, #136 #189
2021 NOV 13 17:19:41, 18.0, 12.7, #136 #189
2021 NOV 15 18:27:58, 17.2, 12.3, #134 #168
2021 NOV 18 19:08:48, 12.6, 11.6, #136 #189
2021 NOV 20 20:17:29, 17.7, 11.2, #136 #168
2021 NOV 22 21:25:07, 21.6, 10.8, #134 #168
