UTC TIME WHEN LNO OBSERVING CLOSE TO CURIOSITY, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2021 OCT 31 11:00:31, 54.5, 15.4, #136 #168
2021 NOV 02 12:09:41, 52.3, 15.1, #136 #136
2021 NOV 04 13:17:09, 46.6, 14.7, #136 #189
2021 NOV 09 15:06:49, 33.2, 13.6, #136 #189
2021 NOV 11 16:15:17, 31.2, 13.2, #136 #189
2021 NOV 13 17:22:41, 27.0, 12.8, #136 #189
2021 NOV 15 18:31:28, 28.1, 12.5, #134 #168
2021 NOV 18 19:12:48, 23.3, 11.8, #136 #189
2021 NOV 20 20:20:29, 24.5, 11.4, #136 #168
2021 NOV 22 21:28:37, 28.0, 11.0, #134 #168
