MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2022 JAN 24 01:51:32,2022 JAN 24 01:56:32,18,18
2022 JAN 30 03:15:18,2022 JAN 30 03:20:18,92,92
2022 JAN 30 05:14:59,2022 JAN 30 05:19:59,93,93
2022 JAN 31 04:47:22,2022 JAN 31 04:52:22,105,105
2022 JAN 31 14:40:48,2022 JAN 31 14:45:30,110,110
2022 FEB 01 16:12:46,2022 FEB 01 16:17:46,123,123
2022 FEB 01 20:09:12,2022 FEB 01 20:14:12,125,125
2022 FEB 06 08:13:10,2022 FEB 06 08:18:10,180,180
2022 FEB 07 17:35:51,2022 FEB 07 17:40:51,197,197
2022 FEB 09 05:00:15,2022 FEB 09 05:05:15,215,215
2022 FEB 14 08:55:10,2022 FEB 14 09:00:10,278,278
