S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2022 MAR 22 17:03:00,-78.9881,-2.2122,254.5438,16.7308,80.2272,2.9334e-14,80.2272
TGO,2022 MAR 22 16:54:00,-75.9451,0.90357,379.4644,16.7928,79.5457,0.40109,79.6491

MRO,2022 MAR 24 08:21:00,-73.4289,139.4824,253.1361,16.4242,76.998,5.4651e-14,76.998
TGO,2022 MAR 24 08:12:00,-75.9305,141.3923,379.2463,16.4053,77.8342,0.39274,77.9228

MRO,2022 MAR 24 13:57:00,-74.9541,58.8883,252.3491,16.5011,77.7649,2.7035e-14,77.7649
TGO,2022 MAR 24 14:06:00,-75.8604,57.1545,379.8071,16.5314,78.1772,0.39633,78.2705

MRO,2022 MAR 24 19:33:00,-77.1735,-21.323,255.0261,16.6036,78.7915,3.531e-14,78.7915
TGO,2022 MAR 24 20:00:00,-75.9305,-25.4158,378.4567,16.7686,78.9554,0.40082,79.0581

MRO,2022 MAR 29 02:24:00,-76.9519,-82.665,250.9535,16.6064,77.716,7.1811e-15,77.716
TGO,2022 MAR 29 02:12:00,-75.4693,-80.0046,381.8673,16.5892,77.1895,0.4017,77.2847

MRO,2022 MAR 29 08:00:00,-78.6804,-163.0247,252.6685,16.6989,78.4704,1.445e-14,78.4704
TGO,2022 MAR 29 08:06:00,-75.3432,-163.7672,378.6322,16.7467,77.6561,0.40612,77.7573

MRO,2022 MAR 30 23:18:00,-72.7326,-21.4034,254.5682,16.3861,75.0574,5.3976e-14,75.0574
TGO,2022 MAR 30 23:24:00,-75.4187,-23.7448,378.6788,16.3275,75.8171,0.39597,75.902

MRO,2022 APR 01 18:18:00,-74.094,71.9266,250.9734,16.4544,75.3863,2.642e-14,75.3863
TGO,2022 APR 01 18:39:00,-74.4969,70.1095,380.4691,16.6739,76.3453,1.7744,75.5303

MRO,2022 APR 04 11:45:00,-73.8325,-164.0579,252.2433,16.4156,74.5167,5.65e-14,74.5167
TGO,2022 APR 04 11:30:00,-74.2371,-163.3858,378.3993,16.2169,73.9182,0.404,73.9954

MRO,2022 APR 06 01:09:00,-73.2688,9.6701,253.7125,16.3931,73.8757,3.4368e-14,73.8757
TGO,2022 APR 06 00:51:00,-73.0244,14.0615,378.6557,16.3939,73.7971,0.41938,73.8788

MRO,2022 APR 06 06:45:00,-75.3135,-70.521,250.8955,16.4967,74.9068,1.6773e-14,74.9068
TGO,2022 APR 06 06:45:00,-72.4805,-70.731,381.4831,16.4828,73.9265,0.42663,74.0112

MRO,2022 APR 07 20:09:00,-74.9968,103.2909,251.3615,16.4797,74.3826,9.7059e-15,74.3826
TGO,2022 APR 07 20:06:00,-71.0963,105.1553,379.8853,16.5553,73.4657,1.0093,72.9288

MRO,2022 APR 07 22:03:00,-68.9799,72.4811,250.0477,16.2747,71.4156,2.8459e-14,71.4156
TGO,2022 APR 07 22:03:00,-72.8643,68.8877,380.0445,16.035,71.8688,0.41146,71.9343

MRO,2022 APR 09 11:27:00,-68.6496,-113.5916,250.7535,16.265,70.9052,3.3547e-14,70.9052
TGO,2022 APR 09 11:24:00,-71.4396,-114.8841,379.5923,16.1303,71.3207,0.4265,71.3866

MRO,2022 APR 09 17:03:00,-70.649,165.1055,250.8091,16.2944,71.7022,4.0239e-14,71.7022
TGO,2022 APR 09 17:18:00,-70.4546,160.4746,380.627,16.2289,71.3284,2.5046,73.7094

MRO,2022 APR 10 19:15:00,-66.3617,141.2258,251.2407,16.1983,69.4524,3.3092e-14,69.4524
TGO,2022 APR 10 18:51:00,-70.1332,145.8353,381.031,16.1164,70.4486,0.89959,71.3481

MRO,2022 APR 11 00:51:00,-67.8243,60.1175,250.0271,16.2408,70.1462,3.4586e-14,70.1462
TGO,2022 APR 11 00:45:00,-69.9046,60.3146,380.0043,16.1567,70.4923,0.44047,70.5561

MRO,2022 APR 11 06:27:00,-69.9265,-21.0952,252.9119,16.2761,71.0132,2.2935e-14,71.0132
TGO,2022 APR 11 06:39:00,-69.0563,-24.4134,380.6501,16.2494,70.5735,0.44699,70.6777

MRO,2022 APR 12 19:51:00,-69.3198,152.5961,250.3814,16.2503,70.3296,1.0183e-14,70.3296
TGO,2022 APR 12 20:00:00,-67.1689,149.9722,380.8399,16.2211,69.4208,0.46509,69.4835

MRO,2022 APR 14 03:39:00,-66.7335,47.6845,250.0643,16.2011,68.8742,2.1097e-14,68.8742
TGO,2022 APR 14 03:27:00,-66.1674,49.1569,379.17,16.1047,68.1387,0.46963,68.1935

MRO,2022 APR 14 13:00:00,-66.8753,-88.6941,248.7055,16.2078,68.8766,6.3681e-15,68.8766
TGO,2022 APR 14 13:18:00,-62.4366,-90.1642,380.0497,16.4017,68.6535,0.50594,68.7241

MRO,2022 APR 15 20:48:00,-64.1851,166.1117,250.256,16.1394,67.2654,5.0914e-15,67.2654
TGO,2022 APR 15 20:45:00,-60.8446,168.6591,381.0886,16.2608,66.9751,0.40394,67.2006

