Target Name,Flyover #,Orbit type,Thermal orbit number,Start crossing time (UTC),End crossing time (UTC),Start crossing latitude (deg),Start crossing longitude (deg),End crossing latitude (deg),End crossing longitude (deg),Start crossing phase angle (deg),End crossing phase angle (deg),Start crossing solar incidence angle (deg),End crossing solar incidence angle (deg),Start crossing emission angle (deg),End crossing emission angle (deg),Start crossing LST (h),End crossing LST (h)
Arsia Mons                                           ,1,3,95,2024 NOV 03 08:54:16,2024 NOV 03 08:54:18,-7.7345,-123.4915,-7.8516,-123.4713,48.2941,48.2736,48.1531,48.1329,0.20211,0.20096,8.8003,8.8022
Arsia Mons                                           ,2,3,337,2024 NOV 23 05:20:56,2024 NOV 23 05:21:32,-7.8515,-122.2175,-6.099,-121.9197,63.9028,64.2128,70.7198,71.0049,6.8593,6.8409,16.6781,16.7075
Pavonis Mons                                         ,1,3,107,2024 NOV 04 08:25:23,2024 NOV 04 08:25:36,3.4013,-112.6048,2.7773,-112.5,54.0722,53.8689,53.9274,53.7233,0.31163,0.30554,8.42,8.4303
Pavonis Mons                                         ,2,3,219,2024 NOV 13 12:31:01,2024 NOV 13 12:31:23,3.4012,-112.6829,2.309,-112.5,87.0153,86.7505,80.0742,79.7967,7.0895,7.0951,6.6622,6.6803
Pavonis Mons                                         ,3,3,287,2024 NOV 19 03:08:51,2024 NOV 19 03:09:22,1.8707,-114.4917,3.4013,-114.2342,83.7712,84.1246,83.9263,84.2778,0.38257,0.36554,17.5981,17.6236
Ascraeus Mons                                        ,1,1,32,2024 OCT 29 04:59:19,2024 OCT 29 04:59:29,12.4017,-104.0869,11.9071,-104,39.9007,39.5987,40.766,40.4797,0.86652,0.88208,9.4719,9.4806
Ascraeus Mons                                        ,2,3,144,2024 NOV 07 09:04:54,2024 NOV 07 09:05:30,12.4016,-104.7869,10.6476,-104.4751,65.9943,65.3503,65.8633,65.2156,0.39993,0.3834,7.6692,7.6994
Eastern Coprates                                     ,1,3,155,2024 NOV 08 06:50:22,2024 NOV 08 06:50:57,-12.5989,-58.809,-14.3517,-58.4877,61.9805,61.7258,61.8476,61.5979,0.16127,0.14741,7.9139,7.945
Eastern Coprates                                     ,2,3,267,2024 NOV 17 10:55:57,2024 NOV 17 10:56:33,-12.5989,-59.6151,-14.3517,-59.2934,88.7885,88.3811,88.6445,88.238,0.17027,0.16032,6.1089,6.14
Eastern Coprates                                     ,3,3,285,2024 NOV 18 23:07:37,2024 NOV 18 23:08:13,-14.3517,-59.5084,-12.5989,-59.1861,81.0517,81.3939,80.915,81.2549,0.4212,0.40462,17.3497,17.3808
Elysium Cerberus Phlegra                             ,1,3,97,2024 NOV 03 12:35:14,2024 NOV 03 12:35:27,35.9038,169.8105,35.2765,170,68.1856,67.7894,68.1453,67.748,0.54199,0.53997,7.9386,7.9547
Elysium Cerberus Phlegra                             ,2,3,209,2024 NOV 12 16:40:49,2024 NOV 12 16:41:26,35.9038,168.9971,34.1447,169.5191,88.5223,87.9346,88.3798,87.7939,0.57699,0.56968,6.1311,6.1756
Olympica Fossae-Jovis Tholus                         ,1,3,107,2024 NOV 04 08:19:27,2024 NOV 04 08:20:03,20.9022,-115.7776,19.1469,-115.4249,61.4861,60.6114,61.3935,60.5124,0.46544,0.45226,8.1119,8.1453
Olympica Fossae-Jovis Tholus                         ,2,3,219,2024 NOV 13 12:25:04,2024 NOV 13 12:25:40,20.9026,-116.1334,19.1462,-115.7241,89.199,89.1658,85.2219,84.6508,4.1778,4.7171,6.3356,6.3728
Ceraunius Fossae                                     ,1,1,32,2024 OCT 29 04:55:06,2024 OCT 29 04:55:19,24.7774,-106.4894,24.1464,-106.3527,48.4541,47.9792,48.9512,48.4941,0.53535,0.54825,9.2436,9.2561
Ceraunius Fossae                                     ,2,3,231,2024 NOV 14 11:58:14,2024 NOV 14 11:58:50,25.9025,-104.9082,24.1464,-104.5164,89.802,89.3212,89.6521,89.1724,0.52542,0.51232,6.0114,6.0472
Claritas Rise                                        ,1,3,57,2024 OCT 31 06:20:31,2024 OCT 31 06:21:07,-27.5985,-99.5332,-29.3525,-99.0953,44.2414,44.7751,40.1894,40.7625,4.2132,4.2176,9.8169,9.8558
Claritas Rise                                        ,2,3,169,2024 NOV 09 10:26:05,2024 NOV 09 10:26:40,-27.5986,-100.8212,-29.3522,-100.3933,63.8389,63.7987,63.7598,63.7282,0.086524,0.083405,7.9756,8.0136
Claritas Rise                                        ,3,3,249,2024 NOV 16 00:17:52,2024 NOV 16 00:18:27,-29.3522,-100.9748,-27.5986,-100.5457,85.7695,86.1765,85.6391,86.0435,0.54059,0.53048,17.6361,17.6744
South Thaumasia                                      ,1,1,32,2024 OCT 29 05:16:55,2024 OCT 29 05:17:08,-39.6944,-93.4832,-40.3536,-93.2543,40.8626,41.2942,42.4538,42.8711,2.3583,2.3615,10.4644,10.4833
South Thaumasia                                      ,2,3,231,2024 NOV 14 12:20:04,2024 NOV 14 12:20:20,-38.5977,-91.7549,-39.349,-91.5,75.9751,75.896,75.8979,75.8214,0.1168,0.11604,7.2425,7.2636
South Thaumasia                                      ,3,3,261,2024 NOV 16 23:49:01,2024 NOV 16 23:49:01,-40.3539,-91.5043,-40.3418,-91.5,81.2443,81.2464,81.1491,81.1512,0.57318,0.57317,17.1625,17.1628
East Thaumasia                                       ,1,1,56,2024 OCT 31 04:23:29,2024 OCT 31 04:23:49,-30.0986,-70.2395,-31.0713,-70,42.9323,43.1711,41.0296,41.3996,2.0746,1.95,9.8711,9.8925
East Thaumasia                                       ,2,3,168,2024 NOV 09 08:29:04,2024 NOV 09 08:29:40,-30.0984,-71.2886,-31.8526,-70.8298,63.5857,63.5905,63.5195,63.5332,0.081707,0.079627,8.0458,8.0861
East Thaumasia                                       ,3,3,280,2024 NOV 18 12:34:48,2024 NOV 18 12:35:15,-30.5027,-71.9873,-31.8526,-71.6318,87.5692,87.2453,87.4375,87.1157,0.14516,0.14656,6.2508,6.2819
Uysses Fossae                                        ,1,3,70,2024 NOV 01 07:40:07,2024 NOV 01 07:40:42,11.4016,-123.3512,9.6477,-123.0424,48.6436,47.8173,48.5264,47.6929,0.38267,0.36759,8.8822,8.9125
Coprates Rise                                        ,1,1,68,2024 NOV 01 03:55:02,2024 NOV 01 03:55:33,-20.0987,-59.3198,-21.6116,-59,46.6468,46.8215,40.7253,40.9176,5.9617,5.9685,9.4997,9.5294
Coprates Rise                                        ,2,3,180,2024 NOV 10 08:00:35,2024 NOV 10 08:01:11,-20.0988,-60.9703,-21.852,-60.5945,65.2766,65.2138,66.9395,66.7385,1.6652,1.5274,7.6342,7.6689
Coprates Rise                                        ,3,3,285,2024 NOV 18 23:05:06,2024 NOV 18 23:05:41,-21.8519,-60.9882,-20.0988,-60.6249,79.6888,79.9919,79.565,79.8646,0.48494,0.47127,17.21,17.2439
CH4_ROI_ACIDALIA MUD VOLCANOES NE                    ,1,3,91,2024 NOV 03 00:44:24,2024 NOV 03 00:44:41,45.5856,-20.1402,44.8084,-19.8,73.6986,73.155,73.6694,73.1264,0.5548,0.55463,7.7431,7.7703
CH4_ROI_ACIDALIA MUD VOLCANOES BASSIN                ,1,3,141,2024 NOV 07 03:01:04,2024 NOV 07 03:01:41,41.8348,-25.3833,40.0733,-24.7371,79.1429,78.1971,79.0618,78.1166,0.5729,0.56978,7.0597,7.1128
CH4_ROI_ACIDALIA MUD VOLCANOES BASSIN                ,2,3,334,2024 NOV 22 23:43:36,2024 NOV 22 23:44:13,40.0734,-25.9698,41.8347,-25.3235,84.3681,85.0236,84.2308,84.8843,0.16756,0.17084,17.6214,17.6744
CH4_ROI_AEOLIS MENSAE - MFF                          ,1,3,11,2024 OCT 27 11:48:07,2024 OCT 27 11:48:43,-1.8988,145.8369,-3.6517,146.1341,27.1951,26.6754,29.3729,28.8715,2.1993,2.2056,10.0422,10.0717
CH4_ROI_AEOLIS MENSAE - MFF                          ,2,3,123,2024 NOV 05 15:53:43,2024 NOV 05 15:54:19,-1.8988,145.28,-3.6518,145.5771,56.4038,55.9673,56.2557,55.82,0.25949,0.24224,8.2481,8.2775
CH4_ROI_AEOLIS MENSAE - MFF                          ,3,3,278,2024 NOV 18 09:25:51,2024 NOV 18 09:26:27,-3.6517,144.9305,-1.8988,145.2286,84.9366,85.3316,84.7902,85.1844,0.31501,0.29721,17.6464,17.6758
CH4_ROI_CERBERUS FOSSAE                              ,1,3,23,2024 OCT 28 11:18:46,2024 OCT 28 11:19:11,10.5399,156.4083,9.2877,156.6189,35.3058,34.4756,37.9722,37.2715,2.864,2.9835,9.6325,9.6533
CH4_ROI_CERBERUS FOSSAE                              ,2,3,315,2024 NOV 21 10:12:48,2024 NOV 21 10:13:23,9.2876,156.5221,11.0417,156.8336,79.0319,79.4812,78.8837,79.3335,0.19564,0.18313,17.2697,17.3003
CH4_ROI_UTOPIA                                       ,1,3,75,2024 NOV 01 17:22:20,2024 NOV 01 17:22:38,32.9925,87.1924,32.1157,87.4131,61.9192,61.2225,62.443,61.8681,0.54489,0.64917,8.3644,8.3842
CH4_ROI_UTOPIA                                       ,2,3,330,2024 NOV 22 15:49:10,2024 NOV 22 15:49:46,32.1153,87.2684,33.8733,87.7538,82.309,82.9104,82.1732,82.7744,0.15191,0.1561,17.4733,17.5156
CH4_ROI_ARGYRE                                       ,1,1,55,2024 OCT 31 02:28:30,2024 OCT 31 02:29:06,-38.6377,-38.8597,-40.3938,-38.2602,45.6847,46.49,44.6657,45.5985,1.1759,1.0491,10.0975,10.1472
CH4_ROI_ARGYRE                                       ,2,3,167,2024 NOV 09 06:34:40,2024 NOV 09 06:34:41,-40.3349,-39.2325,-40.3941,-39.2113,63.8128,63.8184,63.8003,63.8062,0.071535,0.071471,8.3269,8.3286
CH4_ROI_ARGYRE                                       ,3,3,309,2024 NOV 20 22:08:31,2024 NOV 20 22:09:07,-40.3939,-39.1505,-38.6374,-38.7339,64.6922,65.7318,74.0887,74.0085,10.2767,9.0363,16.4739,16.5114
CH4_ROI_VERNAL CRATER                                ,1,3,153,2024 NOV 08 02:48:01,2024 NOV 08 02:48:37,6.5415,-4.194,4.7879,-3.893,66.0882,65.5364,65.9455,65.3916,0.34381,0.3263,7.6233,7.6531
CH4_ROI_VERNAL CRATER                                ,2,3,333,2024 NOV 22 21:33:35,2024 NOV 22 21:34:11,4.7879,-4.9717,6.5415,-4.6701,72.7803,73.2095,73.5578,73.9817,0.86304,0.85238,16.9119,16.9419
LANDER_Phoenix                                       ,1,3,7,2024 OCT 27 03:32:29,2024 OCT 27 03:32:30,66.4068,-127.6778,66.3402,-127.5583,83.1162,83.0416,83.0746,83.0006,0.46265,0.46286,7.7669,7.7753
LANDER_Phoenix                                       ,2,1,44,2024 OCT 30 04:13:22,2024 OCT 30 04:13:54,70.15,-126.8647,68.9806,-123.75,89.9358,88.6015,89.8134,88.4991,0.4672,0.47027,6.57,6.7864
LANDER_Phoenix                                       ,3,1,69,2024 NOV 01 05:21:45,2024 NOV 01 05:22:16,68.6385,-126.3249,67.4585,-123.75,89.9865,88.8181,89.865,88.7081,0.48079,0.48624,6.4394,6.6194
LANDER_Phoenix                                       ,4,3,94,2024 NOV 03 06:30:18,2024 NOV 03 06:30:26,66.6568,-125.5741,66.3402,-124.9974,90.0105,89.7382,89.8837,89.614,0.49884,0.5004,6.3258,6.3664
LANDER_Spirit                                        ,1,1,10,2024 OCT 27 09:53:50,2024 OCT 27 09:54:36,-12.6689,177.0525,-14.9425,177.475,28.7362,28.9731,27.3282,27.5664,1.4129,1.4068,10.2692,10.31
LANDER_Spirit                                        ,2,3,35,2024 OCT 29 11:02:20,2024 OCT 29 11:02:44,-15.24,173.4838,-16.4215,173.6944,29.2455,29.2912,33.8799,33.9937,4.7536,4.8609,9.8661,9.8867
LANDER_Spirit                                        ,3,3,122,2024 NOV 05 13:59:25,2024 NOV 05 14:00:41,-12.6689,176.1144,-16.4218,176.8152,54.0651,53.6943,53.9365,53.5808,0.15752,0.12573,8.4492,8.5164
LANDER_Spirit                                        ,4,3,234,2024 NOV 14 18:05:00,2024 NOV 14 18:06:16,-12.6689,175.1042,-16.4219,175.8267,79.1176,78.5377,80.9149,80.1211,1.7987,1.585,6.6292,6.6978
LANDER_Spirit                                        ,5,3,252,2024 NOV 16 06:15:54,2024 NOV 16 06:17:10,-16.4219,175.0365,-12.6688,175.7307,87.8309,88.798,88.0173,88.9034,0.33052,0.28943,17.8458,17.9128
LANDER_Opportunity                                   ,1,3,66,2024 OCT 31 23:52:21,2024 OCT 31 23:53:37,-0.048725,-5.6635,-3.8018,-5.0272,43.1123,42.0703,42.9641,41.9227,0.2778,0.24089,9.1394,9.2025
LANDER_Opportunity                                   ,2,3,178,2024 NOV 10 03:57:56,2024 NOV 10 03:59:12,-0.0491,-6.6918,-3.8012,-6.1655,68.341,66.4593,70.2609,69.4423,1.9205,2.9872,7.3161,7.3717
LANDER_Opportunity                                   ,3,3,333,2024 NOV 22 21:30:41,2024 NOV 22 21:31:57,-3.8018,-6.4308,-0.048755,-5.7939,70.9189,71.6813,71.7285,72.4756,0.92121,0.89469,16.7678,16.8308
Gale Creater Extended SOC                            ,1,1,61,2024 OCT 31 14:03:44,2024 OCT 31 14:04:38,-2.6886,139.0438,-5.3556,139.4417,37.8487,36.7207,41.4024,40.8265,3.5687,4.1107,9.2369,9.2781
Gale Creater Extended SOC                            ,2,5,173,2024 NOV 09 18:09:20,2024 NOV 09 18:10:36,-2.6883,138.4193,-6.4412,139.0594,66.579,65.7076,68.3911,67.5307,1.8129,1.8239,7.4406,7.5039
Gale Creater Extended SOC                            ,3,3,198,2024 NOV 11 19:17:27,2024 NOV 11 19:18:19,-3.909,135.4503,-6.4415,135.893,74.2433,73.7412,73.9368,73.3519,0.41715,0.49049,7.0731,7.1164
Gale Creater Extended SOC                            ,4,3,328,2024 NOV 22 11:40:15,2024 NOV 22 11:41:31,-6.4412,137.1881,-2.6883,137.8328,76.4467,77.1255,71.8333,72.5333,4.6169,4.6027,16.7628,16.8264
LANDER_Insight                                       ,1,5,173,2024 NOV 09 18:06:16,2024 NOV 09 18:07:32,6.4037,136.8778,2.6504,137.5156,69.1247,67.9887,70.8784,69.7877,1.7544,1.7999,7.2881,7.3511
LANDER_Insight                                       ,2,3,198,2024 NOV 11 19:13:58,2024 NOV 11 19:15:14,6.4038,133.6826,2.6504,134.3225,76.7709,75.7437,76.6251,75.5963,0.34377,0.30522,6.8986,6.9619
LANDER_Insight                                       ,3,3,266,2024 NOV 17 09:53:55,2024 NOV 17 09:54:15,5.0349,133.6318,6.0383,133.8038,89.8364,90.0714,89.6876,89.9223,0.23086,0.22226,17.9856,18.0025
Lander_Mars2020 Jezero Crater                        ,1,1,63,2024 OCT 31 17:51:37,2024 OCT 31 17:52:53,20.7521,77.4294,16.9972,78.1702,52.2732,50.0876,52.1686,49.9497,0.55624,0.54406,8.8264,8.8967
Lander_Mars2020 Jezero Crater                        ,2,5,175,2024 NOV 09 21:57:12,2024 NOV 09 21:58:29,20.7519,76.5964,16.9974,77.2924,76.0111,74.3008,75.9892,74.6619,0.43723,0.48275,7.0161,7.0831
Lander_Tianwen1_Utopia_Planitia                      ,1,1,37,2024 OCT 29 14:43:55,2024 OCT 29 14:45:12,26.9686,108.283,23.2125,109.1112,51.0501,48.2517,51.4866,48.7987,0.4637,0.55174,9.1144,9.1906
Lander_Tianwen1_Utopia_Planitia                      ,2,3,124,2024 NOV 05 17:41:51,2024 NOV 05 17:43:08,26.9687,110.9269,23.2125,111.7698,68.1331,66.2579,68.0495,66.1637,0.51037,0.48593,7.7122,7.7894
Lander_Tianwen1_Utopia_Planitia                      ,3,3,149,2024 NOV 07 18:50:06,2024 NOV 07 18:50:48,25.2459,107.936,23.2125,108.3831,72.4198,71.525,72.3163,71.4172,0.50557,0.49133,7.345,7.3861
Nili Fossae IAPS                                     ,1,3,88,2024 NOV 02 18:58:13,2024 NOV 02 18:58:49,23.9023,73.3626,22.1467,73.7368,59.1694,58.1767,59.0997,58.0996,0.48076,0.46923,8.3603,8.395
Nili Fossae IAPS                                     ,2,3,200,2024 NOV 11 23:03:49,2024 NOV 11 23:04:25,23.9023,72.5518,22.1467,72.9262,82.6184,82.035,82.4854,81.901,0.50556,0.49192,6.5522,6.5869
Nili Fossae IAPS                                     ,3,3,318,2024 NOV 21 16:10:52,2024 NOV 21 16:11:28,22.1467,72.1511,23.9023,72.526,81.8318,82.3507,81.689,82.2083,0.14288,0.1432,17.4544,17.4892
Mawrth Vallis-Aram Chaos IAPS                        ,1,3,54,2024 OCT 31 00:12:26,2024 OCT 31 00:13:02,14.902,-20.7861,13.1471,-20.4476,48.8381,48.0211,46.6266,45.6321,2.7227,2.8675,9.0953,9.1275
Meridiani IAPS                                       ,1,3,128,2024 NOV 06 01:42:15,2024 NOV 06 01:42:51,0.90127,0.1613,-0.85186,0.4577,58.3625,57.873,58.2149,57.7249,0.2872,0.26981,8.1219,8.1511
Meridiani IAPS                                       ,2,3,240,2024 NOV 15 05:47:51,2024 NOV 15 05:48:26,0.90126,-0.64568,-0.85184,-0.34888,85.4066,84.9842,85.2587,84.8366,0.28747,0.26965,6.3156,6.345
Meridiani IAPS                                       ,3,3,283,2024 NOV 18 19:16:19,2024 NOV 18 19:16:46,-0.85187,0.76771,0.51915,1,84.3983,84.7102,84.2508,84.5623,0.28673,0.27316,17.6153,17.6383
Olympus Mons Caldera IAPS                            ,1,3,232,2024 NOV 14 13:58:24,2024 NOV 14 13:58:59,19.202,-132.4009,17.4471,-132.058,88.1856,87.7148,88.0381,87.5677,0.47129,0.45533,6.1281,6.1606
Mawrth Vallis ExoMars2020 Candidate Landing Site IAPS,1,1,29,2024 OCT 28 23:02:05,2024 OCT 28 23:02:27,22.7173,-18.9891,21.6462,-18.7521,48.1419,47.4694,46.705,45.9267,2.2656,2.3677,9.3497,9.3717
Mawrth Vallis ExoMars2020 Candidate Landing Site IAPS,2,3,228,2024 NOV 14 06:05:21,2024 NOV 14 06:05:57,23.4025,-17.5909,21.6465,-17.2164,88.5164,88.0248,88.3693,87.8782,0.50618,0.49194,6.1075,6.1419
