Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	Ingress	2018 DEC 29 14:18:39	2018 DEC 29 14:21:21	2018 DEC 29 14:21:55	196.0	-161.6	-161.3	-161.2	65.4	65.0	65.0	15.1	3	-	-	-	&daysideMatch:CURIOSITY; &daysideMatch:INSIGHT; 	
N/A	1	Egress	2018 DEC 29 15:03:23	2018 DEC 29 15:03:59	2018 DEC 29 15:06:56	213.0	2.1	2.2	2.8	-67.3	-67.2	-66.8	2.7	3	-	-	-	&daysideMatch:CURIOSITY; &daysideMatch:INSIGHT; 	
N/A	2	Ingress	2018 DEC 29 16:16:33	2018 DEC 29 16:19:15	2018 DEC 29 16:19:49	196.0	169.7	170.1	170.2	65.5	65.0	65.0	15.1	1	-	-	-		
NOMAD	2	Egress	2018 DEC 29 17:01:17	2018 DEC 29 17:01:53	2018 DEC 29 17:04:50	213.0	-27.1	-26.9	-26.3	-67.5	-67.4	-67.0	2.7	1	134 with 5xDark	Science: orders #134, #dark, #dark, #dark, #dark, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 305: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1389 ms, Binning=3		
ACS	3	Ingress	2018 DEC 29 18:14:24	2018 DEC 29 18:17:07	2018 DEC 29 18:17:41	197.0	141.0	141.4	141.5	65.5	65.1	65.0	15.1	4	-	-	-	&daysideMatch:NILI FOSSAE; 	
N/A	3	Egress	2018 DEC 29 18:59:08	2018 DEC 29 18:59:44	2018 DEC 29 19:02:41	213.0	-56.2	-56.0	-55.3	-67.6	-67.5	-67.1	2.6	4	-	-	-	&daysideMatch:NILI FOSSAE; 	
N/A	4	Ingress	2018 DEC 29 20:12:14	2018 DEC 29 20:14:57	2018 DEC 29 20:15:31	197.0	112.3	112.8	112.9	65.5	65.1	65.0	15.1	1	-	-	-		
NOMAD	4	Egress	2018 DEC 29 20:56:58	2018 DEC 29 20:57:34	2018 DEC 29 21:00:31	213.0	-85.2	-85.0	-84.2	-67.7	-67.6	-67.2	2.6	1	136 with 5xDark	Science: orders #136, #dark, #dark, #dark, #dark, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 306: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1389 ms, Binning=3		
ACS	5	Ingress	2018 DEC 29 22:10:07	2018 DEC 29 22:12:49	2018 DEC 29 22:13:23	196.0	83.7	84.3	84.4	65.5	65.0	64.9	15.1	4	-	-	-		
N/A	5	Egress	2018 DEC 29 22:54:49	2018 DEC 29 22:55:25	2018 DEC 29 22:58:22	213.0	-114.2	-114.0	-113.0	-67.8	-67.7	-67.2	2.6	4	-	-	-		
