Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Dayside nadir observation number,Thermal orbit/dayside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),SubSC latitude (deg) @ TC20 execution start time (UTC),SubSC longitude (deg) @ TC20 execution start time (UTC),SubSC LST @ TC20 execution start time (h),SubSC phase angle (deg) @ TC20 execution start time (UTC),SubSC solar incidence angle (deg) @ TC20 execution start time (UTC),SubSC emission angle (deg) @ TC20 execution start time (UTC),SubSC latitude (deg) @ TC20 execution end time (UTC),SubSC longitude (deg) @ TC20 execution end time (UTC),SubSC LST @ TC20 execution end time (h),SubSC phase angle (deg) @ TC20 execution end time (UTC),SubSC solar incidence angle (deg) @ TC20 execution end time (UTC),SubSC emission angle (deg) @ TC20 execution end time (UTC),Beta angle (deg),Solar longitude Ls (deg),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),LNO+UVIS+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
3,3,1,1,3196,1,0,0,0,0,2018 AUG 11 15:39:39,2018 AUG 11 16:52:18,2018 AUG 11 15:39:49,2018 AUG 11 16:52:04,2018 AUG 11 15:39:49,2018 AUG 11 16:52:17,73.1518,64.853,2.6153,121.0594,121.0594,1.4246e-14,-48.294,-50.5192,20.1019,95.0599,95.0599,4.8861e-14,28.6987,228.491,25.8748,437.7855,461.2983,0,0,0,0,0,0,0,0,0,0,10,640,2485,30,30,4335,1,1,1844,1844,10,4348,104,1211,1400002C00000000000000000000000000000000000A028009B51E1E10EF010107340734000A10FC006804BB
1,1,2,2,3197,1,0,0,0,0,2018 AUG 11 17:47:35,2018 AUG 11 18:50:12,2018 AUG 11 17:47:45,2018 AUG 11 18:50:00,2018 AUG 11 17:47:45,2018 AUG 11 18:50:11,58.7682,106.0825,7.4383,95.4262,95.4262,5.1482e-14,-48.1645,-79.3659,20.0906,95.0321,95.0321,2.9836e-14,28.9916,228.5466,21.7833,377.1721,396.9211,0,0,0,0,0,0,0,0,0,0,10,640,2185,30,30,3735,1,1,1844,1844,10,3746,104,984,1400002C00000000000000000000000000000000000A028008891E1E0E97010107340734000A0EA2006803D8
4,4,3,3,3198,0,1,0,0,0,2018 AUG 11 19:45:30,2018 AUG 11 19:55:49,N/A,N/A,2018 AUG 11 19:45:40,2018 AUG 11 19:55:48,58.6325,77.3912,7.4378,95.3812,95.3812,2.624e-14,30.2413,93.8811,8.7044,68.3763,68.3763,6.6645e-15,29.2426,228.5979,N/A,61.2229,61.2229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,608,104,276,1400002C0000000000000000000000000000000000000000000000000000000000000000000A026000680114
4,4,4,3,3198,0,1,0,0,0,2018 AUG 11 19:55:54,2018 AUG 11 20:16:23,N/A,N/A,2018 AUG 11 19:56:04,2018 AUG 11 20:16:22,30.0024,93.9562,8.7108,68.1606,68.1606,2.8548e-14,-29.7453,108.4191,10.0072,29.4185,29.4185,4.1834e-14,29.2728,228.6025,N/A,122.6418,122.6418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1218,104,376,1400002C0000000000000000000000000000000000000000000000000000000000000000000A04C200680178
4,4,5,3,3198,0,1,0,0,0,2018 AUG 11 20:16:28,2018 AUG 11 20:48:05,N/A,N/A,2018 AUG 11 20:16:38,2018 AUG 11 20:48:04,-29.9877,108.495,10.0136,29.4066,29.4066,3.9213e-14,-48.0115,-108.1663,20.0822,95.0401,95.0401,6.3152e-14,29.2876,228.6114,N/A,189.9004,189.9004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1886,104,279,1400002C0000000000000000000000000000000000000000000000000000000000000000000A075E00680117
1,1,6,4,3199,1,0,0,0,0,2018 AUG 11 21:43:21,2018 AUG 11 22:45:56,2018 AUG 11 21:43:31,2018 AUG 11 22:45:46,2018 AUG 11 21:43:31,2018 AUG 11 22:45:55,58.5392,48.6431,7.4322,95.3892,95.3892,2.661e-14,-47.8752,-136.9815,20.0722,95.0255,95.0255,2.6228e-14,29.4732,228.6492,21.7833,376.9707,396.7197,0,0,0,0,0,0,0,0,0,0,10,640,2185,30,30,3735,1,1,1844,1844,10,3744,104,982,1400002C00000000000000000000000000000000000A028008891E1E0E97010107340734000A0EA0006803D6
4,4,7,5,3200,0,1,0,0,0,2018 AUG 11 23:41:13,2018 AUG 11 23:51:25,N/A,N/A,2018 AUG 11 23:41:23,2018 AUG 11 23:51:24,58.3417,19.8633,7.425,95.3621,95.3621,2.7406e-14,30.2303,36.0269,8.6678,68.7572,68.7572,4.498e-14,29.6732,228.7005,N/A,60.5181,60.5181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,601,104,269,1400002C0000000000000000000000000000000000000000000000000000000000000000000A02590068010D
4,4,8,5,3200,0,1,0,0,0,2018 AUG 11 23:51:30,2018 AUG 12 00:11:59,N/A,N/A,2018 AUG 11 23:51:40,2018 AUG 12 00:11:58,29.9913,36.102,8.6742,68.5423,68.5423,3.2435e-14,-29.7634,50.5771,9.9714,29.8553,29.8553,3.5984e-14,29.6984,228.705,N/A,122.6418,122.6418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1218,104,376,1400002C0000000000000000000000000000000000000000000000000000000000000000000A04C200680178
4,4,9,5,3200,0,1,0,0,0,2018 AUG 12 00:12:04,2018 AUG 12 00:43:48,N/A,N/A,2018 AUG 12 00:12:14,2018 AUG 12 00:43:47,-30.0057,50.6531,9.9778,29.841,29.841,8.996e-15,-47.723,-165.8837,20.0567,94.9743,94.9743,2.0116e-14,29.706,228.7139,N/A,190.6052,190.6052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1893,104,286,1400002C0000000000000000000000000000000000000000000000000000000000000000000A07650068011E
1,1,10,6,3201,1,0,0,0,0,2018 AUG 12 01:39:08,2018 AUG 12 02:41:45,2018 AUG 12 01:39:18,2018 AUG 12 02:41:33,2018 AUG 12 01:39:18,2018 AUG 12 02:41:44,58.1403,-8.9818,7.4139,95.3584,95.3584,4.9707e-14,-47.474,165.2202,20.0428,94.9922,94.9922,4.9707e-14,29.8742,228.7518,21.7833,377.1721,396.9211,0,0,0,0,0,0,0,0,0,0,10,640,2185,30,30,3735,1,1,1844,1844,10,3746,104,984,1400002C00000000000000000000000000000000000A028008891E1E0E97010107340734000A0EA2006803D8
4,4,11,7,3202,0,1,0,0,0,2018 AUG 12 03:37:05,2018 AUG 12 03:47:09,N/A,N/A,2018 AUG 12 03:37:15,2018 AUG 12 03:47:08,57.9515,-37.7829,7.4067,95.3369,95.3369,2.6988e-14,30.2437,-21.9624,8.6244,69.2245,69.2245,2.642e-14,30.0909,228.8031,N/A,59.7126,59.7126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,593,104,261,1400002C0000000000000000000000000000000000000000000000000000000000000000000A025100680105
4,4,12,7,3202,0,1,0,0,0,2018 AUG 12 03:47:14,2018 AUG 12 04:07:45,N/A,N/A,2018 AUG 12 03:47:24,2018 AUG 12 04:07:44,30.0052,-21.887,8.6308,69.0107,69.0107,6.3611e-15,-29.7468,-7.3297,9.9342,30.3044,30.3044,8.4524e-15,30.1192,228.8075,N/A,122.8431,122.8431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1220,104,378,1400002C0000000000000000000000000000000000000000000000000000000000000000000A04C40068017A
4,4,13,7,3202,0,1,0,0,0,2018 AUG 12 04:07:50,2018 AUG 12 04:39:43,N/A,N/A,2018 AUG 12 04:08:00,2018 AUG 12 04:39:42,-29.9888,-7.2534,9.9406,30.2871,30.2871,7.5013e-15,-47.2781,136.3413,20.0306,94.9902,94.9902,2.5044e-14,30.1275,228.8165,N/A,191.5114,191.5114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1902,104,295,1400002C0000000000000000000000000000000000000000000000000000000000000000000A076E00680127
1,1,14,8,3203,1,0,0,0,0,2018 AUG 12 05:35:01,2018 AUG 12 06:37:40,2018 AUG 12 05:35:11,2018 AUG 12 06:37:26,2018 AUG 12 05:35:11,2018 AUG 12 06:37:39,57.8188,-66.5797,7.3992,95.3414,95.3414,1.8271e-14,-47.1307,107.505,20.0208,94.9809,94.9809,1.4224e-14,30.3217,228.8544,21.7833,377.3735,397.1224,0,0,0,0,0,0,0,0,0,0,10,640,2185,30,30,3735,1,1,1844,1844,10,3748,104,986,1400002C00000000000000000000000000000000000A028008891E1E0E97010107340734000A0EA4006803DA
4,4,15,9,3204,0,1,0,0,0,2018 AUG 12 07:32:56,2018 AUG 12 07:42:53,N/A,N/A,2018 AUG 12 07:33:06,2018 AUG 12 07:42:52,57.6808,-95.3112,7.3958,95.315,95.315,2.8451e-14,30.2461,-79.8523,8.5878,69.6199,69.6199,3.4586e-14,30.5623,228.9057,N/A,59.0078,59.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,586,104,254,1400002C0000000000000000000000000000000000000000000000000000000000000000000A024A006800FE
4,4,16,9,3204,0,1,0,0,0,2018 AUG 12 07:42:58,2018 AUG 12 08:03:29,N/A,N/A,2018 AUG 12 07:43:08,2018 AUG 12 08:03:28,30.0074,-79.7772,8.5942,69.4072,69.4072,3.2591e-14,-29.7627,-65.3081,9.8914,30.8302,30.8302,3.7227e-14,30.6036,228.9101,N/A,122.8431,122.8431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1220,104,378,1400002C0000000000000000000000000000000000000000000000000000000000000000000A04C40068017A
4,4,17,9,3204,0,1,0,0,0,2018 AUG 12 08:03:34,2018 AUG 12 08:35:33,N/A,N/A,2018 AUG 12 08:03:44,2018 AUG 12 08:35:32,-30.0048,-65.2323,9.8978,30.8107,30.8107,6.5569e-14,-47.0363,78.6827,20.0108,94.9397,94.9397,6.5569e-15,30.6295,228.9191,N/A,192.1155,192.1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1908,104,301,1400002C0000000000000000000000000000000000000000000000000000000000000000000A07740068012D
1,1,18,10,3205,1,0,0,0,0,2018 AUG 12 09:30:48,2018 AUG 12 10:33:24,2018 AUG 12 09:30:58,2018 AUG 12 10:33:13,2018 AUG 12 09:30:58,2018 AUG 12 10:33:23,57.5857,-124.0725,7.3897,95.3281,95.3281,1.5581e-14,-46.8567,49.8843,20.0019,94.9553,94.9553,2.642e-14,30.8036,228.957,21.7833,377.0714,396.8204,0,0,0,0,0,0,0,0,0,0,10,640,2185,30,30,3735,1,1,1844,1844,10,3745,104,983,1400002C00000000000000000000000000000000000A028008891E1E0E97010107340734000A0EA1006803D7
4,4,19,11,3206,0,1,0,0,0,2018 AUG 12 11:28:40,2018 AUG 12 11:38:31,N/A,N/A,2018 AUG 12 11:28:50,2018 AUG 12 11:38:30,57.4216,-152.8242,7.3842,95.3055,95.3055,1.4575e-14,30.2267,-137.6909,8.5528,69.9853,69.9853,4.8445e-14,31.0255,229.0083,N/A,58.4037,58.4037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,580,104,248,1400002C0000000000000000000000000000000000000000000000000000000000000000000A0244006800F8
4,4,20,11,3206,0,1,0,0,0,2018 AUG 12 11:38:36,2018 AUG 12 11:59:06,N/A,N/A,2018 AUG 12 11:38:46,2018 AUG 12 11:59:05,29.9879,-137.616,8.5592,69.7735,69.7735,4.1225e-14,-29.7741,-123.1542,9.8558,31.2688,31.2688,3.9341e-14,31.0457,229.0127,N/A,122.7425,122.7425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1219,104,377,1400002C0000000000000000000000000000000000000000000000000000000000000000000A04C300680179
4,4,21,11,3206,0,1,0,0,0,2018 AUG 12 11:59:11,2018 AUG 12 12:24:20,N/A,N/A,2018 AUG 12 11:59:21,2018 AUG 12 12:24:19,-30.0164,-123.0782,9.8622,31.247,31.247,3.6542e-14,-64.9002,1.8765,18.6003,76.7362,76.7362,2.3168e-14,31.0389,229.0216,N/A,150.834,150.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1498,104,401,1400002C0000000000000000000000000000000000000000000000000000000000000000000A05DA00680191
1,1,22,12,3207,1,0,0,0,0,2018 AUG 12 13:26:35,2018 AUG 12 14:29:13,2018 AUG 12 13:26:45,2018 AUG 12 14:20:45,2018 AUG 12 13:26:45,2018 AUG 12 14:29:12,57.1773,178.3681,7.3758,95.2676,95.2676,1.4224e-14,-46.4371,-7.8806,19.975,94.9399,94.9399,2.299e-14,31.211,229.0597,18.4078,377.2728,393.9166,0,0,0,0,0,0,0,0,0,0,10,640,1945,30,30,3240,1,1,1844,1844,10,3747,104,1015,1400002C00000000000000000000000000000000000A028007991E1E0CA8010107340734000A0EA3006803F7
4,4,23,13,3208,0,1,0,0,0,2018 AUG 12 15:24:31,2018 AUG 12 15:34:13,N/A,N/A,2018 AUG 12 15:24:41,2018 AUG 12 15:34:12,57.0116,149.4894,7.3631,95.2982,95.2982,3.2435e-14,30.2336,164.3177,8.5089,70.4619,70.4619,2.8625e-14,31.4122,229.111,N/A,57.4975,57.4975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,571,104,239,1400002C0000000000000000000000000000000000000000000000000000000000000000000A023B006800EF
4,4,24,13,3208,0,1,0,0,0,2018 AUG 12 15:34:18,2018 AUG 12 15:54:49,N/A,N/A,2018 AUG 12 15:34:28,2018 AUG 12 15:54:48,29.9949,164.3931,8.5153,70.2509,70.2509,1.4575e-14,-29.7597,178.9396,9.8175,31.7326,31.7326,1.4225e-14,31.4476,229.1153,N/A,122.8431,122.8431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1220,104,378,1400002C0000000000000000000000000000000000000000000000000000000000000000000A04C40068017A
4,4,25,13,3208,0,1,0,0,0,2018 AUG 12 15:54:54,2018 AUG 12 16:27:10,N/A,N/A,2018 AUG 12 15:55:04,2018 AUG 12 16:27:09,-30.0017,179.0158,9.8242,31.708,31.708,6.3735e-15,-46.2498,-36.7597,19.9622,94.9256,94.9256,4.1834e-14,31.4638,229.1242,N/A,193.8272,193.8272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1925,104,318,1400002C0000000000000000000000000000000000000000000000000000000000000000000A07850068013E
4,4,26,14,3209,0,1,0,0,0,2018 AUG 12 17:22:29,2018 AUG 12 17:32:06,N/A,N/A,2018 AUG 12 17:22:39,2018 AUG 12 17:32:05,56.819,120.7206,7.3581,95.2605,95.2605,3.0005e-14,30.2491,135.339,8.4883,70.6913,70.6913,3.2435e-14,31.6452,229.1623,N/A,56.9941,56.9941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,566,104,234,1400002C0000000000000000000000000000000000000000000000000000000000000000000A0236006800EA
4,4,27,14,3209,0,1,0,0,0,2018 AUG 12 17:32:11,2018 AUG 12 17:52:42,N/A,N/A,2018 AUG 12 17:32:21,2018 AUG 12 17:52:41,30.0104,135.4144,8.4947,70.4807,70.4807,8.996e-15,-29.7737,149.9606,9.7972,31.9865,31.9865,1.9347e-14,31.6829,229.1666,N/A,122.8431,122.8431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1220,104,378,1400002C0000000000000000000000000000000000000000000000000000000000000000000A04C40068017A
4,4,28,14,3209,0,1,0,0,0,2018 AUG 12 17:52:47,2018 AUG 12 18:18:15,N/A,N/A,2018 AUG 12 17:52:57,2018 AUG 12 18:18:14,-30.0158,150.0368,9.8036,31.9609,31.9609,4.0357e-14,-64.1817,-83.7232,18.6328,77.0946,77.0946,1.1801e-14,31.7004,229.1755,N/A,152.7471,152.7471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1517,104,420,1400002C0000000000000000000000000000000000000000000000000000000000000000000A05ED006801A4
1,1,29,15,3210,1,0,0,0,0,2018 AUG 12 19:20:25,2018 AUG 12 20:16:08,2018 AUG 12 19:23:19,2018 AUG 12 20:10:19,2018 AUG 12 19:20:35,2018 AUG 12 20:16:07,56.6787,91.9808,7.3544,95.2364,95.2364,3.7134e-14,-64.0982,-112.4187,18.6311,77.0957,77.0957,6.5569e-15,31.894,229.2137,15.5437,335.4878,349.497,0,0,0,0,0,0,0,0,0,0,174,804,1899,30,30,2820,1,1,1844,1844,10,3332,104,717,1400002C0000000000000000000000000000000000AE0324076B1E1E0B04010107340734000A0D04006802CD
1,1,30,16,3211,1,0,0,0,0,2018 AUG 12 21:18:18,2018 AUG 12 22:20:51,2018 AUG 12 21:18:28,2018 AUG 12 22:12:13,2018 AUG 12 21:18:28,2018 AUG 12 22:20:50,56.5576,63.2541,7.3508,95.2207,95.2207,1.5982e-14,-45.779,-123.2481,19.9317,94.889,94.889,2.9836e-14,32.1305,229.265,18.3055,376.7694,393.3191,0,0,0,0,0,0,0,0,0,0,10,640,1930,30,30,3225,1,1,1844,1844,10,3742,104,980,1400002C00000000000000000000000000000000000A0280078A1E1E0C99010107340734000A0E9E006803D4
4,4,31,17,3212,0,1,0,0,0,2018 AUG 12 23:16:09,2018 AUG 12 23:25:35,N/A,N/A,2018 AUG 12 23:16:19,2018 AUG 12 23:25:34,56.3949,34.4819,7.3436,95.2126,95.2126,2.249e-14,30.2548,48.5732,8.4361,71.2676,71.2676,4.498e-14,32.3369,229.3163,N/A,55.8865,55.8865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,555,104,223,1400002C0000000000000000000000000000000000000000000000000000000000000000000A022B006800DF
4,4,32,17,3212,0,1,0,0,0,2018 AUG 12 23:25:40,2018 AUG 12 23:46:09,N/A,N/A,2018 AUG 12 23:25:50,2018 AUG 12 23:46:08,30.0157,48.6482,8.4425,71.0583,71.0583,1.7992e-14,-29.7569,63.1013,9.7381,32.7125,32.7125,5.5089e-14,32.3605,229.3205,N/A,122.6418,122.6418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1218,104,376,1400002C0000000000000000000000000000000000000000000000000000000000000000000A04C200680178
4,4,33,17,3212,0,1,0,0,0,2018 AUG 12 23:46:14,2018 AUG 13 00:11:55,N/A,N/A,2018 AUG 12 23:46:24,2018 AUG 13 00:11:54,-29.9994,63.1772,9.7444,32.6836,32.6836,1.7992e-14,-63.6949,-169.492,18.6497,77.3005,77.3005,3.9757e-15,32.3689,229.3294,N/A,154.056,154.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1530,104,433,1400002C0000000000000000000000000000000000000000000000000000000000000000000A05FA006801B1
1,1,34,18,3213,1,0,0,0,0,2018 AUG 13 01:14:02,2018 AUG 13 02:16:38,2018 AUG 13 01:14:12,2018 AUG 13 02:07:57,2018 AUG 13 01:14:12,2018 AUG 13 02:16:37,56.2051,5.618,7.3308,95.234,95.234,3.711e-14,-45.3681,179.0013,19.905,94.8612,94.8612,1.4224e-14,32.5254,229.3676,18.3055,377.0714,393.6211,0,0,0,0,0,0,0,0,0,0,10,640,1930,30,30,3225,1,1,1844,1844,10,3745,104,983,1400002C00000000000000000000000000000000000A0280078A1E1E0C99010107340734000A0EA1006803D7
