Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,1,2025 DEC 20 14:45:45,2025 DEC 20 16:43:41,7076,2025 DEC 20 14:43:45,2025 DEC 20 15:42:44,3539,2025 DEC 20 15:42:45,2025 DEC 20 16:41:41,3536,16.952,2025 DEC 20 16:11:57
1,1,2,2025 DEC 20 16:43:42,2025 DEC 20 18:41:37,7075,2025 DEC 20 16:41:42,2025 DEC 20 17:40:42,3540,2025 DEC 20 17:40:43,2025 DEC 20 18:39:37,3534,17.1958,2025 DEC 20 18:09:54
3,3,3,2025 DEC 20 18:41:38,2025 DEC 20 20:39:30,7072,2025 DEC 20 18:39:38,2025 DEC 20 19:38:36,3538,2025 DEC 20 19:38:37,2025 DEC 20 20:37:30,3533,17.4294,2025 DEC 20 20:07:48
1,1,4,2025 DEC 20 20:39:31,2025 DEC 20 22:37:22,7071,2025 DEC 20 20:37:31,2025 DEC 20 21:36:28,3537,2025 DEC 20 21:36:29,2025 DEC 20 22:35:22,3533,17.6629,2025 DEC 20 22:05:39
3,3,5,2025 DEC 20 22:37:23,2025 DEC 21 00:35:17,7074,2025 DEC 20 22:35:23,2025 DEC 20 23:34:21,3538,2025 DEC 20 23:34:22,2025 DEC 21 00:33:17,3535,17.9004,2025 DEC 21 00:03:33
1,1,6,2025 DEC 21 00:35:18,2025 DEC 21 02:33:15,7077,2025 DEC 21 00:33:18,2025 DEC 21 01:32:17,3539,2025 DEC 21 01:32:18,2025 DEC 21 02:31:15,3537,18.1463,2025 DEC 21 02:01:31
3,3,7,2025 DEC 21 02:33:16,2025 DEC 21 04:31:13,7077,2025 DEC 21 02:31:16,2025 DEC 21 03:30:14,3538,2025 DEC 21 03:30:15,2025 DEC 21 04:29:13,3538,18.4072,2025 DEC 21 03:59:28
3,3,8,2025 DEC 21 04:31:14,2025 DEC 21 06:29:09,7075,2025 DEC 21 04:29:14,2025 DEC 21 05:28:11,3537,2025 DEC 21 05:28:12,2025 DEC 21 06:27:09,3537,18.6692,2025 DEC 21 05:57:24
1,1,9,2025 DEC 21 06:29:10,2025 DEC 21 08:27:02,7072,2025 DEC 21 06:27:10,2025 DEC 21 07:26:06,3536,2025 DEC 21 07:26:07,2025 DEC 21 08:25:02,3535,18.9144,2025 DEC 21 07:55:18
3,3,10,2025 DEC 21 08:27:03,2025 DEC 21 10:24:54,7071,2025 DEC 21 08:25:03,2025 DEC 21 09:23:58,3535,2025 DEC 21 09:23:59,2025 DEC 21 10:22:54,3535,19.1417,2025 DEC 21 09:53:11
