Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	77	Ingress	2024 FEB 17 14:07:53	2024 FEB 17 14:11:45	2024 FEB 17 14:12:33	280.00	28.82	68.37	73.49	-81.11	-77.34	-75.98	3.07	14	-	-	-		
N/A	1	77	Egress	2024 FEB 17 14:48:56	2024 FEB 17 14:49:41	2024 FEB 17 14:53:11	255.00	115.97	116.61	120.36	54.77	56.42	63.46	6.91	14	-	-	-		
NOMAD	2	77	Ingress	2024 FEB 17 16:05:49	2024 FEB 17 16:09:40	2024 FEB 17 16:10:27	278.00	-0.40	39.12	44.21	-81.10	-77.44	-76.12	3.04	1	6SUBD Nominal #45	Science: orders #121, #136, #169, #129, #149, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
NOMAD	2	77	Egress	2024 FEB 17 16:46:54	2024 FEB 17 16:47:39	2024 FEB 17 16:51:08	254.00	87.35	87.99	91.74	54.89	56.52	63.49	6.91	1	HCL #10	Science: orders #121, #134, #126, #127, #129, #130, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: UVIS off		
ACS	3	77	Ingress	2024 FEB 17 18:03:47	2024 FEB 17 18:07:36	2024 FEB 17 18:08:23	276.00	-29.44	9.81	14.97	-81.08	-77.54	-76.25	3.00	14	-	-	-		
ACS	3	77	Egress	2024 FEB 17 18:44:55	2024 FEB 17 18:45:40	2024 FEB 17 18:49:09	254.00	58.76	59.41	63.17	55.07	56.70	63.62	6.92	14	-	-	-		
NOMAD	4	77	Ingress	2024 FEB 17 20:01:44	2024 FEB 17 20:05:32	2024 FEB 17 20:06:19	275.00	-58.76	-19.54	-14.30	-81.07	-77.65	-76.38	2.95	1	CO2 Fullscan Fast #3	Diffraction order stepping (fullscan): 10 orders from 125 to 135 in steps of 1 (6 order(s) per 1 second(s))	COP row -1: UVIS off		
NOMAD	4	77	Egress	2024 FEB 17 20:42:56	2024 FEB 17 20:43:41	2024 FEB 17 20:47:08	252.00	30.19	30.85	34.61	55.31	56.92	63.73	6.93	1	6SUBD Nom CO #6	Science: orders #167, #186, #187, #188, #190, #148, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
ACS	5	77	Ingress	2024 FEB 17 21:59:38	2024 FEB 17 22:03:26	2024 FEB 17 22:04:13	275.00	-88.31	-48.91	-43.59	-81.06	-77.76	-76.51	2.91	14	-	-	-		
ACS	5	77	Egress	2024 FEB 17 22:40:56	2024 FEB 17 22:41:40	2024 FEB 17 22:45:07	251.00	1.65	2.29	6.09	55.57	57.13	63.90	6.94	14	-	-	-		
NOMAD	6	77	Ingress	2024 FEB 17 23:57:31	2024 FEB 18 00:01:18	2024 FEB 18 00:02:05	274.00	-117.49	-78.19	-72.80	-81.04	-77.85	-76.62	2.87	1	6SUBD Nom CO #6	Science: orders #167, #186, #187, #188, #190, #148, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7	&mroOverlap; 	
NOMAD	6	77	Egress	2024 FEB 18 00:38:53	2024 FEB 18 00:39:37	2024 FEB 18 00:43:04	251.00	-26.89	-26.24	-22.39	55.82	57.37	64.10	6.95	1	6SUBD Nominal #52	Science: orders #121, #134, #169, #129, #148, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: UVIS off	&mroOverlap; 	
N/A	7	77	Ingress	2024 FEB 18 01:55:24	2024 FEB 18 01:59:10	2024 FEB 18 01:59:57	273.00	-146.45	-107.35	-101.92	-81.02	-77.92	-76.70	2.83	47	-	-	-	&trueNightLimb; &mroOverlap; 	
N/A	7	77	Egress	2024 FEB 18 02:36:48	2024 FEB 18 02:37:32	2024 FEB 18 02:40:58	250.00	-55.46	-54.80	-50.95	55.99	57.54	64.19	6.96	47	-	-	-	&trueNightLimb; &mroOverlap; 	
NOMAD	8	77	Ingress	2024 FEB 18 03:53:18	2024 FEB 18 03:57:04	2024 FEB 18 03:57:50	272.00	-175.71	-136.57	-131.19	-81.01	-77.99	-76.82	2.80	1	6SUBD Nominal #54	Science: orders #121, #134, #148, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: UVIS off		
NOMAD	8	77	Egress	2024 FEB 18 04:34:44	2024 FEB 18 04:35:28	2024 FEB 18 04:38:53	249.00	-84.07	-83.41	-79.58	56.10	57.64	64.21	6.96	1	6SUBD CO2 CO #25	Science: orders #156, #123, #118, #148, #186, #132, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: UVIS off		
ACS	9	77	Ingress	2024 FEB 18 05:51:14	2024 FEB 18 05:54:58	2024 FEB 18 05:55:44	270.00	154.67	-166.25	-160.75	-80.99	-78.14	-77.00	2.73	3	-	-	-	&mroOverlap; 	
ACS	9	77	Egress	2024 FEB 18 06:32:43	2024 FEB 18 06:33:27	2024 FEB 18 06:36:50	247.00	-112.66	-112.00	-108.20	56.25	57.77	64.24	6.97	3	-	-	-	&mroOverlap; 	
