Obs Type Index,Obs Type,TC Start Time,TC20 PRECOOLING,TC20 FIXED,TC20 SCI1,TC20 SCI2,
305,Dayside_Nadir,2018 APR 18 07:38:47,1,1,1090,1090,
306,Dayside_Nadir,2018 APR 18 09:47:07,0,0,0,0,
307,Dayside_Nadir,2018 APR 18 11:45:25,0,0,0,0,
308,Dayside_Nadir,2018 APR 18 13:43:43,0,0,0,0,
309,Dayside_Nadir,2018 APR 18 15:42:05,0,0,0,0,
310,Dayside_Nadir,2018 APR 18 17:40:29,0,0,0,0,
311,Dayside_Nadir,2018 APR 18 19:38:51,0,0,0,0,
312,Dayside_Nadir,2018 APR 18 21:37:11,0,0,0,0,
313,Dayside_Nadir,2018 APR 18 23:25:31,1,1,2639,2639,
314,Dayside_Nadir,2018 APR 19 01:33:47,0,0,0,0,
315,Dayside_Nadir,2018 APR 19 03:22:07,1,1,140,140,
316,Dayside_Nadir,2018 APR 19 05:30:31,0,0,0,0,
317,Dayside_Nadir,2018 APR 19 07:18:53,1,1,104,104,
318,Dayside_Nadir,2018 APR 19 09:27:13,0,0,0,0,
319,Dayside_Nadir,2018 APR 19 11:15:33,1,1,1033,1033,
320,Dayside_Nadir,2018 APR 19 13:23:49,0,0,0,0,
321,Dayside_Nadir,2018 APR 19 15:12:09,1,1,1860,1860,
322,Dayside_Nadir,2018 APR 19 17:20:33,0,0,0,0,
323,Dayside_Nadir,2018 APR 19 19:08:55,1,1,2626,2626,
324,Dayside_Nadir,2018 APR 19 21:17:17,0,0,0,0,
325,Dayside_Nadir,2018 APR 19 23:15:37,0,0,0,0,
326,Dayside_Nadir,2018 APR 20 01:13:53,0,0,0,0,
327,Dayside_Nadir,2018 APR 20 03:12:13,0,0,0,0,
328,Dayside_Nadir,2018 APR 20 05:10:35,0,0,0,0,
329,Dayside_Nadir,2018 APR 20 07:08:57,0,0,0,0,
330,Dayside_Nadir,2018 APR 20 09:07:19,0,0,0,0,
331,Dayside_Nadir,2018 APR 20 10:55:39,1,1,116,116,
332,Dayside_Nadir,2018 APR 20 12:53:57,1,1,1779,1779,
333,Dayside_Nadir,2018 APR 20 15:02:15,0,0,0,0,
334,Dayside_Nadir,2018 APR 20 16:50:37,1,1,2364,2364,
335,Dayside_Nadir,2018 APR 20 18:49:01,1,1,1029,1029,
336,Dayside_Nadir,2018 APR 20 20:57:23,0,0,0,0,
337,Dayside_Nadir,2018 APR 20 22:47:44,1,1,1837,1837,
