Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Nightside nadir observation number,Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),SubSC latitude (deg) @ TC20 execution start time (UTC),SubSC longitude (deg) @ TC20 execution start time (UTC),SubSC LST @ TC20 execution start time (h),SubSC phase angle (deg) @ TC20 execution start time (UTC),SubSC solar incidence angle (deg) @ TC20 execution start time (UTC),SubSC emission angle (deg) @ TC20 execution start time (UTC),SubSC latitude (deg) @ TC20 execution end time (UTC),SubSC longitude (deg) @ TC20 execution end time (UTC),SubSC LST @ TC20 execution end time (h),SubSC phase angle (deg) @ TC20 execution end time (UTC),SubSC solar incidence angle (deg) @ TC20 execution end time (UTC),SubSC emission angle (deg) @ TC20 execution end time (UTC),Beta angle (deg),Solar longitude Ls (deg),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),LNO+UVIS+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
17,17,1,6,5253,0,1,0,0,0,2019 JAN 27 00:49:02,2019 JAN 27 01:25:42,N/A,N/A,2019 JAN 27 00:49:12,2019 JAN 27 01:25:42,-73.1182,70.4824,22.7244,93.8885,93.8885,2.2164e-14,18.3175,169.6026,5.9272,94.7777,94.7777,2.6228e-14,-82.1189,330.9884,N/A,222.6928,222.6928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2190,104,328,1400002C0000000000000000000000000000000000000000000000000000000000000000000A088E00680148
7,7,2,7,5254,1,0,0,0,0,2019 JAN 27 02:47:19,2019 JAN 27 03:25:59,2019 JAN 27 02:47:29,2019 JAN 27 03:25:59,2019 JAN 27 02:47:29,2019 JAN 27 03:25:59,-73.3354,45.4268,22.9728,94.0096,94.0096,3.2746e-14,25.2516,142.4373,6.0672,94.2011,94.2011,1.9083e-14,-81.8843,331.0335,12.066,234.8894,245.6993,0,0,0,0,0,0,0,0,0,0,10,640,1480,30,30,2310,1,1,1844,1844,10,2310,104,733,1400002C00000000000000000000000000000000000A028005C81E1E0906010107340734000A0906006802DD
7,7,3,16,5263,1,0,0,0,0,2019 JAN 27 20:30:24,2019 JAN 27 21:08:59,2019 JAN 27 20:30:34,2019 JAN 27 21:08:49,2019 JAN 27 20:30:34,2019 JAN 27 21:08:59,-72.7551,171.3446,0.61139,95.1009,95.1009,6.9432e-15,32.2742,-116.0023,6.0808,95.2853,95.2853,4.2672e-14,-79.7475,331.4382,11.9637,234.381,245.0968,0,0,0,0,0,0,0,0,0,0,10,640,1465,30,30,2295,1,1,1844,1844,10,2305,104,953,1400002C00000000000000000000000000000000000A028005B91E1E08F7010107340734000A0901006803B9
7,7,4,38,5285,1,0,0,0,0,2019 JAN 29 15:46:02,2019 JAN 29 16:24:44,2019 JAN 29 15:46:12,2019 JAN 29 16:24:42,2019 JAN 29 15:46:12,2019 JAN 29 16:24:44,-68.1861,-82.6794,1.7806,97.9846,97.9846,4.7874e-15,40.8435,-29.7095,5.9397,98.1267,98.1267,7.1119e-15,-74.0027,332.4242,12.066,235.0928,245.9026,0,0,0,0,0,0,0,0,0,0,10,640,1480,30,30,2310,1,1,1844,1844,10,2312,104,735,1400002C00000000000000000000000000000000000A028005C81E1E0906010107340734000A0908006802DF
17,17,5,52,5299,0,1,0,0,0,2019 JAN 30 19:17:02,2019 JAN 30 19:53:42,N/A,N/A,2019 JAN 30 19:17:12,2019 JAN 30 19:53:42,-65.7664,-121.5811,1.9686,99.8317,99.8317,1.5982e-14,38.4339,-76.1495,5.5919,101.6739,101.6739,1.6905e-14,-70.2997,333.0498,N/A,222.6928,222.6928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2190,104,328,1400002C0000000000000000000000000000000000000000000000000000000000000000000A088E00680148
17,17,6,53,5300,0,1,0,0,0,2019 JAN 30 21:14:55,2019 JAN 30 21:51:33,N/A,N/A,2019 JAN 30 21:15:05,2019 JAN 30 21:51:33,-65.6113,-150.0749,1.9811,99.9445,99.9445,2.0917e-14,38.5623,-105.016,5.5792,101.8228,101.8228,2.6276e-14,-70.0501,333.0944,N/A,222.4895,222.4895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2188,104,326,1400002C0000000000000000000000000000000000000000000000000000000000000000000A088C00680146
7,7,7,54,5301,1,0,0,0,0,2019 JAN 30 23:12:45,2019 JAN 30 23:51:25,2019 JAN 30 23:12:55,2019 JAN 30 23:51:25,2019 JAN 30 23:12:55,2019 JAN 30 23:51:25,-65.5287,-178.9126,1.97,100.0664,100.0664,1.2732e-14,44.2619,-131.3047,5.7711,100.1876,100.1876,3.0005e-14,-69.7856,333.139,12.066,234.8894,245.6993,0,0,0,0,0,0,0,0,0,0,10,640,1480,30,30,2310,1,1,1844,1844,10,2310,104,733,1400002C00000000000000000000000000000000000A028005C81E1E0906010107340734000A0906006802DD
7,7,8,61,5308,1,0,0,0,0,2019 JAN 31 12:58:06,2019 JAN 31 13:36:46,2019 JAN 31 12:58:16,2019 JAN 31 13:36:46,2019 JAN 31 12:58:16,2019 JAN 31 13:36:46,-64.6479,-19.9628,1.955,100.9926,100.9926,1.6218e-14,45.3336,26.6053,5.6867,101.0861,101.0861,2.6988e-14,-67.8939,333.4512,12.066,234.8894,245.6993,0,0,0,0,0,0,0,0,0,0,10,640,1480,30,30,2310,1,1,1844,1844,10,2310,104,733,1400002C00000000000000000000000000000000000A028005C81E1E0906010107340734000A0906006802DD
17,17,9,153,5400,0,1,0,0,0,2019 FEB 08 01:42:56,2019 FEB 08 02:19:38,N/A,N/A,2019 FEB 08 01:43:06,2019 FEB 08 02:19:38,-57.2895,-153.1402,0.99722,111.9282,111.9282,3.4878e-14,48.0814,-115.7045,4.0881,115.8454,115.8454,3.4256e-14,-42.9941,337.5243,N/A,222.8962,222.8962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2192,104,330,1400002C0000000000000000000000000000000000000000000000000000000000000000000A08900068014A
17,17,10,189,5436,0,1,0,0,0,2019 FEB 11 00:26:10,2019 FEB 11 01:02:54,N/A,N/A,2019 FEB 11 00:26:20,2019 FEB 11 01:02:54,-55.3701,-113.6777,0.46167,115.324,115.324,1.0183e-14,50.1747,-76.7926,3.5164,119.8448,119.8448,5.2479e-14,-33.2001,339.1035,N/A,223.0996,223.0996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2194,104,332,1400002C0000000000000000000000000000000000000000000000000000000000000000000A08920068014C
