Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	100	Nightside	2025 NOV 22 14:30:26	2025 NOV 22 15:00:04	2025 NOV 22 15:29:43	3556.76	13.35	154.12	178.93	58.32	28.25	-58.50	114.63	4.04	14	-	-	-		
1	100	Dayside	2025 NOV 22 15:29:43	2025 NOV 22 15:59:06	2025 NOV 22 16:28:29	3526.59	178.93	-39.88	-15.38	-58.50	-26.79	58.63	65.27	16.07	14	-		COP row -1: 	&daysideMatch:ACIDALIA MUD VOLCANOES BASIN; 	
2	100	Nightside	2025 NOV 22 16:28:29	2025 NOV 22 16:58:07	2025 NOV 22 17:27:45	3555.48	-15.38	125.24	150.20	58.63	27.97	-58.80	114.85	4.03	5	-	-	-		
2	100	Dayside	2025 NOV 22 17:27:45	2025 NOV 22 17:57:08	2025 NOV 22 18:26:31	3526.45	150.20	-68.73	-44.09	-58.80	-26.43	58.98	65.05	16.06	5	-		COP row -1: 	&mroOverlap; 	
3	100	Nightside	2025 NOV 22 18:26:31	2025 NOV 22 18:56:08	2025 NOV 22 19:25:45	3553.75	-44.09	96.41	121.49	58.98	27.67	-59.11	115.04	4.03	5	-	-	-		
3	100	Dayside	2025 NOV 22 19:25:45	2025 NOV 22 19:55:07	2025 NOV 22 20:24:30	3524.86	121.49	-97.56	-72.80	-59.11	-26.11	59.27	64.85	16.05	5	-		COP row -1: 		
4	100	Nightside	2025 NOV 22 20:24:30	2025 NOV 22 20:54:06	2025 NOV 22 21:23:42	3552.04	-72.80	67.59	92.79	59.27	27.39	-59.37	115.23	4.02	3	-	-	-		
4	100	Dayside	2025 NOV 22 21:23:42	2025 NOV 22 21:53:03	2025 NOV 22 22:22:25	3523.26	92.79	-126.41	-101.51	-59.37	-25.89	59.42	64.65	16.04	3	H2O CO 2SUBD #1	Science: orders #168, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:ULYSSES THOLUS; &daysideMatch:ARSIA MONS; 	
5	100	Nightside	2025 NOV 22 22:22:25	2025 NOV 22 22:52:01	2025 NOV 22 23:21:37	3551.61	-101.51	38.70	64.08	59.42	27.19	-59.50	115.46	4.00	5	-	-	-		
5	100	Dayside	2025 NOV 22 23:21:37	2025 NOV 22 23:50:59	2025 NOV 23 00:20:22	3525.39	64.08	-155.32	-130.23	-59.50	-25.74	59.54	64.41	16.03	5	-		COP row -1: 		
