MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2022 JUN 12 04:07:23,2022 JUN 12 04:12:23,7,7
2022 JUN 12 08:32:07,2022 JUN 12 08:37:07,9,9
2022 JUN 12 18:21:10,2022 JUN 12 18:26:10,14,14
2022 JUN 12 22:16:24,2022 JUN 12 22:21:24,16,16
2022 JUN 13 00:13:50,2022 JUN 13 00:18:50,17,17
2022 JUN 13 15:50:07,2022 JUN 13 15:55:07,25,25
2022 JUN 13 17:48:40,2022 JUN 13 17:53:40,26,26
2022 JUN 14 01:34:55,2022 JUN 14 01:39:55,30,30
2022 JUN 14 07:14:18,2022 JUN 14 07:19:18,33,33
2022 JUN 14 09:29:54,2022 JUN 14 09:34:54,34,34
2022 JUN 14 17:19:33,2022 JUN 14 17:24:33,38,38
2022 JUN 15 10:29:15,2022 JUN 15 10:34:15,47,47
2022 JUN 16 09:37:59,2022 JUN 16 09:42:59,59,59
2022 JUN 16 16:09:40,2022 JUN 16 16:14:40,62,62
2022 JUN 16 19:34:25,2022 JUN 16 19:39:25,64,64
2022 JUN 17 05:18:39,2022 JUN 17 05:21:17,69,69
2022 JUN 17 11:38:51,2022 JUN 17 11:43:51,72,72
2022 JUN 19 12:51:16,2022 JUN 19 12:56:16,97,97
2022 JUN 20 12:25:20,2022 JUN 20 12:30:20,109,109
2022 JUN 20 21:58:04,2022 JUN 20 22:03:04,114,114
2022 JUN 22 07:32:11,2022 JUN 22 07:37:11,131,131
2022 JUN 22 15:01:19,2022 JUN 22 15:06:19,135,135
2022 JUN 22 16:57:08,2022 JUN 22 17:02:08,136,136
2022 JUN 22 19:10:46,2022 JUN 22 19:15:46,137,137
2022 JUN 23 07:05:03,2022 JUN 23 07:09:50,143,143
2022 JUN 23 16:56:52,2022 JUN 23 17:01:52,148,148
2022 JUN 23 20:29:53,2022 JUN 23 20:34:53,150,150
2022 JUN 24 10:28:55,2022 JUN 24 10:33:55,157,157
2022 JUN 24 16:23:29,2022 JUN 24 16:28:29,160,160
2022 JUN 25 00:18:10,2022 JUN 25 00:23:10,164,164
2022 JUN 25 03:54:57,2022 JUN 25 03:59:57,166,166
2022 JUN 25 22:01:45,2022 JUN 25 22:06:45,175,175
2022 JUN 25 23:39:22,2022 JUN 25 23:44:22,176,176
2022 JUN 26 01:51:14,2022 JUN 26 01:56:14,177,177
2022 JUN 26 03:56:33,2022 JUN 26 04:01:33,178,178
2022 JUN 26 07:38:30,2022 JUN 26 07:43:30,180,180
