UTC TIME WHEN LNO OBSERVING CLOSE TO CURIOSITY, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2020 OCT 03 23:10:07, 40.3, 14.5, #136 #189
2020 OCT 06 00:17:59, 34.9, 14.0, #136 #189
2020 OCT 08 01:26:42, 32.2, 13.6, #136 #136
2020 OCT 11 02:08:04, 22.0, 12.9, #136 #168
2020 OCT 13 03:15:58, 19.4, 12.4, #134 #168
2020 OCT 18 05:05:40, 19.5, 11.3, #136 #189
2020 OCT 20 06:13:49, 24.4, 10.8, #136 #189
2020 OCT 25 08:03:00, 36.9, 9.6, #136 #168
2020 OCT 27 09:11:27, 43.3, 9.2, #136 #189
2020 OCT 29 10:19:19, 49.6, 8.8, #136 #168
