UTC TIME WHEN LNO OBSERVING CLOSE TO INSIGHT, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2020 OCT 06 00:20:59, 42.5, 14.2, #136 #189
2020 OCT 08 01:28:42, 37.6, 13.7, #136 #136
2020 OCT 10 02:37:18, 35.9, 13.3, #167 #169
2020 OCT 13 03:18:58, 28.7, 12.6, #134 #168
2020 OCT 17 05:34:03, 26.5, 11.6, #168 #189
2020 OCT 20 06:16:19, 29.1, 11.0, #136 #189
2020 OCT 24 08:31:57, 37.9, 10.1, #167 #169
2020 OCT 27 09:13:27, 44.7, 9.3, #136 #189
2020 OCT 29 10:22:19, 51.4, 8.9, #136 #168
2020 OCT 31 11:30:08, 57.4, 8.5, #168 #189
