NOM_02, OCCEG, 79
NOM_02, OCCIN, 3, 13, 19, 28, 107
NOM_03, OCCEG, 7, 16, 18, 23, 28, 94, 105, 139, 156
NOM_03, OCCIN, 70, 72, 79, 81, 87, 94, 97, 110, 128, 130, 132, 135
NOM_03, OCCME, 30
CO_001, OCCEG, 75, 122
CO_001, OCCIN, 84, 143, 145
CO_002, OCCEG, 21, 81, 104, 115, 126, 128, 135, 149
CO_002, OCCIN, 27, 105, 115, 122, 153
CO2_01, OCCEG, 5, 13, 70, 92, 97
CO2_01, OCCIN, 5, 23, 92, 154
CO2_02, OCCEG, 3, 27, 72, 87, 107, 110, 130, 143, 145
CO2_02, OCCIN, 18, 104, 118
CO2_02, OCCME, 35
HCL_01, OCCEG, 19, 90, 100, 116, 142, 153
HCL_01, OCCIN, 7, 21, 90, 126, 139, 149, 156, 159
FUL_01, OCCEG, 84, 118
FUL_01, OCCIN, 10, 16
