Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,1,2021 OCT 30 15:38:07,2021 OCT 30 17:36:01,7074,2021 OCT 30 15:36:08,2021 OCT 30 16:34:42,3514,2021 OCT 30 16:34:43,2021 OCT 30 17:34:01,3558,39.3491,2021 OCT 30 17:04:35
1,1,2,2021 OCT 30 17:36:02,2021 OCT 30 19:34:00,7078,2021 OCT 30 17:34:02,2021 OCT 30 18:32:39,3517,2021 OCT 30 18:32:40,2021 OCT 30 19:32:00,3560,39.1415,2021 OCT 30 19:02:34
3,3,3,2021 OCT 30 19:34:01,2021 OCT 30 21:32:02,7081,2021 OCT 30 19:32:01,2021 OCT 30 20:30:39,3518,2021 OCT 30 20:30:40,2021 OCT 30 21:30:02,3562,38.9586,2021 OCT 30 21:00:34
1,1,4,2021 OCT 30 21:32:03,2021 OCT 30 23:30:03,7080,2021 OCT 30 21:30:03,2021 OCT 30 22:28:40,3517,2021 OCT 30 22:28:41,2021 OCT 30 23:28:03,3562,38.7994,2021 OCT 30 22:58:35
3,3,5,2021 OCT 30 23:30:04,2021 OCT 31 01:28:02,7078,2021 OCT 30 23:28:04,2021 OCT 31 00:26:40,3516,2021 OCT 31 00:26:41,2021 OCT 31 01:26:02,3561,38.6607,2021 OCT 31 00:56:34
1,1,6,2021 OCT 31 01:28:03,2021 OCT 31 03:25:58,7075,2021 OCT 31 01:26:03,2021 OCT 31 02:24:38,3515,2021 OCT 31 02:24:39,2021 OCT 31 03:23:58,3559,38.5249,2021 OCT 31 02:54:31
1,1,7,2021 OCT 31 03:25:59,2021 OCT 31 05:23:53,7074,2021 OCT 31 03:23:59,2021 OCT 31 04:22:33,3514,2021 OCT 31 04:22:34,2021 OCT 31 05:21:53,3559,38.3636,2021 OCT 31 04:52:27
3,3,8,2021 OCT 31 05:23:54,2021 OCT 31 07:21:51,7077,2021 OCT 31 05:21:54,2021 OCT 31 06:20:29,3515,2021 OCT 31 06:20:30,2021 OCT 31 07:19:51,3561,38.154,2021 OCT 31 06:50:24
1,1,9,2021 OCT 31 07:21:52,2021 OCT 31 09:19:51,7079,2021 OCT 31 07:19:52,2021 OCT 31 08:18:29,3517,2021 OCT 31 08:18:30,2021 OCT 31 09:17:51,3561,37.9502,2021 OCT 31 08:48:23
3,3,10,2021 OCT 31 09:19:52,2021 OCT 31 11:17:51,7079,2021 OCT 31 09:17:52,2021 OCT 31 10:16:30,3518,2021 OCT 31 10:16:31,2021 OCT 31 11:15:51,3560,37.7766,2021 OCT 31 10:46:24
