Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	Ingress	2020 OCT 31 16:00:31	2020 OCT 31 16:06:22	2020 OCT 31 16:07:48	437.00	174.06	-172.27	-169.85	57.63	43.54	39.59	16.63	3	-	-	-		
N/A	1	Egress	2020 OCT 31 16:31:50	2020 OCT 31 16:33:19	2020 OCT 31 16:39:38	468.00	-141.22	-138.85	-124.63	-37.87	-41.99	-57.33	19.29	3	-	-	-		
NOMAD	2	Ingress	2020 OCT 31 17:58:32	2020 OCT 31 18:04:27	2020 OCT 31 18:05:54	442.00	145.81	159.43	161.83	57.35	43.00	38.97	16.66	1	6SUBD Nominal #42	Science: orders #121, #134, #169, #129, #149, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (135:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1134 ms, Binning=7		
NOMAD	2	Egress	2020 OCT 31 18:29:34	2020 OCT 31 18:31:04	2020 OCT 31 18:37:26	472.00	-170.25	-167.89	-153.81	-37.25	-41.44	-57.01	19.27	1	6SUBD CH4 #1	Science: orders #121, #133, #134, #135, #136, #169, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (135:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1134 ms, Binning=7		
ACS	3	Ingress	2020 OCT 31 19:56:32	2020 OCT 31 20:02:32	2020 OCT 31 20:04:01	449.00	117.41	131.06	133.48	57.17	42.52	38.38	16.68	14	-	-	-		
ACS	3	Egress	2020 OCT 31 20:27:18	2020 OCT 31 20:28:50	2020 OCT 31 20:35:16	478.00	160.68	163.04	177.04	-36.55	-40.86	-56.70	19.24	14	-	-	-		
N/A	4	Ingress	2020 OCT 31 21:54:35	2020 OCT 31 22:00:40	2020 OCT 31 22:02:10	455.00	88.98	102.67	105.09	57.01	42.06	37.85	16.70	14	-	-	-		
N/A	4	Egress	2020 OCT 31 22:25:04	2020 OCT 31 22:26:37	2020 OCT 31 22:33:09	485.00	131.63	133.98	147.99	-35.89	-40.27	-56.47	19.21	14	-	-	-		
NOMAD	5	Ingress	2020 OCT 31 23:52:36	2020 OCT 31 23:58:45	2020 NOV 01 00:00:17	461.00	60.47	74.21	76.65	56.89	41.71	37.39	16.72	1	134 only #2	Science: orders #134, #134, #134, #134, #134, #134, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
NOMAD	5	Egress	2020 NOV 01 00:22:51	2020 NOV 01 00:24:26	2020 NOV 01 00:31:03	492.00	102.63	104.99	119.02	-35.30	-39.79	-56.28	19.19	1	HCL #4	Science: orders #121, #134, #129, #129, #129, #129, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
ACS	6	Ingress	2020 NOV 01 01:50:34	2020 NOV 01 01:56:46	2020 NOV 01 01:58:20	466.00	31.94	45.71	48.19	56.80	41.42	36.99	16.74	14	-	-	-		
ACS	6	Egress	2020 NOV 01 02:20:36	2020 NOV 01 02:22:13	2020 NOV 01 02:28:55	499.00	73.63	76.00	90.03	-34.68	-39.29	-56.08	19.17	14	-	-	-		
N/A	7	Ingress	2020 NOV 01 03:48:28	2020 NOV 01 03:54:45	2020 NOV 01 03:56:20	472.00	3.37	17.25	19.73	56.75	41.09	36.60	16.75	14	-	-	-	&nomadSolarCalibration; 	
N/A	7	Egress	2020 NOV 01 04:18:16	2020 NOV 01 04:19:54	2020 NOV 01 04:26:40	504.00	44.62	46.99	60.92	-34.02	-38.70	-55.76	19.14	14	-	-	-	&nomadSolarCalibration; 	
N/A	8	Ingress	2020 NOV 01 05:46:26	2020 NOV 01 05:52:49	2020 NOV 01 05:54:26	480.00	-25.00	-11.08	-8.60	56.54	40.54	35.93	16.78	14	-	-	-		
N/A	8	Egress	2020 NOV 01 06:15:57	2020 NOV 01 06:17:37	2020 NOV 01 06:24:28	511.00	15.60	17.97	31.85	-33.31	-38.10	-55.48	19.12	14	-	-	-		
