Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	Nightside	2020 OCT 31 15:49:42	2020 OCT 31 16:19:14	2020 OCT 31 16:48:47	3544.42	116.16	-123.27	-78.20	69.83	13.47	-69.84	123.97	20.11	3	-	-	-		
1	Dayside	2020 OCT 31 16:48:47	2020 OCT 31 17:18:11	2020 OCT 31 17:47:36	3529.08	-78.20	42.69	87.42	-69.84	-11.97	69.84	56.16	8.12	3	Ice CO 2SUBD #2	Science: orders #193, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 68: NADIR: Full Frame (57:245;0:1047),Tint = 7000 ms,16 bit,Rhythm = 9017 ms, Binning=0		
2	Nightside	2020 OCT 31 17:47:36	2020 OCT 31 18:17:09	2020 OCT 31 18:46:42	3546.75	87.42	-152.21	-106.90	69.84	13.39	-69.85	123.71	20.09	1	-	-	-		
2	Dayside	2020 OCT 31 18:46:42	2020 OCT 31 19:16:08	2020 OCT 31 19:45:34	3531.10	-106.90	13.73	58.77	-69.85	-11.91	69.86	56.42	8.11	1	-		COP row -1: UVIS off		
3	Nightside	2020 OCT 31 19:45:34	2020 OCT 31 20:15:06	2020 OCT 31 20:44:39	3545.79	58.77	178.83	-135.77	69.86	13.29	-69.86	123.43	20.07	14	-	-	-		
3	Dayside	2020 OCT 31 20:44:39	2020 OCT 31 21:14:05	2020 OCT 31 21:43:31	3531.96	-135.77	-15.25	29.86	-69.86	-11.91	69.86	56.69	8.09	14	-		COP row 72: NADIR: Full Frame (57:245;0:1047),Tint = 10000 ms,16 bit,Rhythm = 12017 ms, Binning=0		
4	Nightside	2020 OCT 31 21:43:31	2020 OCT 31 22:13:03	2020 OCT 31 22:42:35	3544.19	29.86	149.85	-164.78	69.86	13.29	-69.86	123.16	20.05	14	-	-	-		
4	Dayside	2020 OCT 31 22:42:35	2020 OCT 31 23:12:01	2020 OCT 31 23:41:27	3531.26	-164.78	-44.23	0.71	-69.86	-11.92	69.86	56.96	8.07	14	-		COP row -1: UVIS off		
5	Nightside	2020 OCT 31 23:41:27	2020 NOV 01 00:10:58	2020 NOV 01 00:40:30	3543.03	0.71	120.87	166.11	69.86	13.37	-69.86	122.90	20.03	1	-	-	-		
5	Dayside	2020 NOV 01 00:40:30	2020 NOV 01 01:09:55	2020 NOV 01 01:39:19	3529.57	166.11	-73.18	-28.51	-69.86	-11.95	69.85	57.22	8.05	1	Nominal 4SUBD #2	Science: orders #168, #134, #121, #189, with 195000us integration time (4 orders per 15 second(s) for detector lines 80 to 224)	COP row 68: NADIR: Full Frame (57:245;0:1047),Tint = 7000 ms,16 bit,Rhythm = 9017 ms, Binning=0		
6	Nightside	2020 NOV 01 01:39:19	2020 NOV 01 02:08:51	2020 NOV 01 02:38:22	3542.61	-28.51	91.92	136.97	69.85	13.47	-69.85	122.67	20.01	14	-	-	-		
