TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2020 NOV 01 14:30:00,12,12
2020 NOV 07 15:57:00,86,86
2020 NOV 11 22:09:00,138,138
2020 NOV 12 04:03:00,141,141
2020 NOV 14 05:12:00,166,166
2020 NOV 15 03:48:00,178,178
2020 NOV 16 21:06:00,199,199
2020 NOV 18 14:24:00,220,220
2020 NOV 19 17:54:00,234,234
2020 NOV 19 23:48:00,237,237
2020 NOV 20 01:48:00,238,238
2020 NOV 20 07:42:00,241,241
2020 NOV 22 20:39:00,272,272
2020 NOV 23 02:33:00,275,275
2020 NOV 23 10:27:00,279,279
2020 NOV 24 14:00:00,293,293
2020 NOV 24 16:03:00,294,294
2020 NOV 24 18:03:00,295,295
2020 NOV 24 19:54:00,296,296
2020 NOV 24 21:57:00,297,297
2020 NOV 24 23:57:00,298,298
2020 NOV 25 21:36:00,309,309
2020 NOV 25 23:36:00,310,310
2020 NOV 25 23:30:00,310,310
2020 NOV 26 03:30:00,312,312
2020 NOV 26 05:30:00,313,313
2020 NOV 26 05:24:00,313,313
2020 NOV 26 07:24:00,314,314
2020 NOV 27 09:00:00,327,327
2020 NOV 27 11:00:00,328,328
2020 NOV 27 13:00:00,329,329
2020 NOV 27 15:00:00,330,330
2020 NOV 27 14:54:00,330,330
2020 NOV 27 16:57:00,331,331
