TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2022 OCT 01 22:36:00,4,4
2022 OCT 03 23:45:00,29,29
2022 OCT 08 00:03:00,78,78
2022 OCT 08 05:57:00,81,81
2022 OCT 10 23:48:00,115,115
2022 OCT 11 05:42:00,118,118
2022 OCT 12 17:06:00,136,136
2022 OCT 14 02:30:00,153,153
2022 OCT 14 08:24:00,156,156
2022 OCT 14 10:24:00,157,157
2022 OCT 15 19:48:00,174,174
2022 OCT 15 21:48:00,175,175
2022 OCT 16 01:42:00,177,177
2022 OCT 16 03:42:00,178,178
2022 OCT 16 05:42:00,179,179
2022 OCT 16 07:42:00,180,180
2022 OCT 16 11:36:00,182,182
2022 OCT 16 13:36:00,183,183
2022 OCT 16 07:42:00,180,180
2022 OCT 17 13:06:00,195,195
2022 OCT 17 15:09:00,196,196
2022 OCT 17 17:09:00,197,197
2022 OCT 17 23:03:00,200,200
2022 OCT 18 01:03:00,201,201
2022 OCT 18 14:39:00,208,208
2022 OCT 18 22:33:00,212,212
2022 OCT 19 00:33:00,213,213
2022 OCT 19 04:36:00,215,215
2022 OCT 19 04:27:00,215,215
2022 OCT 19 06:27:00,216,216
2022 OCT 19 08:30:00,217,217
2022 OCT 19 10:30:00,218,218
2022 OCT 20 08:00:00,229,229
2022 OCT 20 10:00:00,230,230
2022 OCT 20 12:03:00,231,231
2022 OCT 20 14:03:00,232,232
2022 OCT 20 13:54:00,232,232
2022 OCT 20 15:54:00,233,233
2022 OCT 20 17:57:00,234,234
2022 OCT 20 19:57:00,235,235
2022 OCT 21 17:27:00,246,246
2022 OCT 21 19:30:00,247,247
2022 OCT 21 21:30:00,248,248
2022 OCT 22 01:24:00,250,250
2022 OCT 22 01:21:00,250,250
2022 OCT 22 03:27:00,251,251
2022 OCT 22 03:24:00,251,251
2022 OCT 23 05:06:00,264,264
2022 OCT 23 05:00:00,264,264
2022 OCT 23 07:03:00,265,265
2022 OCT 23 09:00:00,266,266
2022 OCT 23 11:00:00,267,267
2022 OCT 23 13:00:00,268,268
2022 OCT 23 12:57:00,268,268
2022 OCT 23 14:57:00,269,269
2022 OCT 23 14:54:00,269,269
2022 OCT 24 14:33:00,281,281
2022 OCT 24 16:33:00,282,282
2022 OCT 24 18:36:00,283,283
2022 OCT 24 18:33:00,283,283
2022 OCT 24 20:30:00,284,284
2022 OCT 24 22:27:00,285,285
2022 OCT 25 00:24:00,286,286
2022 OCT 25 02:24:00,287,287
2022 OCT 26 02:00:00,299,299
2022 OCT 26 06:00:00,301,301
2022 OCT 26 07:54:00,302,302
2022 OCT 26 11:57:00,304,304
2022 OCT 26 11:54:00,304,304
2022 OCT 26 13:51:00,305,305
2022 OCT 26 17:51:00,307,307
2022 OCT 26 11:57:00,304,304
2022 OCT 27 11:27:00,316,316
2022 OCT 27 17:24:00,319,319
2022 OCT 27 21:24:00,321,321
2022 OCT 27 23:18:00,322,322
2022 OCT 28 05:15:00,325,325
2022 OCT 28 22:51:00,334,334
2022 OCT 29 02:51:00,336,336
2022 OCT 29 04:48:00,337,337
2022 OCT 29 08:45:00,339,339
2022 OCT 29 10:42:00,340,340
