UTC TIME WHEN LNO OBSERVING CLOSE TO CURIOSITY, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2020 FEB 26 01:16:22, 54.4, 15.5, #136 #136
2020 FEB 28 02:24:05, 48.0, 15.1, #136 #168
2020 MAR 04 04:14:26, 32.3, 14.0, #136 #136
2020 MAR 06 05:21:59, 26.4, 13.5, #136 #190
2020 MAR 08 06:31:04, 19.4, 13.2, #134 #136
2020 MAR 11 07:12:13, 13.7, 12.4, #134 #190
2020 MAR 13 08:20:18, 10.4, 12.0, #136 #168
2020 MAR 15 09:28:24, 10.5, 11.6, #134 #136
2020 MAR 18 10:10:10, 19.4, 10.9, #134 #136
2020 MAR 20 11:17:51, 25.0, 10.5, #136 #190
