UTC TIME WHEN LNO OBSERVING CLOSE TO INSIGHT, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2020 FEB 26 01:18:22, 54.5, 15.6, #136 #136
2020 FEB 28 02:27:35, 48.5, 15.2, #136 #168
2020 MAR 06 05:25:29, 25.8, 13.7, #136 #190
2020 MAR 08 06:33:04, 19.2, 13.3, #134 #136
2020 MAR 10 07:41:40, 13.1, 12.9, #167 #169
2020 MAR 13 08:23:18, 3.1, 12.2, #136 #168
2020 MAR 15 09:30:54, 4.1, 11.7, #134 #136
2020 MAR 17 10:38:33, 10.6, 11.3, #167 #169
2020 MAR 20 11:20:51, 20.5, 10.6, #136 #190
