MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2024 SEP 29 14:51:00,54.0026,-106.4099,304.186,14.0931,69.0394,4.6555e-14,69.0394,2024 SEP 29 15:21:00,52.4539,-110.6837,423.0429,14.295,68.8049,0.12004,68.6926
2024 SEP 30 13:18:00,55.2776,-74.2728,305.0893,14.0864,69.8803,1.6295e-14,69.8803,2024 SEP 30 12:57:00,55.1413,-70.8862,426.064,13.9717,69.2481,0.14124,69.1272
2024 SEP 30 18:54:00,53.5868,-155.7476,304.4781,14.1053,68.5173,4.6118e-14,68.5173,2024 SEP 30 18:51:00,54.1451,-156.9029,424.8399,13.9797,68.389,0.07422,68.4627
2024 SEP 30 20:45:00,49.695,177.7434,303.1124,14.1389,65.4762,4.0733e-14,65.4762,2024 SEP 30 20:51:00,48.321,177.4559,421.2008,14.2169,64.8138,0.40469,65.125
2024 SEP 30 22:36:00,45.7478,151.1334,300.4462,14.1653,62.426,7.2806e-14,62.426,2024 SEP 30 22:51:00,42.5144,151.1469,417.1359,14.4097,61.5634,0.10434,61.46
2024 OCT 01 02:21:00,47.4822,96.1521,299.219,14.15,63.6972,5.4028e-14,63.6972,2024 OCT 01 02:45:00,47.871,91.3576,420.3316,14.2197,64.4219,2.2557,62.7093
2024 OCT 01 04:12:00,43.8147,69.4674,296.6837,14.1717,60.8784,4.8549e-14,60.8784,2024 OCT 01 04:45:00,41.7762,64.7396,415.4593,14.3917,60.8326,0.10368,60.7299
2024 OCT 02 00:48:00,48.9773,128.3149,301.8507,14.145,64.6957,3.4403e-14,64.6957,2024 OCT 02 00:21:00,50.4687,131.251,422.3443,13.9028,64.6509,0.14831,64.5173
2024 OCT 02 02:39:00,45.1333,101.6514,297.8441,14.1683,61.7251,3.8824e-14,61.7251,2024 OCT 02 02:21:00,44.6641,105.2035,418.5967,14.1131,61.0028,0.12833,60.8799
2024 OCT 02 04:27:00,31.9196,76.3773,287.9153,14.2353,52.1012,2.3801e-14,52.1012,2024 OCT 02 04:24:00,29.8544,80.6543,407.8192,14.4717,52.8462,3.7517,56.185
2024 OCT 02 08:15:00,43.4627,20.1134,298.6338,14.1831,60.45,2.8448e-14,60.45,2024 OCT 02 08:15:00,43.4579,18.4995,416.6085,14.0753,59.7439,2.7129,61.9321
2024 OCT 03 14:09:00,38.5169,-55.9956,294.4242,14.2114,56.5743,3.1806e-14,56.5743,2024 OCT 03 13:45:00,39.8284,-53.5552,416.8006,13.9847,55.9797,1.6607,54.7062
