Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	53	Grazing	2022 APR 16 15:01:53	-	2022 APR 16 15:34:33	1960.00	-82.89	-	-82.89	40.38	-	40.38	-	14	-	-	-		
N/A	2	53	Grazing	2022 APR 16 16:59:54	-	2022 APR 16 17:32:40	1966.00	-111.77	-	-111.77	40.80	-	40.80	-	14	-	-	-		
NOMAD	3	53	Grazing	2022 APR 16 18:57:56	-	2022 APR 16 19:30:46	1970.00	-140.68	-	-140.68	41.24	-	41.24	-	5	6SUBD Nominal #42	Science: orders #121, #134, #169, #129, #149, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
N/A	4	53	Grazing	2022 APR 16 20:56:02	-	2022 APR 16 21:28:52	1970.00	-169.66	-	-169.66	41.81	-	41.81	-	14	-	-	-		
NOMAD	5	53	Grazing	2022 APR 16 22:54:08	-	2022 APR 16 23:27:00	1972.00	161.42	-	161.42	42.23	-	42.23	-	5	6SUBD CO2 H2O CO #15	Science: orders #121, #132, #148, #165, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
N/A	6	53	Grazing	2022 APR 17 00:52:14	-	2022 APR 17 01:25:08	1974.00	132.49	-	132.49	42.68	-	42.68	-	14	-	-	-	&acsSolarCalibration; 	
N/A	7	53	Grazing	2022 APR 17 02:50:15	-	2022 APR 17 03:23:17	1982.00	103.65	-	103.65	42.94	-	42.94	-	14	-	-	-		
N/A	8	53	Grazing	2022 APR 17 04:48:18	-	2022 APR 17 05:21:22	1984.00	74.69	-	74.69	43.44	-	43.44	-	3	-	-	-	&mroOverlap; 	
N/A	9	53	Grazing	2022 APR 17 06:46:23	-	2022 APR 17 07:19:27	1984.00	45.67	-	45.67	44.08	-	44.08	-	14	-	-	-		
NOMAD	10	53	Grazing	2022 APR 17 08:44:24	-	2022 APR 17 09:17:36	1992.00	16.80	-	16.80	44.40	-	44.40	-	5	6SUBD Nominal #12	Science: orders #121, #134, #127, #129, #169, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7	&grazingMatch:PHOENIX; &mroOverlap; 	
NOMAD	11	53	Grazing	2022 APR 17 10:42:30	-	2022 APR 17 11:15:48	1998.00	-12.12	-	-12.12	44.77	-	44.77	-	5	6SUBD CO2 H2O #13	Science: orders #121, #132, #148, #156, #186, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
N/A	12	53	Grazing	2022 APR 17 12:40:38	-	2022 APR 17 13:14:00	2002.00	-41.12	-	-41.12	45.28	-	45.28	-	14	-	-	-		
N/A	13	53	Grazing	2022 APR 17 14:38:44	-	2022 APR 17 15:12:10	2006.00	-70.12	-	-70.12	45.81	-	45.81	-	14	-	-	-	&nomadSolarCalibration; &mroOverlap; 	
N/A	14	53	Grazing	2022 APR 17 16:36:48	-	2022 APR 17 17:10:16	2008.00	-99.10	-	-99.10	46.31	-	46.31	-	14	-	-	-		
N/A	15	53	Grazing	2022 APR 17 18:34:45	-	2022 APR 17 19:08:21	2016.00	-127.94	-	-127.94	46.57	-	46.57	-	14	-	-	-		
NOMAD	16	53	Grazing	2022 APR 17 20:32:48	-	2022 APR 17 21:06:28	2020.00	-156.89	-	-156.89	46.98	-	46.98	-	5	6SUBD Nominal #12	Science: orders #121, #134, #127, #129, #169, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
N/A	17	53	Grazing	2022 APR 17 22:30:54	-	2022 APR 17 23:04:36	2022.00	174.13	-	174.13	47.43	-	47.43	-	14	-	-	-		
NOMAD	18	53	Grazing	2022 APR 18 00:28:57	-	2022 APR 18 01:02:43	2026.00	145.24	-	145.24	47.74	-	47.74	-	5	6SUBD CO2 H2O #11	Science: orders #121, #132, #148, #156, #160, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
N/A	19	53	Grazing	2022 APR 18 02:27:01	-	2022 APR 18 03:00:53	2032.00	116.32	-	116.32	48.06	-	48.06	-	14	-	-	-	&nomadSolarCalibration; 	
N/A	20	53	Grazing	2022 APR 18 04:25:02	-	2022 APR 18 04:59:00	2038.00	87.43	-	87.43	48.37	-	48.37	-	14	-	-	-		
N/A	21	53	Grazing	2022 APR 18 06:23:03	-	2022 APR 18 06:57:05	2042.00	58.45	-	58.45	48.82	-	48.82	-	14	-	-	-		
ACS	22	53	Merged	2022 APR 18 08:21:04	-	2022 APR 18 08:55:10	2046.45	29.51	-	-139.01	49.20	-	19.02	-	14	-	-	-		
NOMAD	23	53	Merged	2022 APR 18 10:19:05	-	2022 APR 18 10:53:22	2056.83	0.67	-	-167.96	49.39	-	18.22	-	5	6SUBD CO2 H2O #11	Science: orders #121, #132, #148, #156, #160, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
N/A	24	53	Merged	2022 APR 18 12:17:10	-	2022 APR 18 12:51:33	2063.17	-28.27	-	163.11	49.73	-	17.50	-	14	-	-	-		
NOMAD	25	53	Merged	2022 APR 18 14:15:17	-	2022 APR 18 14:49:44	2066.51	-57.32	-	134.19	50.24	-	16.79	-	5	6SUBD Nominal #42	Science: orders #121, #134, #169, #129, #149, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
N/A	26	53	Merged	2022 APR 18 16:13:22	-	2022 APR 18 16:47:52	2070.08	-86.36	-	105.29	50.72	-	16.11	-	14	-	-	-		
ACS	27	53	Merged	2022 APR 18 18:11:19	-	2022 APR 18 18:45:57	2077.75	-115.23	-	76.39	50.97	-	15.39	-	14	-	-	-		
NOMAD	28	53	Merged	2022 APR 18 20:09:18	-	2022 APR 18 20:44:02	2083.87	-144.13	-	47.51	51.26	-	14.73	-	5	All Fullscan Fast #2	Diffraction order stepping (fullscan): 115 orders from 110 to 225 in steps of 1 (6 order(s) per 1 second(s))	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
ACS	29	53	Merged	2022 APR 18 22:07:20	-	2022 APR 18 22:42:08	2087.98	-173.07	-	18.65	51.58	-	14.21	-	14	-	-	-		
NOMAD	30	53	Merged	2022 APR 19 00:05:25	-	2022 APR 19 00:40:16	2091.24	157.96	-	-10.21	51.93	-	13.67	-	5	6SUBD CO2 H2O #12	Science: orders #121, #132, #148, #156, #189, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
N/A	31	53	Merged	2022 APR 19 02:03:26	-	2022 APR 19 02:38:24	2098.27	129.09	-	-39.10	52.14	-	13.04	-	3	-	-	-	&mroOverlap; 	
N/A	32	53	Merged	2022 APR 19 04:01:26	-	2022 APR 19 04:36:31	2105.63	100.21	-	-68.00	52.37	-	12.35	-	14	-	-	-		
N/A	33	53	Merged	2022 APR 19 05:59:26	-	2022 APR 19 06:34:37	2110.91	71.25	-	-96.88	52.71	-	11.69	-	3	-	-	-	&mroOverlap; 	
ACS	34	53	Merged	2022 APR 19 07:57:27	-	2022 APR 19 08:32:41	2114.21	42.24	-	-125.75	53.12	-	11.09	-	14	-	-	-		
