Dayside Nadir Index	UTC Start Time	UTC End Time	UTC Minimum Incidence Angle Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Local Time (hrs)	
0	2018 JUL 14 15:54:12	2018 JUL 14 16:57:17	2018 JUL 14 16:26:05	3780.0	-110.8	-19.2	55.0	73.3	3.4	-73.3	15.9	
1	2018 JUL 14 17:52:08	2018 JUL 14 18:55:13	2018 JUL 14 18:24:01	3780.0	-139.2	-48.1	26.5	73.3	3.2	-73.4	15.9	
2	2018 JUL 14 19:50:03	2018 JUL 14 20:53:09	2018 JUL 14 20:21:55	3780.0	-167.4	-77.0	-1.4	73.4	3.0	-73.5	15.9	
3	2018 JUL 14 21:47:56	2018 JUL 14 22:50:59	2018 JUL 14 22:19:47	3778.0	164.1	-105.9	-29.9	73.5	2.9	-73.5	15.8	
4	2018 JUL 14 23:45:47	2018 JUL 15 00:48:47	2018 JUL 15 00:17:37	3776.0	135.6	-134.8	-58.9	73.5	2.8	-73.4	15.8	
5	2018 JUL 15 01:43:38	2018 JUL 15 02:46:41	2018 JUL 15 02:15:29	3778.0	106.9	-163.8	-87.5	73.4	2.7	-73.4	15.8	
6	2018 JUL 15 03:41:32	2018 JUL 15 04:44:37	2018 JUL 15 04:13:23	3780.0	78.1	167.3	-115.9	73.4	2.6	-73.4	15.8	
7	2018 JUL 15 05:39:29	2018 JUL 15 06:42:33	2018 JUL 15 06:11:19	3778.0	49.9	138.3	-144.2	73.4	2.4	-73.5	15.8	
8	2018 JUL 15 07:37:25	2018 JUL 15 08:40:27	2018 JUL 15 08:09:15	3776.0	21.6	109.4	-172.6	73.5	2.3	-73.5	15.8	
9	2018 JUL 15 09:35:19	2018 JUL 15 10:38:19	2018 JUL 15 10:07:07	3776.0	-6.9	80.5	159.1	73.6	2.1	-73.6	15.7	
10	2018 JUL 15 11:33:08	2018 JUL 15 12:36:07	2018 JUL 15 12:04:57	3774.0	-35.4	51.6	130.2	73.6	2.0	-73.5	15.7	
11	2018 JUL 15 13:30:59	2018 JUL 15 14:33:59	2018 JUL 15 14:02:47	3776.0	-64.3	22.7	101.4	73.5	2.0	-73.5	15.7	
12	2018 JUL 15 15:28:53	2018 JUL 15 16:31:55	2018 JUL 15 16:00:43	3778.0	-92.9	-6.3	72.8	73.5	1.9	-73.5	15.7	
13	2018 JUL 15 17:26:48	2018 JUL 15 18:29:53	2018 JUL 15 17:58:39	3780.0	-121.4	-35.2	44.5	73.5	1.7	-73.5	15.7	
14	2018 JUL 15 19:24:44	2018 JUL 15 20:27:49	2018 JUL 15 19:56:35	3780.0	-149.7	-64.2	16.2	73.5	1.5	-73.6	15.7	
15	2018 JUL 15 21:22:38	2018 JUL 15 22:25:39	2018 JUL 15 21:54:27	3776.0	-178.1	-93.1	-12.4	73.6	1.4	-73.6	15.6	
16	2018 JUL 15 23:20:29	2018 JUL 16 00:23:29	2018 JUL 15 23:52:19	3774.0	153.6	-122.0	-41.0	73.6	1.3	-73.6	15.6	
17	2018 JUL 16 01:18:19	2018 JUL 16 02:21:21	2018 JUL 16 01:50:09	3776.0	124.9	-150.9	-69.8	73.6	1.2	-73.5	15.6	
18	2018 JUL 16 03:16:13	2018 JUL 16 04:19:15	2018 JUL 16 03:48:03	3778.0	95.9	-179.9	-98.5	73.5	1.2	-73.5	15.6	
19	2018 JUL 16 05:14:08	2018 JUL 16 06:17:11	2018 JUL 16 05:45:57	3778.0	67.3	151.2	-126.9	73.5	1.0	-73.5	15.6	
20	2018 JUL 16 07:12:05	2018 JUL 16 08:15:05	2018 JUL 16 07:43:53	3776.0	38.9	122.2	-155.3	73.5	0.9	-73.6	15.6	
21	2018 JUL 16 09:09:59	2018 JUL 16 10:12:57	2018 JUL 16 09:41:47	3774.0	10.5	93.3	176.2	73.6	0.8	-73.6	15.5	
22	2018 JUL 16 11:07:50	2018 JUL 16 12:10:47	2018 JUL 16 11:39:37	3772.0	-17.7	64.4	147.7	73.6	0.6	-73.6	15.5	
23	2018 JUL 16 13:05:39	2018 JUL 16 14:08:37	2018 JUL 16 13:37:27	3774.0	-46.8	35.5	118.9	73.6	0.6	-73.6	15.5	
24	2018 JUL 16 15:03:31	2018 JUL 16 16:06:31	2018 JUL 16 15:35:19	3774.0	-75.2	6.6	90.1	73.5	0.5	-73.5	15.5	
25	2018 JUL 16 17:01:26	2018 JUL 16 18:04:29	2018 JUL 16 17:33:15	3778.0	-103.9	-22.4	61.8	73.5	0.4	-73.5	15.5	
26	2018 JUL 16 18:59:21	2018 JUL 16 20:02:25	2018 JUL 16 19:31:11	3780.0	-132.6	-51.3	33.4	73.5	0.3	-73.6	15.5	
27	2018 JUL 16 20:57:15	2018 JUL 16 22:00:17	2018 JUL 16 21:29:05	3778.0	-161.1	-80.3	4.9	73.6	0.1	-73.6	15.4	
28	2018 JUL 16 22:55:07	2018 JUL 16 23:58:07	2018 JUL 16 23:26:55	3776.0	170.6	-109.2	-23.5	73.6	0.0	-73.6	15.4	
29	2018 JUL 17 00:52:57	2018 JUL 17 01:55:57	2018 JUL 17 01:24:45	3776.0	142.0	-138.1	-52.3	73.6	-0.1	-73.5	15.4	
30	2018 JUL 17 02:50:48	2018 JUL 17 03:53:49	2018 JUL 17 03:22:37	3776.0	113.2	-167.0	-81.4	73.5	-0.1	-73.5	15.4	
31	2018 JUL 17 04:48:43	2018 JUL 17 05:51:45	2018 JUL 17 05:20:31	3778.0	84.4	164.0	-109.8	73.5	-0.2	-73.5	15.4	
32	2018 JUL 17 06:46:39	2018 JUL 17 07:49:39	2018 JUL 17 07:18:27	3776.0	55.8	135.1	-138.4	73.5	-0.3	-73.5	15.4	
33	2018 JUL 17 08:44:34	2018 JUL 17 09:47:33	2018 JUL 17 09:16:21	3774.0	27.6	106.1	-166.6	73.5	-0.5	-73.5	15.3	
34	2018 JUL 17 10:42:26	2018 JUL 17 11:45:23	2018 JUL 17 11:14:13	3772.0	-0.8	77.2	164.8	73.6	-0.6	-73.6	15.3	
35	2018 JUL 17 12:40:15	2018 JUL 17 13:43:13	2018 JUL 17 13:12:01	3774.0	-29.7	48.3	136.2	73.5	-0.7	-73.5	15.3	
36	2018 JUL 17 14:38:06	2018 JUL 17 15:41:05	2018 JUL 17 15:09:53	3774.0	-58.3	19.4	107.3	73.5	-0.7	-73.5	15.3	
37	2018 JUL 17 16:36:00	2018 JUL 17 17:39:01	2018 JUL 17 17:07:47	3776.0	-87.0	-9.6	78.6	73.4	-0.8	-73.4	15.3	
38	2018 JUL 17 18:33:55	2018 JUL 17 19:36:57	2018 JUL 17 19:05:43	3778.0	-115.8	-38.5	50.0	73.4	-0.9	-73.5	15.3	
