Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	4	Nightside	2018 JUL 14 14:57:14	2018 JUL 14 15:26:42	2018 JUL 14 15:56:11	3537.28	82.46	175.68	-111.77	-73.22	-2.29	73.24	119.66	3.93	3	-	-	-		
1	4	Dayside	2018 JUL 14 15:56:11	2018 JUL 14 16:25:41	2018 JUL 14 16:55:11	3539.54	-111.77	-19.23	53.94	73.24	3.71	-73.24	60.21	15.89	3	H2O 2SUBD 01	Science: orders #167, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	COMMENT	
2	4	Nightside	2018 JUL 14 16:55:11	2018 JUL 14 17:24:39	2018 JUL 14 17:54:07	3536.45	53.94	146.74	-140.18	-73.24	-2.15	73.28	119.95	3.91	4	-	-	-		
2	4	Dayside	2018 JUL 14 17:54:07	2018 JUL 14 18:23:38	2018 JUL 14 18:53:08	3541.08	-140.18	-48.16	25.68	73.28	3.51	-73.32	59.93	15.87	4	-		COP row -1: 	COMMENT	
3	4	Nightside	2018 JUL 14 18:53:08	2018 JUL 14 19:22:35	2018 JUL 14 19:52:03	3534.53	25.68	117.81	-168.45	-73.32	-1.96	73.36	120.21	3.89	1	-	-	-		
3	4	Dayside	2018 JUL 14 19:52:03	2018 JUL 14 20:21:33	2018 JUL 14 20:51:03	3540.19	-168.45	-77.06	-2.51	73.36	3.28	-73.41	59.66	15.86	1	HDO CO 3SUBD 01	Science: orders #167, #121, #190, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	COMMENT	
4	4	Nightside	2018 JUL 14 20:51:03	2018 JUL 14 21:20:29	2018 JUL 14 21:49:56	3533.16	-2.51	88.92	163.29	-73.41	-1.76	73.43	120.47	3.88	4	-	-	-		
4	4	Dayside	2018 JUL 14 21:49:56	2018 JUL 14 22:19:24	2018 JUL 14 22:48:53	3536.91	163.29	-105.95	-30.95	73.43	3.13	-73.44	59.41	15.84	4	-		COP row -1: 	COMMENT	
5	4	Nightside	2018 JUL 14 22:48:53	2018 JUL 14 23:18:20	2018 JUL 14 23:47:46	3533.42	-30.95	60.03	134.79	-73.44	-1.59	73.45	120.73	3.86	1	-	-	-		
5	4	Dayside	2018 JUL 14 23:47:46	2018 JUL 15 00:17:14	2018 JUL 15 00:46:42	3536.06	134.79	-134.87	-59.72	73.45	3.06	-73.39	59.15	15.83	1	AER H2Oi 3SUBD 01	Science: orders #169, #131, #127, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	COMMENT	
