Obs Index	Obs Type Index	Orbit No	Obs Type	IR Status	UVIS Status	TC Start Time	UVIS Start Time	UVIS End Time	IR Precooling Time	IR Start Time	 IR Transition Time	IR End Time	New TC Start Time	New UVIS Start Time	New UVIS End Time	New IR Precooling Time	New IR Start Time	New IR End Time	IR Duration	UVIS Duration	New IR duration	New UVIS Duration	TC20 FIXED	TC20 SCI1	TC20 SCI2	SCI1 description	SCI2 description	
0	0	0	Dayside_Nadir	LNO_L	UVIS_L	2018 JUL 14 15:44:07	2018 JUL 14 15:44:17	2018 JUL 14 16:57:17	2018 JUL 14 15:44:17	2018 JUL 14 15:54:17	-	2018 JUL 14 16:57:17	Same	Same	Same	Same	Same	Same	3780.0	4380.0	3780.0	4380.0	1	1029	1029	Science: orders #167, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	-	
1	1	1	Dayside_Nadir	OFF	UVIS_1	2018 JUL 14 17:52:03	2018 JUL 14 17:52:13	2018 JUL 14 18:55:13	-	-	-	-	Same	Same	2018 JUL 14 18:52:37	-	-	-	-	3780.0	-	3624.0	-	-	-	-	-	
2	1	1	Dayside_Nadir	OFF	UVIS_2	2018 JUL 14 17:52:03	2018 JUL 14 17:52:13	2018 JUL 14 18:55:13	-	-	-	-	Same	Same	2018 JUL 14 18:52:37	-	-	-	-	3780.0	-	3624.0	-	-	-	-	-	
3	1	1	Dayside_Nadir	OFF	UVIS_3	2018 JUL 14 17:52:03	2018 JUL 14 17:52:13	2018 JUL 14 18:55:13	-	-	-	-	Same	Same	2018 JUL 14 18:52:37	-	-	-	-	3780.0	-	3624.0	-	-	-	-	-	
4	4	2	Ingress	SO_O	UVIS_O	2018 JUL 14 18:52:42	2018 JUL 14 19:02:52	2018 JUL 14 19:13:22	2018 JUL 14 18:52:52	2018 JUL 14 19:02:52	2018 JUL 14 19:10:54	2018 JUL 14 19:13:22	Same	Same	Same	Same	Same	Same	630.0	630.0	630.0	630.0	14	1453	1452	Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 123 to 139)	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 123 to 139)	
5	5	2	Egress	SO_O	UVIS_O	2018 JUL 14 19:20:40	2018 JUL 14 19:30:50	2018 JUL 14 19:40:45	2018 JUL 14 19:20:50	2018 JUL 14 19:30:50	2018 JUL 14 19:33:13	2018 JUL 14 19:40:45	Same	Same	Same	Same	Same	Same	595.0	595.0	595.0	595.0	14	1452	1453	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 123 to 139)	Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 123 to 139)	
6	2	2	Dayside_Nadir	LNO_M	UVIS_L	2018 JUL 14 19:49:59	2018 JUL 14 19:50:09	2018 JUL 14 20:53:09	2018 JUL 14 19:50:09	2018 JUL 14 20:00:09	-	2018 JUL 14 20:40:09	Same	Same	Same	2018 JUL 14 19:56:52	2018 JUL 14 20:06:52	2018 JUL 14 20:36:27	2400.0	3780.0	1775.0	3780.0	1	1779	1779	Science: orders #167, #121, #190, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	-	
7	3	3	Dayside_Nadir	OFF	UVIS_1	2018 JUL 14 21:47:51	2018 JUL 14 21:48:01	2018 JUL 14 22:50:59	-	-	-	-	Same	Same	2018 JUL 14 22:48:07	-	-	-	-	3778.0	-	3606.0	-	-	-	-	-	
8	3	3	Dayside_Nadir	OFF	UVIS_2	2018 JUL 14 21:47:51	2018 JUL 14 21:48:01	2018 JUL 14 22:50:59	-	-	-	-	Same	Same	2018 JUL 14 22:48:07	-	-	-	-	3778.0	-	3606.0	-	-	-	-	-	
9	3	3	Dayside_Nadir	OFF	UVIS_3	2018 JUL 14 21:47:51	2018 JUL 14 21:48:01	2018 JUL 14 22:50:59	-	-	-	-	Same	Same	2018 JUL 14 22:48:07	-	-	-	-	3778.0	-	3606.0	-	-	-	-	-	
10	8	4	Ingress	SO_O	UVIS_O	2018 JUL 14 22:48:12	2018 JUL 14 22:58:22	2018 JUL 14 23:08:34	2018 JUL 14 22:48:22	2018 JUL 14 22:58:22	2018 JUL 14 23:06:13	2018 JUL 14 23:08:34	Same	Same	Same	Same	Same	Same	612.0	612.0	612.0	612.0	14	1176	1176	Science: orders #168, #133, #134, #135, #136, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 123 to 139)	-	
11	9	4	Egress	SO_O	UVIS_O	2018 JUL 14 23:16:53	2018 JUL 14 23:27:03	2018 JUL 14 23:36:39	2018 JUL 14 23:17:03	2018 JUL 14 23:27:03	2018 JUL 14 23:29:20	2018 JUL 14 23:36:39	Same	Same	Same	Same	Same	Same	576.0	576.0	576.0	576.0	14	3951	3951	Science: orders #168, #134, #190, #121, #165, #149, with 4000us integration time (6 orders per 1 second(s) for detector lines 123 to 139)	-	
12	4	4	Dayside_Nadir	LNO_M	UVIS_L	2018 JUL 14 23:45:41	2018 JUL 14 23:45:51	2018 JUL 15 00:48:47	2018 JUL 14 23:45:51	2018 JUL 14 23:55:51	-	2018 JUL 15 00:35:51	Same	Same	2018 JUL 15 00:45:54	2018 JUL 14 23:52:13	2018 JUL 15 00:02:13	2018 JUL 15 00:32:25	2400.0	3776.0	1812.0	3603.0	1	1860	1860	Science: orders #169, #131, #127, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	-	
13	10	5	Ingress	SO_O	UVIS_O	2018 JUL 15 00:45:59	2018 JUL 15 00:56:09	2018 JUL 15 01:06:13	2018 JUL 15 00:46:09	2018 JUL 15 00:56:09	2018 JUL 15 01:03:54	2018 JUL 15 01:06:13	Same	Same	Same	Same	Same	Same	604.0	604.0	604.0	604.0	14	1446	1446	Science: orders #119, #133, #143, #154, #169, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 123 to 139)	-	
14	11	5	Egress	SO_O	UVIS_O	2018 JUL 15 01:14:55	2018 JUL 15 01:25:05	2018 JUL 15 01:34:33	2018 JUL 15 01:15:05	2018 JUL 15 01:25:05	2018 JUL 15 01:27:20	2018 JUL 15 01:34:33	Same	Same	Same	Same	Same	Same	568.0	568.0	568.0	568.0	14	1452	1453	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 123 to 139)	Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 123 to 139)	
15	5	5	Dayside_Nadir	LNO_M	UVIS_L	2018 JUL 15 01:43:33	2018 JUL 15 01:43:43	2018 JUL 15 02:46:41	2018 JUL 15 01:43:43	2018 JUL 15 01:53:43	-	2018 JUL 15 02:33:43	Same	Same	Same	2018 JUL 15 01:49:58	2018 JUL 15 01:59:58	2018 JUL 15 02:30:26	2400.0	3778.0	1828.0	3778.0	1	1107	1107	Science: orders #134, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	-	
16	6	6	Dayside_Nadir	OFF	UVIS_1	2018 JUL 15 03:41:27	2018 JUL 15 03:41:37	2018 JUL 15 04:44:37	-	-	-	-	Same	Same	Same	-	-	-	-	3780.0	-	3780.0	-	-	-	-	-	
17	6	6	Dayside_Nadir	OFF	UVIS_2	2018 JUL 15 03:41:27	2018 JUL 15 03:41:37	2018 JUL 15 04:44:37	-	-	-	-	Same	Same	Same	-	-	-	-	3780.0	-	3780.0	-	-	-	-	-	
18	6	6	Dayside_Nadir	OFF	UVIS_3	2018 JUL 15 03:41:27	2018 JUL 15 03:41:37	2018 JUL 15 04:44:37	-	-	-	-	Same	Same	Same	-	-	-	-	3780.0	-	3780.0	-	-	-	-	-	
19	7	7	Dayside_Nadir	LNO_L	UVIS_L	2018 JUL 15 05:29:25	2018 JUL 15 05:29:35	2018 JUL 15 06:42:33	2018 JUL 15 05:29:35	2018 JUL 15 05:39:35	-	2018 JUL 15 06:42:33	Same	Same	2018 JUL 15 06:39:26	Same	Same	2018 JUL 15 06:39:26	3778.0	4378.0	3591.0	4191.0	1	1837	1837	Science: orders #168, #134, #136, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	-	
20	16	8	Ingress	SO_O	UVIS_O	2018 JUL 15 06:39:31	2018 JUL 15 06:49:41	2018 JUL 15 06:59:18	2018 JUL 15 06:39:41	2018 JUL 15 06:49:41	2018 JUL 15 06:57:07	2018 JUL 15 06:59:18	Same	Same	Same	Same	Same	Same	577.0	577.0	577.0	577.0	14	1453	1452	Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 123 to 139)	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 123 to 139)	
21	17	8	Egress	SO_O	UVIS_O	2018 JUL 15 07:09:25	2018 JUL 15 07:19:35	2018 JUL 15 07:28:38	2018 JUL 15 07:09:35	2018 JUL 15 07:19:35	2018 JUL 15 07:21:42	2018 JUL 15 07:28:38	Same	Same	Same	Same	Same	Same	543.0	543.0	543.0	543.0	14	3951	3951	Science: orders #168, #134, #190, #121, #165, #149, with 4000us integration time (6 orders per 1 second(s) for detector lines 123 to 139)	-	
22	8	8	Dayside_Nadir	LNO_M	UVIS_L	2018 JUL 15 07:37:21	2018 JUL 15 07:37:31	2018 JUL 15 08:40:27	2018 JUL 15 07:37:31	2018 JUL 15 07:47:31	-	2018 JUL 15 08:27:31	Same	Same	Same	2018 JUL 15 07:43:19	2018 JUL 15 07:53:19	2018 JUL 15 08:24:39	2400.0	3776.0	1880.0	3776.0	1	1033	1033	Science: orders #167, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	-	
23	9	9	Dayside_Nadir	OFF	UVIS_1	2018 JUL 15 09:35:13	2018 JUL 15 09:35:23	2018 JUL 15 10:38:19	-	-	-	-	Same	Same	2018 JUL 15 10:35:00	-	-	-	-	3776.0	-	3577.0	-	-	-	-	-	
24	9	9	Dayside_Nadir	OFF	UVIS_2	2018 JUL 15 09:35:13	2018 JUL 15 09:35:23	2018 JUL 15 10:38:19	-	-	-	-	Same	Same	2018 JUL 15 10:35:00	-	-	-	-	3776.0	-	3577.0	-	-	-	-	-	
25	9	9	Dayside_Nadir	OFF	UVIS_3	2018 JUL 15 09:35:13	2018 JUL 15 09:35:23	2018 JUL 15 10:38:19	-	-	-	-	Same	Same	2018 JUL 15 10:35:00	-	-	-	-	3776.0	-	3577.0	-	-	-	-	-	
26	20	10	Ingress	SO_O	UVIS_O	2018 JUL 15 10:35:05	2018 JUL 15 10:45:15	2018 JUL 15 10:54:38	2018 JUL 15 10:35:15	2018 JUL 15 10:45:15	2018 JUL 15 10:52:31	2018 JUL 15 10:54:38	Same	Same	Same	Same	Same	Same	563.0	563.0	563.0	563.0	14	1410	1410	Science: orders #119, #130, #145, #171, #191, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 123 to 139)	-	
27	21	10	Egress	SO_O	UVIS_O	2018 JUL 15 11:05:33	2018 JUL 15 11:15:43	2018 JUL 15 11:24:33	2018 JUL 15 11:05:43	2018 JUL 15 11:15:43	2018 JUL 15 11:17:47	2018 JUL 15 11:24:33	Same	Same	Same	Same	Same	Same	530.0	530.0	530.0	530.0	14	1452	1453	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 123 to 139)	Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 123 to 139)	
28	10	10	Dayside_Nadir	LNO_M	UVIS_L	2018 JUL 15 11:33:03	2018 JUL 15 11:33:13	2018 JUL 15 12:36:07	2018 JUL 15 11:33:13	2018 JUL 15 11:43:13	-	2018 JUL 15 12:23:13	Same	Same	Same	2018 JUL 15 11:38:47	2018 JUL 15 11:48:47	2018 JUL 15 12:20:34	2400.0	3774.0	1907.0	3774.0	1	140	140	Diffraction order stepping (fullscan): 30 orders from 110 to 140 in steps of 1 (1 order(s) per 15 second(s))	-	
29	11	11	Dayside_Nadir	OFF	UVIS_1	2018 JUL 15 13:30:53	2018 JUL 15 13:31:03	2018 JUL 15 14:33:59	-	-	-	-	Same	Same	Same	-	-	-	-	3776.0	-	3776.0	-	-	-	-	-	
30	11	11	Dayside_Nadir	OFF	UVIS_2	2018 JUL 15 13:30:53	2018 JUL 15 13:31:03	2018 JUL 15 14:33:59	-	-	-	-	Same	Same	Same	-	-	-	-	3776.0	-	3776.0	-	-	-	-	-	
31	11	11	Dayside_Nadir	OFF	UVIS_3	2018 JUL 15 13:30:53	2018 JUL 15 13:31:03	2018 JUL 15 14:33:59	-	-	-	-	Same	Same	Same	-	-	-	-	3776.0	-	3776.0	-	-	-	-	-	
32	12	12	Dayside_Nadir	LNO_L	UVIS_L	2018 JUL 15 15:18:47	2018 JUL 15 15:18:57	2018 JUL 15 16:31:55	2018 JUL 15 15:18:57	2018 JUL 15 15:28:57	-	2018 JUL 15 16:31:55	Same	Same	2018 JUL 15 16:28:26	Same	Same	2018 JUL 15 16:28:26	3778.0	4378.0	3569.0	4169.0	1	2639	2639	Science: orders #149, #134, #168, #119, #190, #196, with 220000us integration time (6 orders per 15 second(s) for detector lines 80 to 224)	-	
33	26	13	Ingress	SO_O	UVIS_O	2018 JUL 15 16:28:31	2018 JUL 15 16:38:41	2018 JUL 15 16:47:42	2018 JUL 15 16:28:41	2018 JUL 15 16:38:41	2018 JUL 15 16:45:41	2018 JUL 15 16:47:42	Same	Same	Same	Same	Same	Same	541.0	541.0	541.0	541.0	14	1453	1452	Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 123 to 139)	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 123 to 139)	
34	27	13	Egress	SO_O	UVIS_O	2018 JUL 15 16:59:47	2018 JUL 15 17:09:57	2018 JUL 15 17:18:25	2018 JUL 15 16:59:57	2018 JUL 15 17:09:57	2018 JUL 15 17:11:55	2018 JUL 15 17:18:25	Same	Same	Same	Same	Same	Same	508.0	508.0	508.0	508.0	14	1427	1427	Science: orders #119, #140, #153, #170, #191, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 123 to 139)	-	
35	13	13	Dayside_Nadir	LNO_M	UVIS_L	2018 JUL 15 17:26:43	2018 JUL 15 17:26:53	2018 JUL 15 18:29:53	2018 JUL 15 17:26:53	2018 JUL 15 17:36:53	-	2018 JUL 15 18:16:53	Same	Same	Same	2018 JUL 15 17:32:08	2018 JUL 15 17:42:08	2018 JUL 15 18:14:39	2400.0	3780.0	1951.0	3780.0	1	1107	1107	Science: orders #134, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	-	
