Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
N/A	0	Ingress	2018 JUL 14 15:07:11	2018 JUL 14 15:18:06	2018 JUL 14 15:15:31	655.0	162.2	-73.4	2.7	
N/A	1	Egress	2018 JUL 14 15:34:17	2018 JUL 14 15:44:35	2018 JUL 14 15:36:48	618.0	-151.1	17.2	6.3	
N/A	2	Ingress	2018 JUL 14 17:05:00	2018 JUL 14 17:15:42	2018 JUL 14 17:13:11	642.0	133.9	-73.2	2.7	
N/A	3	Egress	2018 JUL 14 17:32:33	2018 JUL 14 17:42:40	2018 JUL 14 17:35:01	607.0	-179.6	18.4	6.3	
NOMAD	4	Ingress	2018 JUL 14 19:02:52	2018 JUL 14 19:13:22	2018 JUL 14 19:10:54	630.0	104.5	-73.4	2.7	
NOMAD	5	Egress	2018 JUL 14 19:30:50	2018 JUL 14 19:40:45	2018 JUL 14 19:33:13	595.0	152.0	19.7	6.3	
ACS	6	Ingress	2018 JUL 14 21:00:40	2018 JUL 14 21:11:00	2018 JUL 14 21:08:36	620.0	75.5	-73.4	2.6	
ACS	7	Egress	2018 JUL 14 21:29:00	2018 JUL 14 21:38:46	2018 JUL 14 21:31:21	586.0	123.5	20.7	6.3	
NOMAD	8	Ingress	2018 JUL 14 22:58:22	2018 JUL 14 23:08:34	2018 JUL 14 23:06:13	612.0	45.6	-73.7	2.5	
NOMAD	9	Egress	2018 JUL 14 23:27:03	2018 JUL 14 23:36:39	2018 JUL 14 23:29:20	576.0	95.0	21.6	6.3	
NOMAD	10	Ingress	2018 JUL 15 00:56:09	2018 JUL 15 01:06:13	2018 JUL 15 01:03:54	604.0	16.7	-73.7	2.5	
NOMAD	11	Egress	2018 JUL 15 01:25:05	2018 JUL 15 01:34:33	2018 JUL 15 01:27:20	568.0	66.5	22.2	6.4	
N/A	12	Ingress	2018 JUL 15 02:54:02	2018 JUL 15 03:03:55	2018 JUL 15 03:01:39	593.0	-12.8	-73.9	2.5	
N/A	13	Egress	2018 JUL 15 03:23:15	2018 JUL 15 03:32:35	2018 JUL 15 03:25:27	560.0	38.0	23.0	6.4	
ACS	14	Ingress	2018 JUL 15 04:51:53	2018 JUL 15 05:01:38	2018 JUL 15 04:59:24	585.0	-41.0	-73.7	2.5	
ACS	15	Egress	2018 JUL 15 05:21:26	2018 JUL 15 05:30:37	2018 JUL 15 05:23:35	551.0	9.5	23.9	6.4	
NOMAD	16	Ingress	2018 JUL 15 06:49:41	2018 JUL 15 06:59:18	2018 JUL 15 06:57:07	577.0	-70.2	-73.8	2.5	
NOMAD	17	Egress	2018 JUL 15 07:19:35	2018 JUL 15 07:28:38	2018 JUL 15 07:21:42	543.0	-19.0	24.8	6.4	
ACS	18	Ingress	2018 JUL 15 08:47:28	2018 JUL 15 08:56:58	2018 JUL 15 08:54:49	570.0	-100.6	-74.2	2.4	
ACS	19	Egress	2018 JUL 15 09:17:40	2018 JUL 15 09:26:36	2018 JUL 15 09:19:46	536.0	-47.5	25.6	6.4	
