TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2025 JUN 07 21:57:00,4,4
2025 JUN 08 05:48:00,8,8
2025 JUN 09 19:12:00,27,27
2025 JUN 10 01:06:00,30,30
2025 JUN 11 08:33:00,46,46
2025 JUN 11 14:27:00,49,49
2025 JUN 13 03:48:00,68,68
2025 JUN 14 17:09:00,87,87
2025 JUN 16 06:30:00,106,106
2025 JUN 23 17:21:00,197,197
2025 JUN 23 23:15:00,200,200
2025 JUN 25 12:36:00,219,219
2025 JUN 25 18:30:00,222,222
2025 JUN 27 09:48:00,242,242
2025 JUN 27 15:42:00,245,245
