MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2024 NOV 24 06:54:00,-60.7062,-162.599,251.1286,14.8592,71.5312,9.6733e-15,71.5312,2024 NOV 24 06:36:00,-59.3071,-157.8027,379.7205,14.8867,70.7141,0.45391,70.6581
2024 NOV 24 10:39:00,-58.759,142.3147,250.822,14.8372,70.0954,3.1964e-14,70.0954,2024 NOV 24 10:33:00,-56.1073,146.9272,379.9108,15.0472,69.5712,0.47706,69.517
2024 NOV 24 14:24:00,-56.4298,87.366,250.4587,14.8244,68.4466,7.6607e-14,68.4466,2024 NOV 24 14:30:00,-53.0713,91.6828,378.986,15.2094,68.8052,1.962,66.875
2024 NOV 26 07:33:00,-51.4191,-154.2099,251.4289,14.7775,65.0451,4.0731e-14,65.0451,2024 NOV 26 07:48:00,-47.0835,-153.0223,380.275,15.1,64.6854,0.77293,65.3411
2024 NOV 27 11:36:00,-49.8261,156.0825,250.799,14.7694,64.124,5.1383e-14,64.124,2024 NOV 27 11:18:00,-49.2535,160.7534,379.7757,14.7889,63.8749,0.48958,63.7985
2024 NOV 27 15:21:00,-47.6957,101.2413,251.4909,14.7639,62.681,4.5427e-14,62.681,2024 NOV 27 15:15:00,-46.0541,104.3492,378.808,14.8736,62.4555,1.0324,63.3428
2024 NOV 27 19:06:00,-45.127,46.2242,251.5351,14.7467,60.8729,8.1026e-14,60.8729,2024 NOV 27 19:12:00,-42.2293,47.4499,377.9921,14.9256,60.5349,6.2598,66.3475
2024 NOV 27 22:51:00,-43.1449,-8.7603,253.534,14.7314,59.4804,4.5043e-14,59.4804,2024 NOV 27 23:09:00,-38.9993,-8.4601,380.9319,15.0436,59.7516,0.51101,59.7131
2024 NOV 28 21:15:00,-48.9756,24.8157,252.3169,14.7756,63.8484,1.5581e-14,63.8484,2024 NOV 28 20:42:00,-50.4879,28.3347,378.1079,14.4747,62.8562,0.43707,62.45
2024 NOV 28 23:09:00,-43.1548,-3.5021,253.4802,14.7372,59.7093,4.9707e-14,59.7093,2024 NOV 27 23:09:00,-38.9993,-8.4601,380.9319,15.0436,59.7516,0.51101,59.7131
2024 NOV 29 02:54:00,-41.1188,-58.3962,251.7182,14.7283,58.3431,3.1325e-14,58.3431,2024 NOV 29 02:39:00,-41.2235,-54.393,380.5214,14.7517,58.6116,0.24638,58.6899
2024 NOV 29 06:39:00,-38.6409,-113.2834,251.8179,14.7197,56.7203,1.9083e-14,56.7203,2024 NOV 29 06:36:00,-37.68,-110.949,379.2176,14.8267,57.1233,0.50069,57.0752
2024 NOV 29 10:24:00,-36.3262,-168.29,252.9947,14.7031,55.1535,1.4575e-14,55.1535,2024 NOV 29 10:33:00,-33.8032,-168.5409,381.4731,14.8322,54.9366,7.2282,61.6894
