THERMAL ORBIT NUMBER WITH LNO MEASURING H2O IN IRDAYSIDE, OBSERVATION NAME, DIFFRACTION ORDER MEASURED
5, H2O CO 3SUBD #2, 168
20, H2O 2SUBD 01, 167
71, H2O CO 2SUBD #2, 169
86, H2O CO 3SUBD #2, 168
116, H2O 3SUBD #1, 167
223, CO H2O 3SUBD #3, 167
229, H2O CO 2SUBD #1, 168
235, H2O 3SUBD #1, 167
242, H2O CO 2SUBD #3, 169
251, H2O CO 2SUBD #1, 168
271, H2O 3SUBD #1, 167
289, H2O CO 2SUBD #1, 168
309, H2O CO 3SUBD #3 136, 167
315, H2O 3SUBD #1 136, 167
323, H2O 3SUBD #1 136, 167
331, H2O 3SUBD #1, 167
337, CO H2O 3SUBD #4, 169
