Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	28	Nightside	2020 MAY 16 14:35:17	2020 MAY 16 15:04:50	2020 MAY 16 15:34:22	3544.62	53.89	91.95	-140.50	-67.01	17.45	66.97	156.79	22.52	3	-	-	-		
1	28	Dayside	2020 MAY 16 15:34:22	2020 MAY 16 16:03:46	2020 MAY 16 16:33:10	3528.26	-140.50	-102.94	25.17	66.97	-16.02	-66.93	23.31	10.48	3	CH4 H2O 2SUBD 01	Science: orders #134, #168, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0	&daysideMatch:CLARITAS RISE; 	
2	28	Nightside	2020 MAY 16 16:33:10	2020 MAY 16 17:02:43	2020 MAY 16 17:32:16	3545.87	25.17	63.06	-169.25	-66.93	17.59	66.88	156.56	22.50	1	-	-	-		
2	28	Dayside	2020 MAY 16 17:32:16	2020 MAY 16 18:01:41	2020 MAY 16 18:31:06	3529.53	-169.25	-131.83	-3.64	66.88	-16.14	-66.79	23.52	10.46	1	-		COP row 72: NADIR: Full Frame (57:240;0:1047),Tint = 10000 ms,16 bit,Rhythm = 11964 ms, Binning=0		
3	28	Nightside	2020 MAY 16 18:31:06	2020 MAY 16 19:00:40	2020 MAY 16 19:30:13	3547.71	-3.64	34.17	161.93	-66.79	17.71	66.72	156.35	22.49	14	-	-	-		
3	28	Dayside	2020 MAY 16 19:30:13	2020 MAY 16 19:59:39	2020 MAY 16 20:29:04	3531.07	161.93	-160.75	-32.43	66.72	-16.30	-66.66	23.75	10.45	14	-		COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0		
4	28	Nightside	2020 MAY 16 20:29:04	2020 MAY 16 20:58:39	2020 MAY 16 21:28:13	3548.49	-32.43	5.23	133.13	-66.66	17.81	66.59	156.12	22.47	1	-	-	-		
4	28	Dayside	2020 MAY 16 21:28:13	2020 MAY 16 21:57:38	2020 MAY 16 22:27:04	3530.72	133.13	170.31	-61.20	66.59	-16.46	-66.56	24.01	10.44	1	CH4 2SUBD 03	Science: orders #136, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 79: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 21964 ms, Binning=0		
5	28	Nightside	2020 MAY 16 22:27:04	2020 MAY 16 22:56:38	2020 MAY 16 23:26:13	3548.95	-61.20	-23.72	104.38	-66.56	17.93	66.51	155.86	22.46	14	-	-	-		
5	28	Dayside	2020 MAY 16 23:26:13	2020 MAY 16 23:55:37	2020 MAY 17 00:25:02	3528.98	104.38	141.35	-89.93	66.51	-16.57	-66.48	24.26	10.42	14	-		COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0	&daysideMatch:INSIGHT; &daysideMatch:CURIOSITY; 	
6	28	Nightside	2020 MAY 17 00:25:02	2020 MAY 17 00:54:36	2020 MAY 17 01:24:10	3548.72	-89.93	-52.68	75.67	-66.48	18.07	66.46	155.59	22.44	1	-	-	-		
6	28	Dayside	2020 MAY 17 01:24:10	2020 MAY 17 01:53:34	2020 MAY 17 02:22:58	3527.22	75.67	112.41	-118.64	66.46	-16.65	-66.42	24.51	10.40	1	CH4 H2O 2SUBD 01	Science: orders #134, #168, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 72: NADIR: Full Frame (57:240;0:1047),Tint = 10000 ms,16 bit,Rhythm = 11964 ms, Binning=0		
7	28	Nightside	2020 MAY 17 02:22:58	2020 MAY 17 02:52:31	2020 MAY 17 03:22:05	3547.75	-118.64	-81.61	46.98	-66.42	18.19	66.41	155.35	22.42	1	-	-	-		
7	28	Dayside	2020 MAY 17 03:22:05	2020 MAY 17 03:51:28	2020 MAY 17 04:20:52	3526.34	46.98	83.49	-147.34	66.41	-16.76	-66.36	24.75	10.39	1	Surface 3SUBD 02	Science: orders #191, #194, #196, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0	&daysideMatch:NILI FOSSAE; 	
8	28	Nightside	2020 MAY 17 04:20:52	2020 MAY 17 04:50:25	2020 MAY 17 05:19:59	3547.37	-147.34	-110.52	18.23	-66.36	18.28	66.31	155.12	22.41	17	-	-	COP row 79: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 21964 ms, Binning=0		
8	28	Dayside	2020 MAY 17 05:19:59	2020 MAY 17 05:49:22	2020 MAY 17 06:18:46	3527.04	18.23	54.60	-176.11	66.31	-16.93	-66.25	24.97	10.37	17	-		COP row -1: UVIS off		
9	28	Nightside	2020 MAY 17 06:18:46	2020 MAY 17 06:48:21	2020 MAY 17 07:17:56	3549.64	-176.11	-139.42	-10.58	-66.25	18.40	66.15	154.91	22.39	1	-	-	-		
9	28	Dayside	2020 MAY 17 07:17:56	2020 MAY 17 07:47:20	2020 MAY 17 08:16:44	3528.41	-10.58	25.70	155.06	66.15	-17.07	-66.08	25.19	10.36	1	-		COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0		
10	28	Nightside	2020 MAY 17 08:16:44	2020 MAY 17 08:46:19	2020 MAY 17 09:15:55	3550.67	155.06	-168.34	-39.38	-66.08	18.56	66.02	154.67	22.38	14	-	-	-		
10	28	Dayside	2020 MAY 17 09:15:55	2020 MAY 17 09:45:20	2020 MAY 17 10:14:45	3529.78	-39.38	-3.25	126.26	66.02	-17.18	-65.96	25.43	10.34	14	-		COP row 79: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 21964 ms, Binning=0		
11	28	Nightside	2020 MAY 17 10:14:45	2020 MAY 17 10:44:19	2020 MAY 17 11:13:54	3549.58	126.26	162.72	-68.14	-65.96	18.71	65.92	154.42	22.36	1	-	-	-		
11	28	Dayside	2020 MAY 17 11:13:54	2020 MAY 17 11:43:19	2020 MAY 17 12:12:45	3530.69	-68.14	-32.21	97.52	65.92	-17.30	-65.88	25.69	10.33	1	-		COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0		
12	28	Nightside	2020 MAY 17 12:12:45	2020 MAY 17 12:42:18	2020 MAY 17 13:11:52	3547.43	97.52	133.77	-96.87	-65.88	18.82	65.85	154.17	22.35	3	-	-	-		
12	28	Dayside	2020 MAY 17 13:11:52	2020 MAY 17 13:41:17	2020 MAY 17 14:10:42	3530.03	-96.87	-61.16	68.82	65.85	-17.42	-65.83	25.95	10.31	3	CH4 2SUBD 03	Science: orders #136, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 72: NADIR: Full Frame (57:240;0:1047),Tint = 10000 ms,16 bit,Rhythm = 11964 ms, Binning=0	&daysideMatch:COPRATES RISE; 	
13	28	Nightside	2020 MAY 17 14:10:42	2020 MAY 17 14:40:15	2020 MAY 17 15:09:48	3545.92	68.82	104.82	-125.57	-65.83	18.92	65.79	153.92	22.33	14	-	-	-		
13	28	Dayside	2020 MAY 17 15:09:48	2020 MAY 17 15:39:12	2020 MAY 17 16:08:36	3528.13	-125.57	-90.08	40.12	65.79	-17.53	-65.77	26.19	10.29	14	-		COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0		
14	28	Nightside	2020 MAY 17 16:08:36	2020 MAY 17 16:38:09	2020 MAY 17 17:07:43	3546.28	40.12	75.91	-154.29	-65.77	19.05	65.72	153.68	22.32	1	-	-	-		
14	28	Dayside	2020 MAY 17 17:07:43	2020 MAY 17 17:37:07	2020 MAY 17 18:06:31	3527.94	-154.29	-118.98	11.34	65.72	-17.64	-65.64	26.41	10.28	1	H2O CO 2SUBD 01	Science: orders #168, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 72: NADIR: Full Frame (57:240;0:1047),Tint = 10000 ms,16 bit,Rhythm = 11964 ms, Binning=0		
15	28	Nightside	2020 MAY 17 18:06:31	2020 MAY 17 18:36:04	2020 MAY 17 19:05:38	3547.85	11.34	47.03	176.91	-65.64	19.21	65.57	153.47	22.30	1	-	-	-		
15	28	Dayside	2020 MAY 17 19:05:38	2020 MAY 17 19:35:03	2020 MAY 17 20:04:29	3530.24	176.91	-147.88	-17.47	65.57	-17.80	-65.49	26.63	10.27	1	-		COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0		
16	28	Nightside	2020 MAY 17 20:04:29	2020 MAY 17 20:34:03	2020 MAY 17 21:03:37	3548.86	-17.47	18.11	148.09	-65.49	19.32	65.42	153.25	22.29	14	-	-	-		
16	28	Dayside	2020 MAY 17 21:03:37	2020 MAY 17 21:33:03	2020 MAY 17 22:02:28	3530.67	148.09	-176.81	-46.25	65.42	-17.97	-65.37	26.87	10.25	14	-		COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0		
17	28	Nightside	2020 MAY 17 22:02:28	2020 MAY 17 22:32:03	2020 MAY 17 23:01:37	3549.36	-46.25	-10.84	119.31	-65.37	19.43	65.30	153.01	22.27	1	-	-	-		
17	28	Dayside	2020 MAY 17 23:01:37	2020 MAY 17 23:31:02	2020 MAY 18 00:00:27	3529.33	119.31	154.24	-75.01	65.30	-18.11	-65.27	27.12	10.23	1	CH4 H2O 2SUBD 01	Science: orders #134, #168, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 72: NADIR: Full Frame (57:240;0:1047),Tint = 10000 ms,16 bit,Rhythm = 11964 ms, Binning=0	&daysideMatch:AEOLIS MENSAE MFF; 	
18	28	Nightside	2020 MAY 18 00:00:27	2020 MAY 18 00:30:02	2020 MAY 18 00:59:36	3549.63	-75.01	-39.79	90.58	-65.27	19.58	65.23	152.74	22.26	14	-	-	-		
18	28	Dayside	2020 MAY 18 00:59:36	2020 MAY 18 01:29:00	2020 MAY 18 01:58:24	3527.20	90.58	125.29	-103.73	65.23	-18.20	-65.20	27.38	10.22	14	-		COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0		
19	28	Nightside	2020 MAY 18 01:58:24	2020 MAY 18 02:27:58	2020 MAY 18 02:57:33	3549.06	-103.73	-68.74	61.88	-65.20	19.72	65.18	152.48	22.24	1	-	-	-		
19	28	Dayside	2020 MAY 18 02:57:33	2020 MAY 18 03:26:56	2020 MAY 18 03:56:19	3525.91	61.88	96.35	-132.44	65.18	-18.30	-65.13	27.62	10.20	1	-		COP row 79: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 21964 ms, Binning=0		
20	28	Nightside	2020 MAY 18 03:56:19	2020 MAY 18 04:25:53	2020 MAY 18 04:55:26	3547.85	-132.44	-97.65	33.16	-65.13	19.83	65.10	152.25	22.22	17	-	-	COP row 79: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 21964 ms, Binning=0		
20	28	Dayside	2020 MAY 18 04:55:26	2020 MAY 18 05:24:49	2020 MAY 18 05:54:12	3525.87	33.16	67.46	-161.17	65.10	-18.45	-65.04	27.84	10.19	17	-		COP row -1: UVIS off		
21	28	Nightside	2020 MAY 18 05:54:12	2020 MAY 18 06:23:47	2020 MAY 18 06:53:22	3549.49	-161.17	-126.54	4.36	-65.04	19.94	64.95	152.04	22.21	1	-	-	-		
21	28	Dayside	2020 MAY 18 06:53:22	2020 MAY 18 07:22:45	2020 MAY 18 07:52:09	3526.90	4.36	38.57	170.02	64.95	-18.61	-64.88	28.06	10.17	1	H2O 2SUBD 01	Science: orders #167, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 72: NADIR: Full Frame (57:240;0:1047),Tint = 10000 ms,16 bit,Rhythm = 11964 ms, Binning=0		
22	28	Nightside	2020 MAY 18 07:52:09	2020 MAY 18 08:21:44	2020 MAY 18 08:51:20	3551.47	170.02	-155.45	-24.45	-64.88	20.10	64.79	151.81	22.20	1	-	-	-		
22	28	Dayside	2020 MAY 18 08:51:20	2020 MAY 18 09:20:44	2020 MAY 18 09:50:08	3528.27	-24.45	9.64	141.20	64.79	-18.73	-64.72	28.29	10.16	1	-		COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0		
23	28	Nightside	2020 MAY 18 09:50:08	2020 MAY 18 10:19:44	2020 MAY 18 10:49:20	3551.10	141.20	175.63	-53.23	-64.72	20.28	64.67	151.57	22.18	14	-	-	-		
23	28	Dayside	2020 MAY 18 10:49:20	2020 MAY 18 11:18:44	2020 MAY 18 11:48:09	3529.40	-53.23	-19.30	112.42	64.67	-18.86	-64.61	28.53	10.14	14	-		COP row 72: NADIR: Full Frame (57:240;0:1047),Tint = 10000 ms,16 bit,Rhythm = 11964 ms, Binning=0		
24	28	Nightside	2020 MAY 18 11:48:09	2020 MAY 18 12:17:44	2020 MAY 18 12:47:18	3549.19	112.42	146.68	-81.98	-64.61	20.41	64.58	151.33	22.17	1	-	-	-		
24	28	Dayside	2020 MAY 18 12:47:18	2020 MAY 18 13:16:43	2020 MAY 18 13:46:08	3529.45	-81.98	-48.26	83.70	64.58	-18.99	-64.54	28.79	10.13	1	CH4 2SUBD 02	Science: orders #134, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0		
25	28	Nightside	2020 MAY 18 13:46:08	2020 MAY 18 14:15:41	2020 MAY 18 14:45:15	3547.20	83.70	117.73	-110.69	-64.54	20.51	64.51	151.08	22.15	14	-	-	-		
25	28	Dayside	2020 MAY 18 14:45:15	2020 MAY 18 15:14:39	2020 MAY 18 15:44:03	3527.94	-110.69	-77.19	55.00	64.51	-19.12	-64.49	29.04	10.11	14	-		COP row 79: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 21964 ms, Binning=0		
