THERMAL ORBIT NUMBER WITH LNO MEASURING H2O IN IRDAYSIDE, OBSERVATION NAME, DIFFRACTION ORDER MEASURED
1, H2O 2SUBD 01, 167
2, HDO H2O 2SUBD 01, 169
4, HDO CO 3SUBD 01, 167
6, AER H2Oi 3SUBD 01, 169
9, CH4 3SUBD 01, 168
11, CO 2SUBD 02, 167
13, Nominal 6SUBD 01, 168
17, CO 2SUBD 02, 167
18, HDO H2O 2SUBD 01, 169
20, H2O 2SUBD 01, 167
22, HDO H2O 2SUBD 01, 169
24, HDO CO 3SUBD 01, 167
27, AER H2Oi 3SUBD 01, 169
31, CH4 3SUBD 01, 168
32, CO 2SUBD 02, 167
34, Nominal 6SUBD 01, 168
36, CO 2SUBD 02, 167
38, HDO H2O 2SUBD 01, 169
40, H2O 2SUBD 01, 167
41, HDO H2O 2SUBD 01, 169
43, HDO CO 3SUBD 01, 167
44, AER H2Oi 3SUBD 01, 169
48, CH4 3SUBD 01, 168
50, CO 2SUBD 02, 167
52, Nominal 6SUBD 01, 168
55, CO 2SUBD 02, 167
56, HDO H2O 2SUBD 01, 169
57, H2O 2SUBD 01, 167
59, HDO H2O 2SUBD 01, 169
60, HDO CO 3SUBD 01, 167
62, AER H2Oi 3SUBD 01, 169
65, CH4 3SUBD 01, 168
66, CO 2SUBD 02, 167
68, Nominal 6SUBD 01, 168
71, CO 2SUBD 02, 167
73, HDO H2O 2SUBD 01, 169
74, H2O 2SUBD 01, 167
76, HDO H2O 2SUBD 01, 169
78, HDO CO 3SUBD 01, 167
80, AER H2Oi 3SUBD 01, 169
83, CH4 3SUBD 01, 168
85, CO 2SUBD 02, 167
87, Nominal 6SUBD 01, 168
91, CO 2SUBD 02, 167
94, HDO H2O 2SUBD 01, 169
96, H2O 2SUBD 01, 167
98, HDO H2O 2SUBD 01, 169
99, HDO CO 3SUBD 01, 167
101, AER H2Oi 3SUBD 01, 169
104, CH4 3SUBD 01, 168
106, CO 2SUBD 02, 167
108, Nominal 6SUBD 01, 168
112, CO 2SUBD 02, 167
114, HDO H2O 2SUBD 01, 169
116, H2O 2SUBD 01, 167
120, HDO H2O 2SUBD 01, 169
121, HDO CO 3SUBD 01, 167
123, AER H2Oi 3SUBD 01, 169
127, CH4 3SUBD 01, 168
129, CO 2SUBD 02, 167
130, Nominal 6SUBD 01, 168
134, CO 2SUBD 02, 167
136, HDO H2O 2SUBD 01, 169
138, H2O 2SUBD 01, 167
139, HDO H2O 2SUBD 01, 169
141, HDO CO 3SUBD 01, 167
143, AER H2Oi 3SUBD 01, 169
146, CH4 3SUBD 01, 168
147, CO 2SUBD 02, 167
148, Nominal 6SUBD 01, 168
