TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
-1,-1,-1,-1,-1,1,dayside,2022 FEB 19 16:49:05,LNO OFF
0,1,3548,3548,1,2,dayside,2022 FEB 19 18:47:08,LNO ON
-1,-1,-1,-1,-1,3,dayside,2022 FEB 19 20:45:14,LNO OFF
0,1,3118,3118,1,4,dayside,2022 FEB 19 22:43:22,LNO ON
-1,-1,-1,-1,-1,5,dayside,2022 FEB 20 00:41:32,LNO OFF
-1,-1,-1,-1,-1,6,dayside,2022 FEB 20 02:39:40,LNO OFF
-1,-1,-1,-1,-1,7,dayside,2022 FEB 20 04:37:45,LNO OFF
0,1,2998,2998,1,8,dayside,2022 FEB 20 06:35:46,LNO ON
-1,-1,-1,-1,-1,9,dayside,2022 FEB 20 08:33:51,LNO OFF
-1,-1,-1,-1,-1,10,dayside,2022 FEB 20 10:31:59,LNO OFF
-1,-1,-1,-1,-1,11,dayside,2022 FEB 20 12:30:08,LNO OFF
0,1,1644,1644,1,12,limb,2022 FEB 20 14:28:15,LNO ON
-1,-1,-1,-1,-1,13,dayside,2022 FEB 20 16:26:19,LNO OFF
-1,-1,-1,-1,-1,14,dayside,2022 FEB 20 18:24:20,LNO OFF
-1,-1,-1,-1,-1,15,dayside,2022 FEB 20 20:22:23,LNO OFF
-1,-1,-1,-1,-1,16,dayside,2022 FEB 20 22:20:28,LNO OFF
0,1,1316,1316,1,17,dayside,2022 FEB 21 00:18:36,LNO ON
-1,-1,-1,-1,-1,18,dayside,2022 FEB 21 02:16:43,ALL OFF
-1,-1,-1,-1,-1,19,dayside,2022 FEB 21 04:14:48,LNO OFF
-1,-1,-1,-1,-1,20,dayside,2022 FEB 21 06:12:49,LNO OFF
-1,-1,-1,-1,-1,21,dayside,2022 FEB 21 08:10:49,LNO OFF
0,1,1324,1324,1,22,dayside,2022 FEB 21 10:08:53,LNO ON
-1,-1,-1,-1,-1,23,dayside,2022 FEB 21 12:07:01,LNO OFF
-1,-1,-1,-1,-1,24,dayside,2022 FEB 21 14:05:08,ALL OFF
-1,-1,-1,-1,-1,25,dayside,2022 FEB 21 16:03:11,LNO OFF
0,1,3784,3784,1,26,dayside,2022 FEB 21 18:01:12,LNO ON
-1,-1,-1,-1,-1,27,dayside,2022 FEB 21 19:59:11,LNO OFF
-1,-1,-1,-1,-1,28,dayside,2022 FEB 21 21:57:14,LNO OFF
-1,-1,-1,-1,-1,29,dayside,2022 FEB 21 23:55:19,LNO OFF
-1,-1,-1,-1,-1,30,dayside,2022 FEB 22 01:53:25,LNO OFF
-1,-1,-1,-1,-1,31,dayside,2022 FEB 22 03:51:29,LNO OFF
