S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2025 JAN 18 13:51:00,71.5272,-107.2548,313.7632,14.3164,62.2802,2.2093e-14,62.2802
TGO,2025 JAN 18 13:57:00,72.3369,-109.9575,433.0212,14.2336,62.676,0.12075,62.6708

MRO,2025 JAN 21 16:39:00,70.0256,-118.4915,314.1278,14.3844,60.8366,1.834e-14,60.8366
TGO,2025 JAN 21 16:39:00,69.1623,-119.6755,431.1691,14.3056,59.919,1.8151,61.7293

MRO,2025 JAN 24 17:33:00,62.7772,-100.5941,310.0489,14.5447,55.7936,7.1119e-15,55.7936
TGO,2025 JAN 24 17:24:00,63.362,-99.4494,429.3023,14.475,55.8639,1.861,57.6944

MRO,2025 JAN 24 23:09:00,60.9516,178.2342,311.1536,14.585,54.7333,1.1472e-14,54.7333
TGO,2025 JAN 24 23:18:00,62.5619,175.4078,429.6591,14.5425,55.5981,0.29639,55.3143

MRO,2025 JAN 26 08:48:00,58.5421,47.3193,309.0382,14.615,53.1227,2.736e-14,53.1227
TGO,2025 JAN 26 08:45:00,55.9093,50.0776,424.3358,14.7503,52.3626,0.038457,52.3273

MRO,2025 JAN 26 12:33:00,60.2552,-7.5356,310.2445,14.6086,54.1696,4.565e-14,54.1696
TGO,2025 JAN 26 12:39:00,60.6351,-12.251,428.4517,14.3917,53.262,0.063349,53.2084

MRO,2025 JAN 26 14:24:00,56.2996,-33.9031,307.5309,14.6517,51.9115,6.265e-14,51.9115
TGO,2025 JAN 26 14:39:00,55.1145,-36.3963,426.6983,14.7289,51.7154,0.36854,52.0678

MRO,2025 JAN 27 20:18:00,51.8169,-109.9872,304.5321,14.6867,49.3412,7.7794e-14,49.3412
TGO,2025 JAN 27 20:09:00,51.3473,-108.0135,422.5549,14.6722,48.9674,1.3208,50.2594

MRO,2025 JAN 27 22:09:00,48.1106,-136.5202,302.0909,14.7189,47.5875,7.4319e-14,47.5875
TGO,2025 JAN 27 22:09:00,45.2896,-134.2184,419.1488,14.8722,47.6049,3.8682,51.4325

MRO,2025 JAN 28 01:54:00,49.8241,168.6213,305.4665,14.7122,48.4133,3.2161e-14,48.4133
TGO,2025 JAN 28 02:03:00,50.5503,166.2657,422.6371,14.7011,48.7174,2.5121,46.3601

MRO,2025 JAN 28 03:45:00,45.87,142.0052,302.4386,14.7386,46.6118,2.2264e-14,46.6118
TGO,2025 JAN 28 04:03:00,44.6064,139.2606,418.8252,14.8478,47.0399,3.1362,50.1532

MRO,2025 JAN 29 07:48:00,45.3529,92.4807,299.272,14.7433,46.2614,5.4038e-14,46.2614
TGO,2025 JAN 29 07:33:00,46.7613,93.5875,419.8434,14.5736,45.4557,1.077,46.4981

MRO,2025 JAN 29 09:39:00,41.7166,65.7761,297.0141,14.7639,44.8254,7.3635e-14,44.8254
TGO,2025 JAN 29 09:33:00,40.8079,67.6906,415.0125,14.7942,44.7637,2.2549,42.5454

MRO,2025 JAN 29 11:30:00,38.0458,39.1049,295.8525,14.7867,43.628,5.4813e-14,43.628
TGO,2025 JAN 29 11:33:00,34.5491,40.4405,410.1934,14.9244,44.0987,0.093713,44.1626

MRO,2025 JAN 29 13:24:00,43.6406,10.9784,299.7189,14.7614,45.615,6.5665e-14,45.615
TGO,2025 JAN 29 13:27:00,45.8087,7.8363,418.855,14.6006,45.1618,2.6831,42.5792

MRO,2025 JAN 29 15:15:00,39.6734,-15.6843,296.0968,14.7847,44.1939,2.4688e-14,44.1939
TGO,2025 JAN 29 15:27:00,39.8147,-19.3732,416.5098,14.7333,43.7068,1.204,44.9104

MRO,2025 JAN 29 17:06:00,35.7334,-42.4335,292.9508,14.8025,42.9991,5.8647e-14,42.9991
TGO,2025 JAN 29 17:27:00,33.9915,-46.0463,412.9721,14.9022,43.6618,1.7885,41.8833

MRO,2025 JAN 30 19:12:00,20.2014,-62.5605,280.956,14.8686,41.2216,3.8167e-14,41.2216
TGO,2025 JAN 30 19:03:00,24.4616,-60.8026,406.427,14.8397,41.0351,6.3264,47.2918

MRO,2025 JAN 30 21:06:00,25.9936,-90.648,285.1385,14.8456,41.2777,1.3114e-14,41.2777
TGO,2025 JAN 30 21:00:00,27.1402,-89.9572,407.344,14.7944,40.758,3.2421,43.9757

MRO,2025 JAN 30 22:57:00,22.2923,-117.4392,282.2663,14.8606,41.1579,2.249e-14,41.1579
TGO,2025 JAN 30 23:00:00,20.9995,-117.1291,402.8554,14.9297,42.0828,0.14616,42.2287

MRO,2025 JAN 31 00:48:00,18.5409,-144.2294,280.4003,14.8753,41.3322,3.4841e-14,41.3322
TGO,2025 JAN 31 00:57:00,23.4833,-146.9982,404.9908,14.8369,40.9009,3.6208,44.4982

MRO,2025 JAN 31 00:51:00,28.0783,-145.4859,287.3251,14.8403,41.4994,3.0005e-14,41.4994
TGO,2025 JAN 31 00:57:00,23.4833,-146.9982,404.9908,14.8369,40.9009,3.6208,44.4982

MRO,2025 JAN 31 02:39:00,14.658,-171.0372,278.2776,14.8892,41.7986,2.0917e-14,41.7986
TGO,2025 JAN 31 02:57:00,17.4298,-174.2966,401.0803,14.9639,42.6393,0.073295,42.6175

