S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2025 JUL 09 21:00:00,72.9693,-158.2802,312.757,4.0722,75.009,3.7261e-14,75.009
TGO,2025 JUL 09 20:33:00,73.321,-154.9083,431.9536,3.8592,75.5531,0.46612,75.8137

MRO,2025 JUL 13 11:03:00,69.5333,23.9407,313.4236,3.9756,77.5767,2.7035e-14,77.5767
TGO,2025 JUL 13 11:03:00,69.327,26.4733,430.6519,4.1444,76.9706,0.50374,77.2436

MRO,2025 JUL 15 00:27:00,70.1339,-161.8219,312.5517,3.9942,77.2614,9.031e-15,77.2614
TGO,2025 JUL 15 00:24:00,67.52,-159.1858,430.7482,4.1214,78.1861,0.51925,78.4698

MRO,2025 JUL 16 15:45:00,65.3589,-17.1359,313.4178,3.8919,80.6632,4.0482e-14,80.6632
TGO,2025 JUL 16 15:42:00,67.7238,-18.5891,431.0928,3.7464,79.8804,0.51666,80.1792

MRO,2025 JUL 17 01:06:00,65.3745,-153.5794,312.3211,3.8964,80.6603,2.6847e-14,80.6603
TGO,2025 JUL 17 01:33:00,64.2464,-156.9592,429.584,4.1092,80.2384,0.54484,80.5388

MRO,2025 JUL 18 08:54:00,64.6685,102.1378,312.352,3.8964,81.1859,2.5655e-14,81.1859
TGO,2025 JUL 18 09:00:00,63.3872,102.0906,429.01,3.9906,81.4635,3.8576,85.3182

MRO,2025 JUL 19 20:27:00,61.566,-57.6178,309.4179,3.8481,83.4515,1.7992e-14,83.4515
TGO,2025 JUL 19 20:24:00,58.7759,-54.7284,428.2318,3.9919,84.3047,0.52512,84.3298

MRO,2025 JUL 22 23:18:00,53.349,-71.6777,305.5562,3.7647,89.3714,5.1383e-14,89.3714
TGO,2025 JUL 22 23:06:00,54.7323,-70.8651,425.6762,3.6242,89.405,0.59719,89.765

MRO,2025 JUL 23 05:51:00,-51.1236,12.3663,251.7291,15.7431,89.0339,8.7045e-14,89.0339
TGO,2025 JUL 23 06:00:00,-49.8241,10.7113,379.894,15.7786,88.4629,1.9234,90.2104

MRO,2025 JUL 23 09:36:00,-49.5433,-42.5558,250.8344,15.7317,87.9234,2.3372e-14,87.9234
TGO,2025 JUL 23 09:57:00,-46.7151,-45.3413,381.3114,15.8867,87.3321,0.50411,87.2705

MRO,2025 JUL 24 11:48:00,-46.2471,-65.3404,250.306,15.7139,85.5855,6.2082e-14,85.5855
TGO,2025 JUL 24 11:30:00,-46.1206,-61.2219,380.5205,15.6967,85.3674,0.49802,85.2962

MRO,2025 JUL 24 15:33:00,-44.0851,-120.235,250.9365,15.7044,84.1037,2.8625e-14,84.1037
TGO,2025 JUL 24 15:27:00,-42.5485,-117.4845,379.2599,15.7903,83.8449,0.50144,83.78

MRO,2025 JUL 24 19:18:00,-42.1942,-175.2527,251.6122,15.6867,82.7249,1.1262e-13,82.7249
TGO,2025 JUL 24 19:24:00,-38.9156,-174.0748,381.6333,15.8625,82.208,0.49982,82.1523

MRO,2025 JUL 26 05:00:00,-34.6916,52.2999,252.068,15.6581,77.5602,8.3182e-14,77.5602
TGO,2025 JUL 26 04:51:00,-31.5083,56.6937,379.4961,15.805,77.0218,3.1636,74.056

MRO,2025 JUL 26 06:51:00,-38.6099,25.5382,252.8857,15.6747,80.211,3.4986e-14,80.211
TGO,2025 JUL 26 06:45:00,-42.7959,23.6832,379.2468,15.4536,81.0934,0.49002,81.012

MRO,2025 JUL 26 10:36:00,-37.01,-29.3451,253.193,15.6658,79.095,5.0988e-14,79.095
TGO,2025 JUL 26 10:42:00,-39.5357,-33.0459,381.4099,15.5164,79.4125,0.48964,79.3394

MRO,2025 JUL 27 18:27:00,-25.4766,-135.0194,254.8456,15.6217,71.3191,2.4841e-14,71.3191
TGO,2025 JUL 27 18:12:00,-29.0122,-133.5081,381.759,15.4792,72.065,5.7216,77.1108

MRO,2025 JUL 27 20:18:00,-29.4006,-161.8424,254.1023,15.6342,73.8763,4.7282e-14,73.8763
TGO,2025 JUL 27 20:09:00,-31.877,-161.8554,382.1727,15.4872,73.9979,5.5067,69.0803

MRO,2025 JUL 27 22:12:00,-23.7452,170.0781,255.2993,15.6114,70.1414,1.1468e-14,70.1414
TGO,2025 JUL 27 22:09:00,-25.6899,170.2389,382.7393,15.5736,70.9282,1.8794,69.185

MRO,2025 JUL 28 01:57:00,-22.1141,115.2917,255.5376,15.6092,69.1182,4.498e-15,69.1182
TGO,2025 JUL 28 02:06:00,-22.4203,112.8465,381.8049,15.5922,69.1139,0.42699,69.1178

MRO,2025 JUL 28 05:42:00,-19.9448,60.4543,255.7175,15.6033,67.7473,3.1964e-14,67.7473
TGO,2025 JUL 28 06:03:00,-18.6739,56.0561,382.2708,15.6508,67.5455,2.0749,65.6065

