Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Ingress solar occultation observation number,Merged Occultation (YES = 1; NO = 0),Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),SO start time (UTC),SO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),Limb Height 250 km (UTC),Latitude probed @ limb height 250 km (deg),Longitude probed @ limb height 250 km (deg),Limb Height 0 km (UTC),Latitude probed @ limb height 0 km (deg),Longitude probed @ limb height 0 km (deg),Limb Height 50 km: switch SCI1 to SCI2 (UTC),Beta angle (deg),Eclipse duration (Umbra end - Umbra start) (s),Local Solar Time (LST): TGO2SUN vector surface intercept point @ limb height 0 km (h),Solar longitude Ls (deg),SO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),SO+UVIS+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
1,1,1,0,5,2515,0,0,0,1,0,2018 JUN 16 22:03:17,2018 JUN 16 22:18:06,2018 JUN 16 22:03:27,2018 JUN 16 22:18:06,2018 JUN 16 22:13:27,2018 JUN 16 22:18:06,2018 JUN 16 22:13:57,65.5263,3.2409,2018 JUN 16 22:17:36,60.371,6.6526,2018 JUN 16 22:16:58,-25.0564,2356,17.3631,194.5709,27.8944,11.8131,39.5606,10,640,821,30,30,879,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,279,327,1065,1400002C000A028003351E1E036F000109D009D0000000000000000000000000000000000262011701470429
1,1,2,0,9,2519,0,0,0,1,0,2018 JUN 17 05:54:52,2018 JUN 17 06:09:43,2018 JUN 17 05:55:02,2018 JUN 17 06:09:43,2018 JUN 17 06:05:02,2018 JUN 17 06:09:43,2018 JUN 17 06:05:32,64.948,-111.3058,2018 JUN 17 06:09:13,59.5624,-107.4274,2018 JUN 17 06:08:34,-26.1696,2344,17.4075,194.7631,28.0837,11.8978,39.8335,10,640,822,30,30,881,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,281,327,1070,1400002C000A028003361E1E0371000109D009D000000000000000000000000000000000026201190147042E
1,1,3,0,11,2521,0,0,0,1,0,2018 JUN 17 09:50:35,2018 JUN 17 10:05:28,2018 JUN 17 09:50:45,2018 JUN 17 10:05:28,2018 JUN 17 10:00:45,2018 JUN 17 10:05:28,2018 JUN 17 10:01:15,64.8709,-168.6967,2018 JUN 17 10:04:58,59.2783,-165.2579,2018 JUN 17 10:04:19,-26.7156,2338,17.3761,194.8593,28.273,11.9824,40.1064,10,640,824,30,30,883,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,283,327,1076,1400002C000A028003381E1E0373000109D009D0000000000000000000000000000000000262011B01470434
1,1,4,0,27,2537,0,0,0,1,0,2018 JUN 18 17:16:44,2018 JUN 18 17:31:49,2018 JUN 18 17:16:54,2018 JUN 18 17:31:49,2018 JUN 18 17:26:54,2018 JUN 18 17:31:49,2018 JUN 18 17:27:24,62.9409,92.8863,2018 JUN 18 17:31:19,56.2592,97.9016,2018 JUN 18 17:30:37,-31.1361,2280,17.5167,195.6296,29.4087,12.4905,41.7436,10,640,833,30,30,895,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,295,327,1109,1400002C000A028003411E1E037F000109D009D0000000000000000000000000000000000262012701470455
1,1,5,0,29,2539,0,0,0,1,0,2018 JUN 18 21:12:33,2018 JUN 18 21:27:39,2018 JUN 18 21:12:43,2018 JUN 18 21:27:39,2018 JUN 18 21:22:43,2018 JUN 18 21:27:39,2018 JUN 18 21:23:13,62.7707,35.5288,2018 JUN 18 21:27:09,55.8934,40.0238,2018 JUN 18 21:26:27,-31.6968,2272,17.4833,195.726,29.5034,12.5329,41.88,10,640,834,30,30,896,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,296,327,1112,1400002C000A028003421E1E0380000109D009D0000000000000000000000000000000000262012801470458
1,1,6,0,34,2544,0,0,0,1,0,2018 JUN 19 07:02:00,2018 JUN 19 07:17:10,2018 JUN 19 07:02:10,2018 JUN 19 07:17:10,2018 JUN 19 07:12:10,2018 JUN 19 07:17:10,2018 JUN 19 07:12:40,62.047,-107.6744,2018 JUN 19 07:16:40,54.592,-104.795,2018 JUN 19 07:15:58,-33.0691,2250,17.3908,195.9671,29.8819,12.7022,42.4258,10,640,838,30,30,900,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,300,327,1124,1400002C000A028003461E1E0384000109D009D0000000000000000000000000000000000262012C01470464
1,1,7,0,35,2545,0,0,0,1,0,2018 JUN 19 08:59:52,2018 JUN 19 09:15:04,2018 JUN 19 09:00:02,2018 JUN 19 09:15:04,2018 JUN 19 09:10:02,2018 JUN 19 09:15:04,2018 JUN 19 09:10:32,62.0091,-136.3696,2018 JUN 19 09:14:34,54.5201,-132.713,2018 JUN 19 09:13:51,-33.3441,2247,17.4419,196.0153,30.0712,12.7869,42.6987,10,640,839,30,30,902,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,302,327,1129,1400002C000A028003471E1E0386000109D009D0000000000000000000000000000000000262012E01470469
1,1,8,0,38,2548,0,0,0,1,0,2018 JUN 19 14:53:28,2018 JUN 19 15:08:43,2018 JUN 19 14:53:38,2018 JUN 19 15:08:43,2018 JUN 19 15:03:38,2018 JUN 19 15:08:43,2018 JUN 19 15:04:08,61.5953,137.7113,2018 JUN 19 15:08:13,53.9425,142.3297,2018 JUN 19 15:07:29,-34.1591,2233,17.5142,196.16,30.3551,12.9139,43.108,10,640,841,30,30,905,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,305,327,1137,1400002C000A028003491E1E0389000109D009D0000000000000000000000000000000000262013101470471
1,1,9,0,40,2550,0,0,0,1,0,2018 JUN 19 18:49:20,2018 JUN 19 19:04:36,2018 JUN 19 18:49:30,2018 JUN 19 19:04:36,2018 JUN 19 18:59:30,2018 JUN 19 19:04:36,2018 JUN 19 19:00:00,61.2805,80.4192,2018 JUN 19 19:04:06,53.3526,83.8931,2018 JUN 19 19:03:23,-34.7312,2222,17.4444,196.2566,30.4498,12.9563,43.2444,10,640,843,30,30,906,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,306,327,1141,1400002C000A0280034B1E1E038A000109D009D0000000000000000000000000000000000262013201470475
1,1,10,0,42,2552,0,0,0,1,0,2018 JUN 19 22:45:06,2018 JUN 19 23:00:24,2018 JUN 19 22:45:16,2018 JUN 19 23:00:24,2018 JUN 19 22:55:16,2018 JUN 19 23:00:24,2018 JUN 19 22:55:46,61.1321,23.0612,2018 JUN 19 22:59:54,53.0498,26.7714,2018 JUN 19 22:59:10,-35.2778,2212,17.4611,196.3531,30.6391,13.041,43.5173,10,640,844,30,30,908,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,308,327,1146,1400002C000A0280034C1E1E038C000109D009D000000000000000000000000000000000026201340147047A
1,1,11,0,44,2554,0,0,0,1,0,2018 JUN 20 02:40:47,2018 JUN 20 02:56:08,2018 JUN 20 02:40:57,2018 JUN 20 02:56:08,2018 JUN 20 02:50:57,2018 JUN 20 02:56:08,2018 JUN 20 02:51:27,60.8511,-34.2056,2018 JUN 20 02:55:38,52.5845,-30.2392,2018 JUN 20 02:54:54,-35.8162,2203,17.4839,196.4497,30.923,13.168,43.9266,10,640,847,30,30,911,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,311,327,1155,1400002C000A0280034F1E1E038F000109D009D0000000000000000000000000000000000262013701470483
1,1,12,0,46,2556,0,0,0,1,0,2018 JUN 20 06:36:41,2018 JUN 20 06:52:04,2018 JUN 20 06:36:51,2018 JUN 20 06:52:04,2018 JUN 20 06:46:51,2018 JUN 20 06:52:04,2018 JUN 20 06:47:21,60.4381,-91.457,2018 JUN 20 06:51:34,51.9918,-87.4527,2018 JUN 20 06:50:49,-36.3801,2192,17.4964,196.5463,31.1123,13.2527,44.1995,10,640,848,30,30,913,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,313,327,1160,1400002C000A028003501E1E0391000109D009D0000000000000000000000000000000000262013901470488
1,1,13,0,48,2558,0,0,0,1,0,2018 JUN 20 10:32:27,2018 JUN 20 10:47:52,2018 JUN 20 10:32:37,2018 JUN 20 10:47:52,2018 JUN 20 10:42:37,2018 JUN 20 10:47:52,2018 JUN 20 10:43:07,60.272,-148.806,2018 JUN 20 10:47:22,51.5951,-145.187,2018 JUN 20 10:46:37,-36.9317,2181,17.4722,196.6429,31.3016,13.3374,44.4723,10,640,850,30,30,915,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,315,327,1166,1400002C000A028003521E1E0393000109D009D0000000000000000000000000000000000262013B0147048E
1,1,14,0,50,2560,0,0,0,1,0,2018 JUN 20 14:28:11,2018 JUN 20 14:43:38,2018 JUN 20 14:28:21,2018 JUN 20 14:43:38,2018 JUN 20 14:38:21,2018 JUN 20 14:43:38,2018 JUN 20 14:38:51,59.9546,153.9311,2018 JUN 20 14:43:08,51.0847,157.4544,2018 JUN 20 14:42:22,-37.4725,2171,17.4725,196.7396,31.4908,13.422,44.7452,10,640,851,30,30,917,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,317,327,1171,1400002C000A028003531E1E0395000109D009D0000000000000000000000000000000000262013D01470493
1,1,15,0,52,2562,0,0,0,1,0,2018 JUN 20 18:24:02,2018 JUN 20 18:39:32,2018 JUN 20 18:24:12,2018 JUN 20 18:39:32,2018 JUN 20 18:34:12,2018 JUN 20 18:39:32,2018 JUN 20 18:34:42,59.6057,96.6542,2018 JUN 20 18:39:02,50.4305,99.512,2018 JUN 20 18:38:16,-38.0376,2158,17.4358,196.8363,31.7748,13.5491,45.1545,10,640,854,30,30,920,0,1,2512,2512,0,0,0,0,0,0,0,0,0,0,610,320,327,1180,1400002C000A028003561E1E0398000109D009D000000000000000000000000000000000026201400147049C
