S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2022 APR 17 06:30:00,-58.8337,33.1526,250.6848,16.0692,64.7067,4.498e-15,64.7067
TGO,2022 APR 17 06:09:00,-62.1528,35.3829,378.2486,15.8772,64.5917,0.53622,64.9001

MRO,2022 APR 17 10:15:00,-57.1145,-21.9277,251.8803,16.0461,63.9523,4.7735e-14,63.9523
TGO,2022 APR 17 10:06:00,-58.8869,-19.4064,380.9913,16.0683,64.6884,1.4546,66.1196

MRO,2022 APR 17 15:57:00,-39.3741,-106.9776,250.7336,15.9228,58.197,3.1845e-14,58.197
TGO,2022 APR 17 16:03:00,-42.0565,-109.7678,379.3141,15.8342,57.7686,65.6017,112.9439

MRO,2022 APR 19 03:24:00,-54.7638,97.0953,250.2362,16.0236,62.7191,2.7406e-14,62.7191
TGO,2022 APR 19 03:24:00,-53.7115,97.0307,379.2388,16.0194,62.3711,2.1278,64.4972

MRO,2022 APR 19 07:09:00,-52.4485,41.994,250.1442,15.9994,61.8048,6.58e-14,61.8048
TGO,2022 APR 19 07:21:00,-50.0817,41.408,378.2167,16.155,62.5884,2.8022,65.3897

MRO,2022 APR 20 14:57:00,-50.4319,-62.4909,250.2236,15.9778,60.8125,3.556e-14,60.8125
TGO,2022 APR 20 14:48:00,-49.0013,-60.6467,380.5231,15.9547,60.2186,0.56169,60.2787

MRO,2022 APR 20 18:42:00,-48.135,-117.4213,250.539,15.9647,60.0635,5.1383e-14,60.0635
TGO,2022 APR 20 18:45:00,-45.4029,-116.9365,378.9465,16.0458,60.2373,1.7758,61.9962

MRO,2022 APR 20 22:27:00,-46.0858,-172.4979,251.2414,15.9419,59.313,3.8299e-14,59.313
TGO,2022 APR 20 22:39:00,-50.3797,-177.4938,380.9073,15.8036,59.1585,2.4905,61.6378
TGO,2022 APR 20 22:42:00,-41.7182,-173.5262,381.2742,16.1167,60.2864,3.1817,63.4659

MRO,2022 APR 22 04:24:00,-39.8087,109.8159,251.8203,15.9067,57.4443,5.3221e-14,57.4443
TGO,2022 APR 22 04:12:00,-38.0712,114.12,379.8531,15.9989,58.2299,0.57028,58.3321

MRO,2022 APR 22 06:15:00,-43.5062,83.1637,250.8722,15.93,58.4013,9.3069e-15,58.4013
TGO,2022 APR 22 06:09:00,-40.7029,84.263,379.1685,15.9058,57.5878,0.70536,58.1526

MRO,2022 APR 22 10:00:00,-41.2201,28.154,252.281,15.9117,57.7245,2.7909e-14,57.7245
TGO,2022 APR 22 10:06:00,-36.9342,27.7553,379.5531,15.9822,57.8497,0.56835,57.9755

MRO,2022 APR 22 13:45:00,-39.4889,-26.754,252.8834,15.9,57.2607,6.273e-14,57.2607
TGO,2022 APR 22 14:00:00,-42.4801,-31.6757,381.1706,15.8153,56.9094,3.2185,53.7164

MRO,2022 APR 23 15:57:00,-35.1253,-49.5559,252.2675,15.8744,56.1681,8.171e-14,56.1681
TGO,2022 APR 23 15:36:00,-33.0816,-45.2035,381.9277,15.8239,55.3136,0.55585,55.4285

MRO,2022 APR 23 17:51:00,-29.2196,-77.6543,252.4948,15.85,55.3173,2.0612e-14,55.3173
TGO,2022 APR 23 17:36:00,-26.8445,-72.8166,382.106,15.9292,56.2755,2.5842,58.8583

MRO,2022 APR 23 19:42:00,-32.9279,-104.4008,251.7287,15.8669,55.8152,1.2821e-14,55.8152
TGO,2022 APR 23 19:33:00,-29.5098,-102.0734,381.0083,15.8761,55.6685,0.54205,55.8003

MRO,2022 APR 23 23:27:00,-30.7898,-159.3487,253.9904,15.8528,55.4334,4.4641e-14,55.4334
TGO,2022 APR 23 23:27:00,-34.6785,-161.0056,381.8034,15.7422,54.4675,2.5823,51.9294
TGO,2022 APR 23 23:30:00,-25.8215,-158.7986,383.1943,15.9381,56.3631,2.0867,54.3857

MRO,2022 APR 24 01:21:00,-25.069,172.5556,255.1593,15.8286,54.872,1.4224e-14,54.872
TGO,2022 APR 24 01:27:00,-28.549,171.323,382.2455,15.8436,55.1697,0.53712,55.3043

MRO,2022 APR 24 03:12:00,-29.0788,145.7875,253.9168,15.8442,55.1962,5.5546e-14,55.1962
TGO,2022 APR 24 03:24:00,-31.3696,141.6363,380.9595,15.7619,54.307,0.54882,54.4269

MRO,2022 APR 24 05:06:00,-23.333,117.7595,255.5077,15.8244,54.8111,5.0087e-14,54.8111
TGO,2022 APR 24 05:24:00,-25.3354,114.3842,381.2305,15.8914,55.7101,1.6077,54.281

MRO,2022 APR 25 09:09:00,-22.6621,68.2635,255.5025,15.8192,54.668,4.2315e-14,54.668
TGO,2022 APR 25 08:57:00,-18.3938,70.6236,382.3246,15.7817,54.3745,0.50175,54.4866

MRO,2022 APR 25 11:06:00,-7.049,38.994,263.3002,15.7653,55.8261,5.0546e-14,55.8261
TGO,2022 APR 25 10:57:00,-12.0204,42.8908,384.822,15.8792,56.5388,0.40781,56.7168

MRO,2022 APR 25 12:57:00,-10.9672,12.1715,262.0002,15.7772,55.2367,4.0263e-14,55.2367
TGO,2022 APR 25 12:54:00,-14.7769,13.4357,385.0671,15.8128,55.1836,0.43583,55.3525

MRO,2022 APR 25 14:51:00,-5.3111,-15.832,264.2791,15.7592,56.1348,2.1935e-14,56.1348
TGO,2022 APR 25 14:54:00,-8.6291,-14.7938,387.5674,15.8769,57.1205,3.6736,60.6144

MRO,2022 APR 25 16:42:00,-9.2308,-42.6661,261.637,15.7703,55.4519,1.0366e-13,55.4519
TGO,2022 APR 25 16:51:00,-11.4943,-43.6968,386.5275,15.8475,56.1647,1.6869,54.6663

MRO,2022 APR 25 18:33:00,-13.0446,-69.4956,259.0262,15.7819,54.9675,5.1873e-14,54.9675
TGO,2022 APR 25 18:48:00,-14.1532,-73.2971,385.2217,15.7717,54.6647,0.42991,54.834

MRO,2022 APR 26 20:45:00,-8.4123,-92.2,261.2181,15.7622,55.4931,6.5569e-15,55.4931
TGO,2022 APR 26 20:24:00,-4.5276,-88.0546,388.8507,15.6981,55.4592,2.9599,58.2495

MRO,2022 APR 26 22:36:00,-12.0737,-119.0194,259.9386,15.7744,54.9861,1.4662e-14,54.9861
TGO,2022 APR 26 22:21:00,-7.1571,-117.1028,387.9072,15.6589,54.2644,0.35853,54.431

MRO,2022 APR 27 02:27:00,9.2303,-176.2461,272.9807,15.7056,60.0824,3.1806e-15,60.0824
TGO,2022 APR 27 02:21:00,5.2759,-172.8691,394.6287,15.8333,60.3824,0.21795,60.5091

MRO,2022 APR 27 04:18:00,5.3223,156.9263,270.3246,15.7169,58.7774,2.3854e-15,58.7774
TGO,2022 APR 27 04:18:00,2.4706,157.6927,392.4882,15.7681,58.5198,0.24993,58.6583

MRO,2022 APR 27 06:09:00,1.4049,130.1079,267.4963,15.7294,57.6269,6.5569e-15,57.6269
TGO,2022 APR 27 06:15:00,-0.39905,128.6062,389.8884,15.7264,57.0279,3.3282,54.1598

