Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	Ingress	2018 DEC 01 14:08:50	2018 DEC 01 14:14:03	2018 DEC 01 14:15:12	382.0	-28.6	-35.4	-37.1	4.5	17.4	20.5	17.5	3	-	-	-		
N/A	1	Egress	2018 DEC 01 14:44:54	2018 DEC 01 14:46:02	2018 DEC 01 14:51:10	376.0	171.3	168.4	158.4	47.9	45.2	33.1	7.6	3	-	-	-		
NOMAD	2	Ingress	2018 DEC 01 16:06:53	2018 DEC 01 16:12:07	2018 DEC 01 16:13:16	383.0	-57.6	-64.4	-66.1	5.1	18.0	21.1	17.5	1	132 with 1xDark	Science: orders #132, #132, #132, #132, #132, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 293: SO: Full Frame (140:205;0:1047),Tint = 45 ms,16 bit,Rhythm = 3361 ms, Binning=0		
NOMAD	2	Egress	2018 DEC 01 16:42:52	2018 DEC 01 16:44:01	2018 DEC 01 16:49:10	378.0	142.4	139.5	129.5	47.7	44.9	32.8	7.6	1	Nominal Science 1xCO2 LA01; Nominal Science 1xCO2 HA01	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136); Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 293: SO: Full Frame (140:205;0:1047),Tint = 45 ms,16 bit,Rhythm = 3361 ms, Binning=0		
ACS	3	Ingress	2018 DEC 01 18:04:52	2018 DEC 01 18:10:07	2018 DEC 01 18:11:17	385.0	-86.5	-93.3	-95.1	5.6	18.6	21.7	17.5	4	-	-	-		
ACS	3	Egress	2018 DEC 01 18:40:47	2018 DEC 01 18:41:56	2018 DEC 01 18:47:07	380.0	113.6	110.6	100.6	47.6	44.8	32.6	7.6	4	-	-	-		
NOMAD	4	Ingress	2018 DEC 01 20:02:49	2018 DEC 01 20:08:05	2018 DEC 01 20:09:15	386.0	-115.3	-122.3	-124.0	6.0	19.1	22.2	17.5	1	CH4 01	Science: orders #168, #133, #134, #135, #136, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 294: SO: Full Frame (140:205;0:1047),Tint = 75 ms,16 bit,Rhythm = 3361 ms, Binning=0		
NOMAD	4	Egress	2018 DEC 01 20:38:41	2018 DEC 01 20:39:51	2018 DEC 01 20:45:03	382.0	84.6	81.7	71.7	47.3	44.5	32.2	7.6	1	BgSubTest 03	Science: orders #168, #134, #190, #121, #165, #149, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 294: SO: Full Frame (140:205;0:1047),Tint = 75 ms,16 bit,Rhythm = 3361 ms, Binning=0		
ACS	5	Ingress	2018 DEC 01 22:00:48	2018 DEC 01 22:06:04	2018 DEC 01 22:07:14	386.0	-144.2	-151.2	-152.9	6.5	19.5	22.6	17.4	4	-	-	-		
ACS	5	Egress	2018 DEC 01 22:36:37	2018 DEC 01 22:37:47	2018 DEC 01 22:42:59	382.0	55.6	52.7	42.8	47.0	44.1	31.8	7.6	4	-	-	-		
NOMAD	6	Ingress	2018 DEC 01 23:58:47	2018 DEC 02 00:04:04	2018 DEC 02 00:05:14	387.0	-173.1	179.9	178.1	6.9	20.0	23.1	17.4	1	AER 01	Science: orders #119, #133, #143, #154, #169, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 305: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1389 ms, Binning=3		
NOMAD	6	Egress	2018 DEC 02 00:34:35	2018 DEC 02 00:35:45	2018 DEC 02 00:40:57	382.0	26.6	23.7	13.9	46.7	43.9	31.5	7.5	1	Nominal Science 1xCO2 LA01; Nominal Science 1xCO2 HA01	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136); Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 305: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1389 ms, Binning=3		
N/A	7	Ingress	2018 DEC 02 01:56:49	2018 DEC 02 02:02:07	2018 DEC 02 02:03:17	388.0	158.0	151.0	149.2	7.4	20.5	23.6	17.4	4	-	-	-		
N/A	7	Egress	2018 DEC 02 02:32:34	2018 DEC 02 02:33:44	2018 DEC 02 02:38:57	383.0	-2.3	-5.2	-15.0	46.5	43.6	31.2	7.5	4	-	-	-		
N/A	8	Ingress	2018 DEC 02 03:54:50	2018 DEC 02 04:00:08	2018 DEC 02 04:01:19	389.0	129.1	122.0	120.2	7.8	21.0	24.1	17.4	3	-	-	-		
N/A	8	Egress	2018 DEC 02 04:30:32	2018 DEC 02 04:31:42	2018 DEC 02 04:36:55	383.0	-31.3	-34.1	-43.8	46.2	43.4	30.9	7.5	3	-	-	-		
NOMAD	9	Ingress	2018 DEC 02 05:52:49	2018 DEC 02 05:58:09	2018 DEC 02 05:59:20	391.0	100.3	93.1	91.3	8.2	21.4	24.6	17.4	1	Nominal Science 1xCO2 HA02; Nominal Science 1xCO2 LA02	Science: orders #168, #134, #190, #119, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136); Science: orders #168, #134, #190, #119, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 306: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1389 ms, Binning=3		
NOMAD	9	Egress	2018 DEC 02 06:28:29	2018 DEC 02 06:29:39	2018 DEC 02 06:34:54	385.0	-60.2	-63.0	-72.8	46.0	43.1	30.5	7.5	1	BgSubTest 03	Science: orders #168, #134, #190, #121, #165, #149, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 306: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1389 ms, Binning=3		
ACS	10	Ingress	2018 DEC 02 07:50:46	2018 DEC 02 07:56:08	2018 DEC 02 07:57:19	393.0	71.4	64.2	62.3	8.6	22.0	25.1	17.4	4	-	-	-		
ACS	10	Egress	2018 DEC 02 08:26:24	2018 DEC 02 08:27:35	2018 DEC 02 08:32:51	387.0	-89.1	-92.0	-101.7	45.8	42.8	30.2	7.5	4	-	-	-		
